#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of ZrB12 were obtained by conventional solid-state reaction.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-32	ZrB12	Material-target	Descriptor-of	1-1	
1-5	33-37	were	_	_	_	
1-6	38-46	obtained	Operation	Participant-material	1-4	
1-7	47-49	by	_	_	_	
1-8	50-62	conventional	Operation[1]	Coreference	1-6[0_1]	
1-9	63-74	solid-state	Operation[1]	_	_	
1-10	75-83	reaction	Operation[1]	_	_	
1-11	83-84	.	_	_	_	

#Text=Starting materials were Zr metal powder (99.99% purity) and submicron amorphous boron powder (99.9% purity).
2-1	85-93	Starting	Descriptor	_	_	
2-2	94-103	materials	Material-recipe	Descriptor-of	2-1	
2-3	104-108	were	_	_	_	
2-4	109-111	Zr	Material-recipe	Descriptor-of|Descriptor-of|Value-of|Coreference	2-6|2-5|2-8|2-2	
2-5	112-117	metal	Descriptor	_	_	
2-6	118-124	powder	Descriptor	_	_	
2-7	125-126	(	_	_	_	
2-8	126-132	99.99%	Value	_	_	
2-9	133-139	purity	_	_	_	
2-10	139-140	)	_	_	_	
2-11	141-144	and	_	_	_	
2-12	145-154	submicron	Descriptor	_	_	
2-13	155-164	amorphous	Descriptor	_	_	
2-14	165-170	boron	Material-recipe	Descriptor-of|Descriptor-of|Descriptor-of|Value-of|Coreference	2-12|2-13|2-15|2-17|2-2	
2-15	171-177	powder	Descriptor	_	_	
2-16	178-179	(	_	_	_	
2-17	179-184	99.9%	Value	_	_	
2-18	185-191	purity	_	_	_	
2-19	191-192	)	_	_	_	
2-20	192-193	.	_	_	_	

#Text=These materials were lightly mixed in appropriate amounts and pressed into pellets 10 mm thick and 20 mm in diameter.
3-1	194-199	These	_	_	_	
3-2	200-209	materials	Material-recipe	Value-of	3-7[2_0]	
3-3	210-214	were	_	_	_	
3-4	215-222	lightly	Descriptor	_	_	
3-5	223-228	mixed	Operation	Descriptor-of|Participant-material|Next-operation	3-4|3-2|3-10	
3-6	229-231	in	_	_	_	
3-7	232-243	appropriate	Value[2]	_	_	
3-8	244-251	amounts	Value[2]	_	_	
3-9	252-255	and	_	_	_	
3-10	256-263	pressed	Operation	_	_	
3-11	264-268	into	_	_	_	
3-12	269-276	pellets	Material-intermedium	Value-of|Value-of	3-13[3_0]|3-17[4_0]	
3-13	277-279	10	Value[3]	Descriptor-of	3-15[0_3]	
3-14	280-282	mm	Value[3]	_	_	
3-15	283-288	thick	Descriptor	_	_	
3-16	289-292	and	_	_	_	
3-17	293-295	20	Value[4]	Descriptor-of	3-20[0_4]	
3-18	296-298	mm	Value[4]	_	_	
3-19	299-301	in	_	_	_	
3-20	302-310	diameter	Descriptor	_	_	
3-21	310-311	.	_	_	_	

#Text=The pellets were wrapped in a tungsten foil and baked at 2000oC by e-beam heating with subsequent slow cooling to room temperature.
4-1	312-315	The	_	_	_	
4-2	316-323	pellets	Material-intermedium	_	_	
4-3	324-328	were	_	_	_	
4-4	329-336	wrapped	Operation	Participant-material|Next-operation|Participant-material	4-2|4-10|4-8	
4-5	337-339	in	_	_	_	
4-6	340-341	a	Value	_	_	
4-7	342-350	tungsten	Material-recipe	Value-of|Descriptor-of	4-6|4-8	
4-8	351-355	foil	Descriptor	_	_	
4-9	356-359	and	_	_	_	
4-10	360-365	baked	Operation	Condition-of|Coreference|Next-operation	4-12|4-14[5_0]|4-19	
4-11	366-368	at	_	_	_	
4-12	369-375	2000oC	Property-temperature	_	_	
4-13	376-378	by	_	_	_	
4-14	379-385	e-beam	Operation[5]	_	_	
4-15	386-393	heating	Operation[5]	_	_	
4-16	394-398	with	_	_	_	
4-17	399-409	subsequent	Descriptor	_	_	
4-18	410-414	slow	Property-rate	_	_	
4-19	415-422	cooling	Operation	Condition-of|Condition-of|Descriptor-of	4-18|4-21[6_0]|4-17	
4-20	423-425	to	_	_	_	
4-21	426-430	room	Property-temperature[6]	_	_	
4-22	431-442	temperature	Property-temperature[6]	_	_	
4-23	442-443	.	_	_	_	

#Text=The process took place for two hours in a high vacuum chamber at 2 × 10−4P a.
5-1	444-447	The	_	_	_	
5-2	448-455	process	Operation	Condition-of|Device-of-operation|Condition-of|Coreference	5-6[8_0]|5-10[9_0]|5-14[10_0]|5-3[7_0]	
5-3	456-460	took	Operation[7]	_	_	
5-4	461-466	place	Operation[7]	_	_	
5-5	467-470	for	_	_	_	
5-6	471-474	two	Property-time[8]	_	_	
5-7	475-480	hours	Property-time[8]	_	_	
5-8	481-483	in	_	_	_	
5-9	484-485	a	Value	_	_	
5-10	486-490	high	Device[9]	Value-of	5-9[0_9]	
5-11	491-497	vacuum	Device[9]	_	_	
5-12	498-505	chamber	Device[9]	_	_	
5-13	506-508	at	_	_	_	
5-14	509-510	2	Property-pressure[10]	_	_	
5-15	511-512	×	Property-pressure[10]	_	_	
5-16	513-515	10	Property-pressure[10]	_	_	
5-17	515-516	−	Property-pressure[10]	_	_	
