#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples with a weight of about 1 g were prepared by argon arc-melting elemental pieces of rare earth (purity > 99.9 mass %, Auer Remy, D), platinum foil) (99.9%, O¨ gussa, A) and crystalline boron (98%, Alfa Aesar, D).
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	Material-target	Descriptor-of|Value-of	1-1|1-7[1_0]	
1-3	24-28	with	_	_	_	
1-4	29-30	a	_	_	_	
1-5	31-37	weight	Descriptor	_	_	
1-6	38-40	of	_	_	_	
1-7	41-46	about	Value[1]	Descriptor-of	1-5[0_1]	
1-8	47-48	1	Value[1]	_	_	
1-9	49-50	g	Value[1]	_	_	
1-10	51-55	were	_	_	_	
1-11	56-64	prepared	Operation	Participant-material|Coreference	1-2|1-14	
1-12	65-67	by	_	_	_	
1-13	68-73	argon	Property-pressure	_	_	
1-14	74-85	arc-melting	Operation	Condition-of|Participant-material|Participant-material|Participant-material	1-13|1-19|1-33|1-47	
1-15	86-95	elemental	Value[2]	_	_	
1-16	96-102	pieces	Value[2]	_	_	
1-17	103-105	of	_	_	_	
1-18	106-110	rare	Descriptor	_	_	
1-19	111-116	earth	Material-recipe	Value-of|Descriptor-of|Value-of|Brand-of	1-15[2_0]|1-18|1-22[3_0]|1-27[4_0]	
1-20	117-118	(	_	_	_	
1-21	118-124	purity	Descriptor	_	_	
1-22	125-126	>	Value[3]	Descriptor-of	1-21[0_3]	
1-23	127-131	99.9	Value[3]	_	_	
1-24	132-136	mass	Value[3]	_	_	
1-25	137-138	%	Value[3]	_	_	
1-26	138-139	,	_	_	_	
1-27	140-144	Auer	Brand[4]	_	_	
1-28	145-149	Remy	Brand[4]	_	_	
1-29	149-150	,	Brand[4]	_	_	
1-30	151-152	D	Brand[4]	_	_	
1-31	152-153	)	_	_	_	
1-32	153-154	,	_	_	_	
1-33	155-163	platinum	Material-recipe	Descriptor-of|Value-of|Brand-of	1-34|1-37|1-39[5_0]	
1-34	164-168	foil	Descriptor	_	_	
1-35	168-169	)	_	_	_	
1-36	170-171	(	_	_	_	
1-37	171-176	99.9%	Value	_	_	
1-38	176-177	,	_	_	_	
1-39	178-179	O	Brand[5]	_	_	
1-40	179-180	¨	Brand[5]	_	_	
1-41	181-186	gussa	Brand[5]	_	_	
1-42	186-187	,	Brand[5]	_	_	
1-43	188-189	A	Brand[5]	_	_	
1-44	189-190	)	_	_	_	
1-45	191-194	and	_	_	_	
1-46	195-206	crystalline	Descriptor	_	_	
1-47	207-212	boron	Material-recipe	Descriptor-of|Value-of|Brand-of	1-46|1-49|1-51[6_0]	
1-48	213-214	(	_	_	_	
1-49	214-217	98%	Value	_	_	
1-50	217-218	,	_	_	_	
1-51	219-223	Alfa	Brand[6]	_	_	
1-52	224-229	Aesar	Brand[6]	_	_	
1-53	229-230	,	Brand[6]	_	_	
1-54	231-232	D	Brand[6]	_	_	
1-55	232-233	)	_	_	_	
1-56	233-234	.	_	_	_	

#Text=For homogeneity, the samples were re-melted several times without significant weight losses (< 1 mass%).
2-1	235-238	For	_	_	_	
2-2	239-250	homogeneity	_	_	_	
2-3	250-251	,	_	_	_	
2-4	252-255	the	_	_	_	
2-5	256-263	samples	Material-intermedium	Value-of	2-15[9_0]	
2-6	264-268	were	_	_	_	
2-7	269-278	re-melted	Operation	Participant-material|Condition-of	2-5|2-8[7_0]	
2-8	279-286	several	Property-time[7]	_	_	
2-9	287-292	times	Property-time[7]	_	_	
2-10	293-300	without	_	_	_	
2-11	301-312	significant	_	_	_	
2-12	313-319	weight	Descriptor[8]	_	_	
2-13	320-326	losses	Descriptor[8]	_	_	
2-14	327-328	(	_	_	_	
2-15	328-329	<	Value[9]	Descriptor-of	2-12[8_9]	
2-16	330-331	1	Value[9]	_	_	
2-17	332-336	mass	Value[9]	_	_	
2-18	336-337	%	Value[9]	_	_	
2-19	337-338	)	_	_	_	
2-20	338-339	.	_	_	_	

#Text=Both YbPt2B and LuPt2B were found to form directly from melts with nominal composition RE25Pt50B25 (in at.%).
3-1	340-344	Both	_	_	_	
3-2	345-351	YbPt2B	Material-target	_	_	
3-3	352-355	and	_	_	_	
3-4	356-362	LuPt2B	Material-target	_	_	
3-5	363-367	were	_	_	_	
3-6	368-373	found	_	_	_	
3-7	374-376	to	_	_	_	
3-8	377-381	form	Operation	Participant-material|Participant-material	3-2|3-4	
3-9	382-390	directly	_	_	_	
3-10	391-395	from	_	_	_	
3-11	396-401	melts	Operation	Next-operation|Participant-material	3-8|3-15	
3-12	402-406	with	_	_	_	
3-13	407-414	nominal	Value[10]	_	_	
3-14	415-426	composition	Value[10]	_	_	
3-15	427-438	RE25Pt50B25	Material-others	Value-of|Value-of	3-13[10_0]|3-17[11_0]	
3-16	439-440	(	_	_	_	
3-17	440-442	in	Value[11]	_	_	
3-18	443-445	at	Value[11]	_	_	
3-19	445-446	.	Value[11]	_	_	
3-20	446-447	%	Value[11]	_	_	
3-21	447-448	)	_	_	_	
3-22	448-449	.	_	_	_	

#Text=X-ray diffraction data were collected employing a Guinier–Huber image plate system with monochromatic CuKα1 radiation (8◦ < 2θ < 100◦ ).
4-1	450-455	X-ray	_	_	_	
4-2	456-467	diffraction	_	_	_	
4-3	468-472	data	_	_	_	
4-4	473-477	were	_	_	_	
4-5	478-487	collected	_	_	_	
4-6	488-497	employing	_	_	_	
4-7	498-499	a	_	_	_	
