#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Ca3Co4-xNixO9 polycrystalline ceramic materials, with x=0.00, 0.01, 0.03, and 0.05, were prepared using commercial CaCO3 (Panreac, 98+%), Co2O3 (Aldrich, 98+%), and NiO (Aldrich, 99%) powders as starting materials by the classical solid state route.
1-1	0-6	Ca3Co4	Material-target[1]	Descriptor-of|Descriptor-of|Descriptor-of	1-4[0_1]|1-5[0_1]|1-9[2_1]	
1-2	6-7	-	Material-target[1]	_	_	
1-3	7-13	xNixO9	Material-target[1]	_	_	
1-4	14-29	polycrystalline	Descriptor	_	_	
1-5	30-37	ceramic	Descriptor	_	_	
1-6	38-47	materials	_	_	_	
1-7	47-48	,	_	_	_	
1-8	49-53	with	_	_	_	
1-9	54-55	x	Descriptor[2]	_	_	
1-10	55-56	=	Descriptor[2]	_	_	
1-11	56-60	0.00	Descriptor[2]	_	_	
1-12	60-61	,	Descriptor[2]	_	_	
1-13	62-66	0.01	Descriptor[2]	_	_	
1-14	66-67	,	Descriptor[2]	_	_	
1-15	68-72	0.03	Descriptor[2]	_	_	
1-16	72-73	,	Descriptor[2]	_	_	
1-17	74-77	and	Descriptor[2]	_	_	
1-18	78-82	0.05	Descriptor[2]	_	_	
1-19	82-83	,	_	_	_	
1-20	84-88	were	_	_	_	
1-21	89-97	prepared	Operation	Coreference|Participant-material	1-55[5_0]|1-1[1_0]	
1-22	98-103	using	_	_	_	
1-23	104-114	commercial	_	_	_	
1-24	115-120	CaCO3	Material-recipe	Brand-of|Value-of|Descriptor-of|Coreference	1-26|1-28[3_0]|1-49|1-52	
1-25	121-122	(	_	_	_	
1-26	122-129	Panreac	Brand	_	_	
1-27	129-130	,	_	_	_	
1-28	131-133	98	Value[3]	_	_	
1-29	133-134	+	Value[3]	_	_	
1-30	134-135	%	Value[3]	_	_	
1-31	135-136	)	_	_	_	
1-32	136-137	,	_	_	_	
1-33	138-143	Co2O3	Material-recipe	Brand-of|Value-of|Descriptor-of|Coreference	1-35|1-37[4_0]|1-49|1-52	
1-34	144-145	(	_	_	_	
1-35	145-152	Aldrich	Brand	_	_	
1-36	152-153	,	_	_	_	
1-37	154-156	98	Value[4]	_	_	
1-38	156-157	+	Value[4]	_	_	
1-39	157-158	%	Value[4]	_	_	
1-40	158-159	)	_	_	_	
1-41	159-160	,	_	_	_	
1-42	161-164	and	_	_	_	
1-43	165-168	NiO	Material-recipe	Brand-of|Value-of|Descriptor-of|Coreference	1-45|1-47|1-49|1-52	
1-44	169-170	(	_	_	_	
1-45	170-177	Aldrich	Brand	_	_	
1-46	177-178	,	_	_	_	
1-47	179-182	99%	Value	_	_	
1-48	182-183	)	_	_	_	
1-49	184-191	powders	Descriptor	_	_	
1-50	192-194	as	_	_	_	
1-51	195-203	starting	Descriptor	_	_	
1-52	204-213	materials	Material-recipe	Descriptor-of	1-51	
1-53	214-216	by	_	_	_	
1-54	217-220	the	_	_	_	
1-55	221-230	classical	Operation[5]	Participant-material|Participant-material|Participant-material	1-24[0_5]|1-33[0_5]|1-43[0_5]	
1-56	231-236	solid	Operation[5]	_	_	
1-57	237-242	state	Operation[5]	_	_	
1-58	243-248	route	Operation[5]	_	_	
1-59	248-249	.	_	_	_	

#Text=They were weighed in the appropriate proportions, mixed and ball milled for 30 minutes in acetone media at 300 rpm, in a RESTH® S100 ball mill.
2-1	250-254	They	Material-recipe	Value-of	2-6[6_0]	
2-2	255-259	were	_	_	_	
2-3	260-267	weighed	Operation	Participant-material|Next-operation	2-1|2-9	
2-4	268-270	in	_	_	_	
2-5	271-274	the	_	_	_	
2-6	275-286	appropriate	Value[6]	_	_	
2-7	287-298	proportions	Value[6]	_	_	
2-8	298-299	,	_	_	_	
2-9	300-305	mixed	Operation	Next-operation	2-11[7_0]	
2-10	306-309	and	_	_	_	
2-11	310-314	ball	Operation[7]	Device-of-operation|Condition-of|Participant-material|Condition-of	2-28[12_7]|2-14[8_7]|2-17[9_7]|2-20[10_7]	
2-12	315-321	milled	Operation[7]	_	_	
2-13	322-325	for	_	_	_	
2-14	326-328	30	Property-time[8]	_	_	
2-15	329-336	minutes	Property-time[8]	_	_	
2-16	337-339	in	_	_	_	
2-17	340-347	acetone	Material-others[9]	_	_	
2-18	348-353	media	Material-others[9]	_	_	
2-19	354-356	at	_	_	_	
2-20	357-360	300	Property-rate[10]	_	_	
2-21	361-364	rpm	Property-rate[10]	_	_	
2-22	364-365	,	_	_	_	
2-23	366-368	in	_	_	_	
2-24	369-370	a	Value	_	_	
2-25	371-376	RESTH	Brand[11]	_	_	
2-26	376-377	®	Brand[11]	_	_	
2-27	378-382	S100	Descriptor	_	_	
2-28	383-387	ball	Device[12]	Value-of|Brand-of|Descriptor-of	2-24[0_12]|2-25[11_12]|2-27[0_12]	
2-29	388-392	mill	Device[12]	_	_	
2-30	392-393	.	_	_	_	

#Text=The resulting suspension has been heated with infrared radiation to evaporate the acetone.
3-1	394-397	The	_	_	_	
3-2	398-407	resulting	Descriptor	_	_	
3-3	408-418	suspension	Material-intermedium	Descriptor-of	3-2	
3-4	419-422	has	_	_	_	
3-5	423-427	been	_	_	_	
3-6	428-434	heated	Operation	Participant-material|Device-of-operation	3-3|3-8[13_0]	
3-7	435-439	with	_	_	_	
3-8	440-448	infrared	Device[13]	_	_	
3-9	449-458	radiation	Device[13]	_	_	
3-10	459-461	to	_	_	_	
3-11	462-471	evaporate	_	_	_	
3-12	472-475	the	_	_	_	
3-13	476-483	acetone	_	_	_	
3-14	483-484	.	_	_	_	

#Text=The dry mixture was subsequently manually milled and thermally treated for 12 h at 750 and 800 °C, under air, with an intermediate manual grinding.
