#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of nominal compositions CuNi1–xVxO2 with x = 1/3, 1/2 and 2/3 were prepared by heating stoichiometric mixtures of Cu, CuO (Merck, 99.9%), NiO (Strem Chemicals, 99.99%) and V2O5 (Schüchardt München, 99.8%) in an evacuated silica tube.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-34	nominal	Value[1]	_	_	
1-5	35-47	compositions	Value[1]	_	_	
1-6	48-53	CuNi1	Material-target[2]	Descriptor-of|Descriptor-of|Value-of	1-10[3_2]|1-1[0_2]|1-4[1_2]	
1-7	53-54	–	Material-target[2]	_	_	
1-8	54-59	xVxO2	Material-target[2]	_	_	
1-9	60-64	with	_	_	_	
1-10	65-66	x	Descriptor[3]	_	_	
1-11	67-68	=	Descriptor[3]	_	_	
1-12	69-70	1	Descriptor[3]	_	_	
1-13	70-71	/	Descriptor[3]	_	_	
1-14	71-72	3	Descriptor[3]	_	_	
1-15	72-73	,	Descriptor[3]	_	_	
1-16	74-75	1	Descriptor[3]	_	_	
1-17	75-76	/	Descriptor[3]	_	_	
1-18	76-77	2	Descriptor[3]	_	_	
1-19	78-81	and	Descriptor[3]	_	_	
1-20	82-83	2	Descriptor[3]	_	_	
1-21	83-84	/	Descriptor[3]	_	_	
1-22	84-85	3	Descriptor[3]	_	_	
1-23	86-90	were	_	_	_	
1-24	91-99	prepared	Operation	Coreference|Participant-material	1-26|1-6[2_0]	
1-25	100-102	by	_	_	_	
1-26	103-110	heating	Operation	Participant-material|Device-of-operation	1-28|1-58	
1-27	111-125	stoichiometric	Value	_	_	
1-28	126-134	mixtures	Material-recipe	Value-of|Coreference|Coreference|Coreference|Coreference	1-27|1-30|1-32|1-39|1-47	
1-29	135-137	of	_	_	_	
1-30	138-140	Cu	Material-recipe	_	_	
1-31	140-141	,	_	_	_	
1-32	142-145	CuO	Material-recipe	Brand-of|Value-of	1-34|1-36	
1-33	146-147	(	_	_	_	
1-34	147-152	Merck	Brand	_	_	
1-35	152-153	,	_	_	_	
1-36	154-159	99.9%	Value	_	_	
1-37	159-160	)	_	_	_	
1-38	160-161	,	_	_	_	
1-39	162-165	NiO	Material-recipe	Brand-of|Value-of	1-41[4_0]|1-44	
1-40	166-167	(	_	_	_	
1-41	167-172	Strem	Brand[4]	_	_	
1-42	173-182	Chemicals	Brand[4]	_	_	
1-43	182-183	,	_	_	_	
1-44	184-190	99.99%	Value	_	_	
1-45	190-191	)	_	_	_	
1-46	192-195	and	_	_	_	
1-47	196-200	V2O5	Material-recipe	Brand-of|Value-of	1-49[5_0]|1-52	
1-48	201-202	(	_	_	_	
1-49	202-212	Schüchardt	Brand[5]	_	_	
1-50	213-220	München	Brand[5]	_	_	
1-51	220-221	,	_	_	_	
1-52	222-227	99.8%	Value	_	_	
1-53	227-228	)	_	_	_	
1-54	229-231	in	_	_	_	
1-55	232-234	an	Value	_	_	
1-56	235-244	evacuated	Descriptor	_	_	
1-57	245-251	silica	Descriptor	_	_	
1-58	252-256	tube	Device	Descriptor-of|Value-of|Descriptor-of	1-57|1-55|1-56	
1-59	256-257	.	_	_	_	

#Text=Experimental conditions and reaction product compositions, determined by XRD analysis, are summarized in Table 1.
2-1	258-270	Experimental	_	_	_	
2-2	271-281	conditions	_	_	_	
2-3	282-285	and	_	_	_	
2-4	286-294	reaction	_	_	_	
2-5	295-302	product	_	_	_	
2-6	303-315	compositions	_	_	_	
2-7	315-316	,	_	_	_	
2-8	317-327	determined	_	_	_	
2-9	328-330	by	_	_	_	
2-10	331-334	XRD	_	_	_	
2-11	335-343	analysis	_	_	_	
2-12	343-344	,	_	_	_	
2-13	345-348	are	_	_	_	
2-14	349-359	summarized	_	_	_	
2-15	360-362	in	_	_	_	
2-16	363-368	Table	_	_	_	
2-17	369-370	1	_	_	_	
2-18	370-371	.	_	_	_	
