#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The polycrystalline samples of YMO studied in this work were prepared by standard solid state reaction route via MARH.
1-1	0-3	The	_	_	_	
1-2	4-19	polycrystalline	Descriptor	_	_	
1-3	20-27	samples	_	_	_	
1-4	28-30	of	_	_	_	
1-5	31-34	YMO	Material-target	Descriptor-of	1-2	
1-6	35-42	studied	_	_	_	
1-7	43-45	in	_	_	_	
1-8	46-50	this	_	_	_	
1-9	51-55	work	_	_	_	
1-10	56-60	were	_	_	_	
1-11	61-69	prepared	Operation	Participant-material	1-5	
1-12	70-72	by	_	_	_	
1-13	73-81	standard	Operation[1]	Coreference|Coreference	1-11[0_1]|1-19[0_1]	
1-14	82-87	solid	Operation[1]	_	_	
1-15	88-93	state	Operation[1]	_	_	
1-16	94-102	reaction	Operation[1]	_	_	
1-17	103-108	route	Operation[1]	_	_	
1-18	109-112	via	_	_	_	
1-19	113-117	MARH	Operation	_	_	
1-20	117-118	.	_	_	_	

#Text=The detailed synthesis process adopted to prepare these samples is already reported elsewhere [14].
2-1	119-122	The	_	_	_	
2-2	123-131	detailed	_	_	_	
2-3	132-141	synthesis	_	_	_	
2-4	142-149	process	_	_	_	
2-5	150-157	adopted	_	_	_	
2-6	158-160	to	_	_	_	
2-7	161-168	prepare	_	_	_	
2-8	169-174	these	_	_	_	
2-9	175-182	samples	_	_	_	
2-10	183-185	is	_	_	_	
2-11	186-193	already	_	_	_	
2-12	194-202	reported	_	_	_	
2-13	203-212	elsewhere	_	_	_	
2-14	213-214	[	_	_	_	
2-15	214-216	14	_	_	_	
2-16	216-217	]	_	_	_	
2-17	217-218	.	_	_	_	

#Text=During MARH sintering of YMO ceramic samples, different percentage of microwave power i.e. 0, 15, 30 and 50 %, henceforth the corresponding samples are designated as YMO0, YMO15, YMO30 and YMO50 respectively.
3-1	219-225	During	_	_	_	
3-2	226-230	MARH	Operation	_	_	
3-3	231-240	sintering	Operation	Device-of-operation|Participant-material|Condition-of|Coreference	3-12|3-5|3-13|3-2	
3-4	241-243	of	_	_	_	
3-5	244-247	YMO	Material-target	Descriptor-of	3-6	
3-6	248-255	ceramic	Descriptor	_	_	
3-7	256-263	samples	_	_	_	
3-8	263-264	,	_	_	_	
3-9	265-274	different	_	_	_	
3-10	275-285	percentage	_	_	_	
3-11	286-288	of	_	_	_	
3-12	289-298	microwave	Device	_	_	
3-13	299-304	power	Property-rate	Value-of|Value-of|Value-of|Value-of	3-16|3-18|3-20|3-22[2_0]	
3-14	305-308	i.e	_	_	_	
3-15	308-309	.	_	_	_	
3-16	310-311	0	Value	_	_	
3-17	311-312	,	_	_	_	
3-18	313-315	15	Value	_	_	
3-19	315-316	,	_	_	_	
3-20	317-319	30	Value	_	_	
3-21	320-323	and	_	_	_	
3-22	324-326	50	Value[2]	_	_	
3-23	327-328	%	Value[2]	_	_	
3-24	328-329	,	_	_	_	
3-25	330-340	henceforth	_	_	_	
3-26	341-344	the	_	_	_	
3-27	345-358	corresponding	_	_	_	
3-28	359-366	samples	_	_	_	
3-29	367-370	are	_	_	_	
3-30	371-381	designated	_	_	_	
3-31	382-384	as	_	_	_	
3-32	385-389	YMO0	_	_	_	
3-33	389-390	,	_	_	_	
3-34	391-396	YMO15	_	_	_	
3-35	396-397	,	_	_	_	
3-36	398-403	YMO30	_	_	_	
3-37	404-407	and	_	_	_	
3-38	408-413	YMO50	_	_	_	
3-39	414-426	respectively	_	_	_	
3-40	426-427	.	_	_	_	

#Text=Room temperature Raman measurements on synthesized samples were performed using a LABRAM HR800 spectrometer with a 632.8 nm excitation laser source equipped with a Peltier cooled CCD detector and the laser beam was focused on the sample by a 50 lens to give a spot size of 1 μm.
4-1	428-432	Room	_	_	_	
4-2	433-444	temperature	_	_	_	
4-3	445-450	Raman	_	_	_	
4-4	451-463	measurements	_	_	_	
4-5	464-466	on	_	_	_	
4-6	467-478	synthesized	_	_	_	
4-7	479-486	samples	_	_	_	
4-8	487-491	were	_	_	_	
4-9	492-501	performed	_	_	_	
4-10	502-507	using	_	_	_	
4-11	508-509	a	_	_	_	
4-12	510-516	LABRAM	_	_	_	
4-13	517-522	HR800	_	_	_	
4-14	523-535	spectrometer	_	_	_	
4-15	536-540	with	_	_	_	
4-16	541-542	a	_	_	_	
4-17	543-548	632.8	_	_	_	
4-18	549-551	nm	_	_	_	
4-19	552-562	excitation	_	_	_	
4-20	563-568	laser	_	_	_	
4-21	569-575	source	_	_	_	
4-22	576-584	equipped	_	_	_	
4-23	585-589	with	_	_	_	
4-24	590-591	a	_	_	_	
4-25	592-599	Peltier	_	_	_	
4-26	600-606	cooled	_	_	_	
4-27	607-610	CCD	_	_	_	
4-28	611-619	detector	_	_	_	
4-29	620-623	and	_	_	_	
4-30	624-627	the	_	_	_	
4-31	628-633	laser	_	_	_	
4-32	634-638	beam	_	_	_	
4-33	639-642	was	_	_	_	
4-34	643-650	focused	_	_	_	
4-35	651-653	on	_	_	_	
4-36	654-657	the	_	_	_	
4-37	658-664	sample	_	_	_	
4-38	665-667	by	_	_	_	
4-39	668-669	a	_	_	_	
4-40	670-672	50	_	_	_	
4-41	673-677	lens	_	_	_	
4-42	678-680	to	_	_	_	
4-43	681-685	give	_	_	_	
4-44	686-687	a	_	_	_	
4-45	688-692	spot	_	_	_	
4-46	693-697	size	_	_	_	
4-47	698-700	of	_	_	_	
4-48	701-702	1	_	_	_	
4-49	703-705	μm	_	_	_	
4-50	705-706	.	_	_	_	

#Text=The resolution of the Raman spectrometer is better than 2 cm−1.
5-1	707-710	The	_	_	_	
5-2	711-721	resolution	_	_	_	
5-3	722-724	of	_	_	_	
5-4	725-728	the	_	_	_	
5-5	729-734	Raman	_	_	_	
5-6	735-747	spectrometer	_	_	_	
5-7	748-750	is	_	_	_	
5-8	751-757	better	_	_	_	
5-9	758-762	than	_	_	_	
5-10	763-764	2	_	_	_	
5-11	765-767	cm	_	_	_	
5-12	767-768	−	_	_	_	
5-13	768-769	1	_	_	_	
5-14	769-770	.	_	_	_	

#Text=To avoid sample degradation, laser power was kept on 5 mW.
6-1	771-773	To	_	_	_	
6-2	774-779	avoid	_	_	_	
6-3	780-786	sample	_	_	_	
6-4	787-798	degradation	_	_	_	
6-5	798-799	,	_	_	_	
6-6	800-805	laser	_	_	_	
6-7	806-811	power	_	_	_	
6-8	812-815	was	_	_	_	
6-9	816-820	kept	_	_	_	
6-10	821-823	on	_	_	_	
6-11	824-825	5	_	_	_	
6-12	826-828	mW	_	_	_	
6-13	828-829	.	_	_	_	

#Text=Silver contacts were made on the samples for ferroelectric and dielectric measurements.
7-1	830-836	Silver	_	_	_	
7-2	837-845	contacts	_	_	_	
7-3	846-850	were	_	_	_	
7-4	851-855	made	_	_	_	
7-5	856-858	on	_	_	_	
7-6	859-862	the	_	_	_	
7-7	863-870	samples	_	_	_	
7-8	871-874	for	_	_	_	
7-9	875-888	ferroelectric	_	_	_	
7-10	889-892	and	_	_	_	
7-11	893-903	dielectric	_	_	_	
7-12	904-916	measurements	_	_	_	
7-13	916-917	.	_	_	_	

#Text=Ferroelectric measurements were performed by ferroelectric loop (P-E) tracer of M/s Radiant Instruments, USA.
8-1	918-931	Ferroelectric	_	_	_	
8-2	932-944	measurements	_	_	_	
8-3	945-949	were	_	_	_	
8-4	950-959	performed	_	_	_	
8-5	960-962	by	_	_	_	
8-6	963-976	ferroelectric	_	_	_	
8-7	977-981	loop	_	_	_	
8-8	982-983	(	_	_	_	
8-9	983-986	P-E	_	_	_	
8-10	986-987	)	_	_	_	
8-11	988-994	tracer	_	_	_	
8-12	995-997	of	_	_	_	
8-13	998-999	M	_	_	_	
8-14	999-1000	/	_	_	_	
8-15	1000-1001	s	_	_	_	
8-16	1002-1009	Radiant	_	_	_	
