#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of the RENiSb ternaries were synthesized from elemental constituents (purities: RE min. 99.9 at%, Ni 99.999 at%, Sb 99.99 at%) by arc-melting technique.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-30	the	_	_	_	
1-5	31-37	RENiSb	Material-target	Descriptor-of|Descriptor-of	1-1|1-6	
1-6	38-47	ternaries	Descriptor	_	_	
1-7	48-52	were	_	_	_	
1-8	53-64	synthesized	Operation	Participant-material	1-5	
1-9	65-69	from	_	_	_	
1-10	70-79	elemental	Material-recipe[1]	_	_	
1-11	80-92	constituents	Material-recipe[1]	_	_	
1-12	93-94	(	_	_	_	
1-13	94-102	purities	_	_	_	
1-14	102-103	:	_	_	_	
1-15	104-106	RE	Material-recipe	Coreference|Value-of	1-10[1_0]|1-16[2_0]	
1-16	107-110	min	Value[2]	_	_	
1-17	110-111	.	Value[2]	_	_	
1-18	112-116	99.9	Value[2]	_	_	
1-19	116-117	 	Value[2]	_	_	
1-20	117-119	at	Value[2]	_	_	
1-21	119-120	%	Value[2]	_	_	
1-22	120-121	,	_	_	_	
1-23	122-124	Ni	Material-recipe	Coreference|Value-of	1-10[1_0]|1-24[3_0]	
1-24	125-131	99.999	Value[3]	_	_	
1-25	131-132	 	Value[3]	_	_	
1-26	132-134	at	Value[3]	_	_	
1-27	134-135	%	Value[3]	_	_	
1-28	135-136	,	_	_	_	
1-29	137-139	Sb	Material-recipe	Coreference|Value-of	1-10[1_0]|1-30[4_0]	
1-30	140-145	99.99	Value[4]	_	_	
1-31	145-146	 	Value[4]	_	_	
1-32	146-148	at	Value[4]	_	_	
1-33	148-149	%	Value[4]	_	_	
1-34	149-150	)	_	_	_	
1-35	151-153	by	_	_	_	
1-36	154-165	arc-melting	Operation[5]	Coreference|Participant-material|Participant-material|Participant-material	1-8[0_5]|1-15[0_5]|1-23[0_5]|1-29[0_5]	
1-37	166-175	technique	Operation[5]	_	_	
1-38	175-176	.	_	_	_	

#Text=Specimens were remelted several times and evaporation of antimony was compensated by adding extra amount of this element before syntheses.
2-1	177-186	Specimens	Material-intermedium	_	_	
2-2	187-191	were	_	_	_	
2-3	192-200	remelted	Operation	Participant-material|Participant-material|Condition-of	2-1|2-9|2-4[6_0]	
2-4	201-208	several	Property-time[6]	_	_	
2-5	209-214	times	Property-time[6]	_	_	
2-6	215-218	and	_	_	_	
2-7	219-230	evaporation	_	_	_	
2-8	231-233	of	_	_	_	
2-9	234-242	antimony	Material-recipe	Value-of	2-14[7_0]	
2-10	243-246	was	_	_	_	
2-11	247-258	compensated	_	_	_	
2-12	259-261	by	_	_	_	
2-13	262-268	adding	_	_	_	
2-14	269-274	extra	Value[7]	_	_	
2-15	275-281	amount	Value[7]	_	_	
2-16	282-284	of	_	_	_	
2-17	285-289	this	_	_	_	
2-18	290-297	element	_	_	_	
2-19	298-304	before	_	_	_	
2-20	305-314	syntheses	_	_	_	
2-21	314-315	.	_	_	_	

#Text=In case of DyNiSb, subsequent heat treatment (1123 K, 14 days) under vacuum was found necessary for obtaining homogeneous samples due to presence of unidentified secondary phases (up to 30 vol%) in as-cast specimen.
3-1	316-318	In	_	_	_	
3-2	319-323	case	_	_	_	
3-3	324-326	of	_	_	_	
3-4	327-333	DyNiSb	Material-target	_	_	
3-5	333-334	,	_	_	_	
3-6	335-345	subsequent	Descriptor	_	_	
3-7	346-350	heat	Operation[8]	Descriptor-of|Condition-of|Condition-of|Condition-of	3-6[0_8]|3-10[9_8]|3-14[10_8]|3-18[0_8]	
3-8	351-360	treatment	Operation[8]	_	_	
3-9	361-362	(	_	_	_	
3-10	362-366	1123	Property-temperature[9]	_	_	
3-11	366-367	 	Property-temperature[9]	_	_	
3-12	367-368	K	Property-temperature[9]	_	_	
3-13	368-369	,	_	_	_	
3-14	370-372	14	Property-time[10]	_	_	
3-15	373-377	days	Property-time[10]	_	_	
3-16	377-378	)	_	_	_	
3-17	379-384	under	_	_	_	
3-18	385-391	vacuum	Property-pressure	_	_	
3-19	392-395	was	_	_	_	
3-20	396-401	found	_	_	_	
3-21	402-411	necessary	_	_	_	
3-22	412-415	for	_	_	_	
3-23	416-425	obtaining	_	_	_	
3-24	426-437	homogeneous	_	_	_	
3-25	438-445	samples	_	_	_	
3-26	446-449	due	_	_	_	
3-27	450-452	to	_	_	_	
3-28	453-461	presence	_	_	_	
3-29	462-464	of	_	_	_	
3-30	465-477	unidentified	_	_	_	
3-31	478-487	secondary	_	_	_	
3-32	488-494	phases	_	_	_	
3-33	495-496	(	_	_	_	
3-34	496-498	up	_	_	_	
3-35	499-501	to	_	_	_	
3-36	502-504	30	_	_	_	
3-37	504-505	 	_	_	_	
3-38	505-508	vol	_	_	_	
3-39	508-509	%	_	_	_	
3-40	509-510	)	_	_	_	
3-41	511-513	in	_	_	_	
3-42	514-521	as-cast	_	_	_	
3-43	522-530	specimen	_	_	_	
3-44	530-531	.	_	_	_	
