#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline Beta zeolites were synthesized by the hydrothermal method.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-20	Beta	Descriptor	_	_	
1-3	21-29	zeolites	Material-target	Descriptor-of|Descriptor-of	1-1|1-2	
1-4	30-34	were	_	_	_	
1-5	35-46	synthesized	Operation	Participant-material|Coreference	1-3|1-8[1_0]	
1-6	47-49	by	_	_	_	
1-7	50-53	the	_	_	_	
1-8	54-66	hydrothermal	Operation[1]	_	_	
1-9	67-73	method	Operation[1]	_	_	
1-10	73-74	.	_	_	_	

#Text=Appropriate amounts of sodium hydroxide (≥96.0 wt%, Sinopharm Chemical Reagent Co., Ltd.), deionized water, tetraethylammonium hydroxide (TEAOH) (25 wt% in aqueous solution, Shanghai Cainorise Chemicals Co., Ltd.), and silica (34 wt% in aqueous solution, Sigma-Aldrich) were mixed and stirred with a magnetic stirrer until the solution was clear.
2-1	75-86	Appropriate	Value[2]	_	_	
2-2	87-94	amounts	Value[2]	_	_	
2-3	95-97	of	_	_	_	
2-4	98-104	sodium	Material-recipe[3]	Value-of|Value-of|Brand-of	2-1[2_3]|2-7[4_3]|2-13[5_3]	
2-5	105-114	hydroxide	Material-recipe[3]	_	_	
2-6	115-116	(	_	_	_	
2-7	116-117	≥	Value[4]	_	_	
2-8	117-121	96.0	Value[4]	_	_	
2-9	121-122	 	Value[4]	_	_	
2-10	122-124	wt	Value[4]	_	_	
2-11	124-125	%	Value[4]	_	_	
2-12	125-126	,	_	_	_	
2-13	127-136	Sinopharm	Brand[5]	_	_	
2-14	137-145	Chemical	Brand[5]	_	_	
2-15	146-153	Reagent	Brand[5]	_	_	
2-16	154-156	Co	Brand[5]	_	_	
2-17	156-157	.	Brand[5]	_	_	
2-18	157-158	,	Brand[5]	_	_	
2-19	159-162	Ltd	Brand[5]	_	_	
2-20	162-163	.	Brand[5]	_	_	
2-21	163-164	)	_	_	_	
2-22	164-165	,	_	_	_	
2-23	166-175	deionized	Material-recipe[6]	Value-of	2-1[2_6]	
2-24	176-181	water	Material-recipe[6]	_	_	
2-25	181-182	,	_	_	_	
2-26	183-201	tetraethylammonium	Material-recipe[7]	Value-of|Coreference|Brand-of|Value-of|Coreference	2-1[2_7]|2-29[0_7]|2-40[10_7]|2-32[8_7]|2-37[9_7]	
2-27	202-211	hydroxide	Material-recipe[7]	_	_	
2-28	212-213	(	_	_	_	
2-29	213-218	TEAOH	Material-recipe	_	_	
2-30	218-219	)	_	_	_	
2-31	220-221	(	_	_	_	
2-32	221-223	25	Value[8]	_	_	
2-33	223-224	 	Value[8]	_	_	
2-34	224-226	wt	Value[8]	_	_	
2-35	226-227	%	Value[8]	_	_	
2-36	228-230	in	_	_	_	
2-37	231-238	aqueous	Material-others[9]	_	_	
2-38	239-247	solution	Material-others[9]	_	_	
2-39	247-248	,	_	_	_	
2-40	249-257	Shanghai	Brand[10]	_	_	
2-41	258-267	Cainorise	Brand[10]	_	_	
2-42	268-277	Chemicals	Brand[10]	_	_	
2-43	278-280	Co	Brand[10]	_	_	
2-44	280-281	.	Brand[10]	_	_	
2-45	281-282	,	Brand[10]	_	_	
2-46	283-286	Ltd	Brand[10]	_	_	
2-47	286-287	.	Brand[10]	_	_	
2-48	287-288	)	_	_	_	
2-49	288-289	,	_	_	_	
2-50	290-293	and	_	_	_	
2-51	294-300	silica	Material-recipe	Value-of|Brand-of|Coreference	2-53[11_0]|2-61|2-58[12_0]	
2-52	301-302	(	_	_	_	
2-53	302-304	34	Value[11]	_	_	
2-54	304-305	 	Value[11]	_	_	
2-55	305-307	wt	Value[11]	_	_	
2-56	307-308	%	Value[11]	_	_	
2-57	309-311	in	_	_	_	
2-58	312-319	aqueous	Material-others[12]	_	_	
2-59	320-328	solution	Material-others[12]	_	_	
2-60	328-329	,	_	_	_	
2-61	330-343	Sigma-Aldrich	Brand	_	_	
2-62	343-344	)	_	_	_	
2-63	345-349	were	_	_	_	
2-64	350-355	mixed	Operation	Next-operation|Participant-material|Participant-material|Participant-material|Participant-material	2-66|2-4[3_0]|2-23[6_0]|2-26[7_0]|2-51	
2-65	356-359	and	_	_	_	
2-66	360-367	stirred	Operation	Device-of-operation	2-70	
2-67	368-372	with	_	_	_	
2-68	373-374	a	Value	_	_	
2-69	375-383	magnetic	Descriptor	_	_	
2-70	384-391	stirrer	Device	Value-of|Descriptor-of	2-68|2-69	
2-71	392-397	until	_	_	_	
2-72	398-401	the	_	_	_	
2-73	402-410	solution	Material-intermedium	Descriptor-of	2-75	
2-74	411-414	was	_	_	_	
2-75	415-420	clear	Descriptor	_	_	
2-76	420-421	.	_	_	_	

#Text=Then, the dissolved sodium aluminate (Al2O3 ≥ 41 wt%, Sinopharm Chemical Reagent Co., Ltd.) was dropwise added into the solution and stirred for 3 h.
3-1	422-426	Then	_	_	_	
3-2	426-427	,	_	_	_	
3-3	428-431	the	_	_	_	
3-4	432-441	dissolved	Descriptor	_	_	
3-5	442-448	sodium	Material-intermedium[13]	Descriptor-of|Value-of|Brand-of	3-4[0_13]|3-8[14_13]|3-17[15_13]	
3-6	449-458	aluminate	Material-intermedium[13]	_	_	
3-7	459-460	(	_	_	_	
3-8	460-465	Al2O3	Value[14]	_	_	
3-9	465-466	 	Value[14]	_	_	
3-10	466-467	≥	Value[14]	_	_	
3-11	467-468	 	Value[14]	_	_	
3-12	468-470	41	Value[14]	_	_	
3-13	470-471	 	Value[14]	_	_	
3-14	471-473	wt	Value[14]	_	_	
3-15	473-474	%	Value[14]	_	_	
3-16	474-475	,	_	_	_	
3-17	476-485	Sinopharm	Brand[15]	_	_	
3-18	486-494	Chemical	Brand[15]	_	_	
3-19	495-502	Reagent	Brand[15]	_	_	
3-20	503-505	Co	Brand[15]	_	_	
3-21	505-506	.	Brand[15]	_	_	
3-22	506-507	,	Brand[15]	_	_	
3-23	508-511	Ltd	Brand[15]	_	_	
3-24	511-512	.	Brand[15]	_	_	
3-25	512-513	)	_	_	_	
3-26	514-517	was	_	_	_	
3-27	518-526	dropwise	_	_	_	
3-28	527-532	added	Operation	Participant-material|Participant-material|Next-operation	3-5[13_0]|3-31|3-33	
3-29	533-537	into	_	_	_	
3-30	538-541	the	_	_	_	
3-31	542-550	solution	Material-intermedium	_	_	
3-32	551-554	and	_	_	_	
3-33	555-562	stirred	Operation	Condition-of	3-35[16_0]	
3-34	563-566	for	_	_	_	
3-35	567-568	3	Property-time[16]	_	_	
3-36	568-569	 	Property-time[16]	_	_	
3-37	569-570	h	Property-time[16]	_	_	
3-38	570-571	.	_	_	_	

#Text=The molecular composition of the final mixture was 1SiO2:0.266TEAOH:0.106NaOH:0.025Al2O3:11.8H2O, and this mixture was hydrothermally treated in a Teflon-lined stainless steel autoclave.
4-1	572-575	The	_	_	_	
4-2	576-585	molecular	Value[17]	_	_	
4-3	586-597	composition	Value[17]	_	_	
4-4	598-600	of	_	_	_	
4-5	601-604	the	_	_	_	
4-6	605-610	final	Material-intermedium[18]	Value-of|Coreference	4-2[17_18]|4-9[19_18]	
4-7	611-618	mixture	Material-intermedium[18]	_	_	
4-8	619-622	was	_	_	_	
4-9	623-628	1SiO2	Material-intermedium[19]	Coreference	4-21[0_19]	
4-10	628-629	:	Material-intermedium[19]	_	_	
4-11	629-639	0.266TEAOH	Material-intermedium[19]	_	_	
4-12	639-640	:	Material-intermedium[19]	_	_	
4-13	640-649	0.106NaOH	Material-intermedium[19]	_	_	
4-14	649-650	:	Material-intermedium[19]	_	_	
4-15	650-660	0.025Al2O3	Material-intermedium[19]	_	_	
4-16	660-661	:	Material-intermedium[19]	_	_	
4-17	661-668	11.8H2O	Material-intermedium[19]	_	_	
4-18	668-669	,	_	_	_	
4-19	670-673	and	_	_	_	
4-20	674-678	this	_	_	_	
4-21	679-686	mixture	Material-intermedium	_	_	
4-22	687-690	was	_	_	_	
4-23	691-705	hydrothermally	Descriptor	_	_	
4-24	706-713	treated	Operation	Participant-material|Descriptor-of	4-21|4-23	
4-25	714-716	in	_	_	_	
4-26	717-718	a	Value	_	_	
4-27	719-731	Teflon-lined	Descriptor	_	_	
4-28	732-741	stainless	Descriptor	_	_	
4-29	742-747	steel	Descriptor	_	_	
4-30	748-757	autoclave	Device	Value-of|Descriptor-of|Descriptor-of|Descriptor-of	4-26|4-27|4-28|4-29	
4-31	757-758	.	_	_	_	

#Text=The hydrothermal conditions (temperature and time) were adjusted to obtain polycrystalline Beta zeolites of different particle sizes, as shown in Table 1.
5-1	759-762	The	_	_	_	
5-2	763-775	hydrothermal	Property-temperature[20]	Coreference	5-5[0_20]	
5-3	776-786	conditions	Property-temperature[20]	_	_	
5-4	787-788	(	_	_	_	
5-5	788-799	temperature	Property-temperature	_	_	
5-6	800-803	and	_	_	_	
5-7	804-808	time	Property-time	_	_	
5-8	808-809	)	_	_	_	
5-9	810-814	were	_	_	_	
5-10	815-823	adjusted	Operation	Condition-of|Condition-of	5-2[20_0]|5-7	
5-11	824-826	to	_	_	_	
5-12	827-833	obtain	_	_	_	
5-13	834-849	polycrystalline	Descriptor	_	_	
5-14	850-854	Beta	Descriptor	_	_	
5-15	855-863	zeolites	Material-target	Descriptor-of|Descriptor-of|Descriptor-of	5-13|5-14|5-17[21_0]	
5-16	864-866	of	_	_	_	
5-17	867-876	different	Descriptor[21]	_	_	
5-18	877-885	particle	Descriptor[21]	_	_	
5-19	886-891	sizes	Descriptor[21]	_	_	
5-20	891-892	,	_	_	_	
5-21	893-895	as	_	_	_	
5-22	896-901	shown	_	_	_	
5-23	902-904	in	_	_	_	
5-24	905-910	Table	_	_	_	
5-25	911-912	1	_	_	_	
5-26	912-913	.	_	_	_	

#Text=After the hydrothermal treatment, the product was washed with deionized water and centrifuged repeatedly for three times, and then dried at 353 K for 8 h.
6-1	914-919	After	_	_	_	
6-2	920-923	the	_	_	_	
6-3	924-936	hydrothermal	Operation[22]	Next-operation	6-9[0_22]	
6-4	937-946	treatment	Operation[22]	_	_	
6-5	946-947	,	_	_	_	
6-6	948-951	the	_	_	_	
6-7	952-959	product	Material-intermedium	_	_	
6-8	960-963	was	_	_	_	
6-9	964-970	washed	Operation	Participant-material|Participant-material|Next-operation	6-7|6-11[23_0]|6-14	
6-10	971-975	with	_	_	_	
6-11	976-985	deionized	Material-others[23]	_	_	
6-12	986-991	water	Material-others[23]	_	_	
6-13	992-995	and	_	_	_	
6-14	996-1007	centrifuged	Operation	Descriptor-of|Condition-of|Next-operation	6-15|6-17[24_0]|6-22	
6-15	1008-1018	repeatedly	Descriptor	_	_	
6-16	1019-1022	for	_	_	_	
6-17	1023-1028	three	Property-time[24]	_	_	
6-18	1029-1034	times	Property-time[24]	_	_	
6-19	1034-1035	,	_	_	_	
6-20	1036-1039	and	_	_	_	
6-21	1040-1044	then	_	_	_	
6-22	1045-1050	dried	Operation	Condition-of|Condition-of	6-24[25_0]|6-28[26_0]	
6-23	1051-1053	at	_	_	_	
6-24	1054-1057	353	Property-temperature[25]	_	_	
6-25	1057-1058	 	Property-temperature[25]	_	_	
6-26	1058-1059	K	Property-temperature[25]	_	_	
6-27	1060-1063	for	_	_	_	
6-28	1064-1065	8	Property-time[26]	_	_	
6-29	1065-1066	 	Property-time[26]	_	_	
6-30	1066-1067	h	Property-time[26]	_	_	
6-31	1067-1068	.	_	_	_	

#Text=Finally, to remove the organic template, the product was calcined in air at 823 K for 6 h with a temperature ramp of 1.5 K/min.
7-1	1069-1076	Finally	_	_	_	
7-2	1076-1077	,	_	_	_	
7-3	1078-1080	to	_	_	_	
7-4	1081-1087	remove	_	_	_	
7-5	1088-1091	the	_	_	_	
7-6	1092-1099	organic	_	_	_	
7-7	1100-1108	template	_	_	_	
7-8	1108-1109	,	_	_	_	
7-9	1110-1113	the	_	_	_	
7-10	1114-1121	product	Material-intermedium	_	_	
7-11	1122-1125	was	_	_	_	
7-12	1126-1134	calcined	Operation	Participant-material|Condition-of|Condition-of|Condition-of|Condition-of	7-10|7-14|7-16[27_0]|7-20[28_0]|7-28[30_0]	
7-13	1135-1137	in	_	_	_	
7-14	1138-1141	air	Property-pressure	_	_	
7-15	1142-1144	at	_	_	_	
7-16	1145-1148	823	Property-temperature[27]	_	_	
7-17	1148-1149	 	Property-temperature[27]	_	_	
7-18	1149-1150	K	Property-temperature[27]	_	_	
7-19	1151-1154	for	_	_	_	
7-20	1155-1156	6	Property-time[28]	_	_	
7-21	1156-1157	 	Property-time[28]	_	_	
7-22	1157-1158	h	Property-time[28]	_	_	
7-23	1159-1163	with	_	_	_	
7-24	1164-1165	a	_	_	_	
7-25	1166-1177	temperature	Property-rate[29]	Coreference	7-28[30_29]	
7-26	1178-1182	ramp	Property-rate[29]	_	_	
7-27	1183-1185	of	_	_	_	
