#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The polycrystalline powders of Dy3+-doped KLa(PO3)4 (x=0.5%, 1%, 5% and 10%) have been prepared by solid state reaction [2].
1-1	0-3	The	_	_	_	
1-2	4-19	polycrystalline	Descriptor	_	_	
1-3	20-27	powders	Descriptor	_	_	
1-4	28-30	of	_	_	_	
1-5	31-34	Dy3	Material-target[1]	Descriptor-of|Descriptor-of|Descriptor-of	1-15[2_1]|1-3[0_1]|1-2[0_1]	
1-6	34-35	+	Material-target[1]	_	_	
1-7	35-36	-	Material-target[1]	_	_	
1-8	36-41	doped	Material-target[1]	_	_	
1-9	42-45	KLa	Material-target[1]	_	_	
1-10	45-46	(	Material-target[1]	_	_	
1-11	46-49	PO3	Material-target[1]	_	_	
1-12	49-50	)	Material-target[1]	_	_	
1-13	50-51	4	Material-target[1]	_	_	
1-14	52-53	(	_	_	_	
1-15	53-54	x	Descriptor[2]	_	_	
1-16	54-55	=	Descriptor[2]	_	_	
1-17	55-59	0.5%	Descriptor[2]	_	_	
1-18	59-60	,	Descriptor[2]	_	_	
1-19	61-63	1%	Descriptor[2]	_	_	
1-20	63-64	,	Descriptor[2]	_	_	
1-21	65-67	5%	Descriptor[2]	_	_	
1-22	68-71	and	Descriptor[2]	_	_	
1-23	72-75	10%	Descriptor[2]	_	_	
1-24	75-76	)	_	_	_	
1-25	77-81	have	_	_	_	
1-26	82-86	been	_	_	_	
1-27	87-95	prepared	Operation	Participant-material|Coreference	1-5[1_0]|1-29[3_0]	
1-28	96-98	by	_	_	_	
1-29	99-104	solid	Operation[3]	_	_	
1-30	105-110	state	Operation[3]	_	_	
1-31	111-119	reaction	Operation[3]	_	_	
1-32	120-121	[	_	_	_	
1-33	121-122	2	_	_	_	
1-34	122-123	]	_	_	_	
1-35	123-124	.	_	_	_	

#Text=Stoichiometric ratio of (NH4)2HPO4 (MERK, 99%), K2CO3 and Dy2O3 for 0.4 g of La2O3 (Fluka, 99.98%) were used as starting reagents according to the following reaction:
#Text=8(NH4)2HPO4+xDy2O3+(1−x)La2O3+K2CO3→2KLa1−xDyx(PO3)4+16NH3↑+12H2O↑+CO2↑.
2-1	125-139	Stoichiometric	Value[4]	_	_	
2-2	140-145	ratio	Value[4]	_	_	
2-3	146-148	of	_	_	_	
2-4	149-150	(	Material-recipe[5]	Brand-of|Value-of|Value-of|Coreference	2-9[0_5]|2-11[0_5]|2-1[4_5]|2-39[8_5]	
2-5	150-153	NH4	Material-recipe[5]	_	_	
2-6	153-154	)	Material-recipe[5]	_	_	
2-7	154-159	2HPO4	Material-recipe[5]	_	_	
2-8	160-161	(	_	_	_	
2-9	161-165	MERK	Brand	_	_	
2-10	165-166	,	_	_	_	
2-11	167-170	99%	Value	_	_	
2-12	170-171	)	_	_	_	
2-13	171-172	,	_	_	_	
2-14	173-178	K2CO3	Material-recipe	Value-of|Coreference	2-1[4_0]|2-53	
2-15	179-182	and	_	_	_	
2-16	183-188	Dy2O3	Material-recipe	Value-of|Coreference	2-1[4_0]|2-44	
2-17	189-192	for	_	_	_	
2-18	193-196	0.4	Value[6]	_	_	
2-19	197-198	g	Value[6]	_	_	
2-20	199-201	of	_	_	_	
2-21	202-207	La2O3	Material-recipe	Value-of|Value-of|Brand-of|Value-of|Coreference	2-18[6_0]|2-1[4_0]|2-23|2-25|2-51	
2-22	208-209	(	_	_	_	
2-23	209-214	Fluka	Brand	_	_	
2-24	214-215	,	_	_	_	
2-25	216-222	99.98%	Value	_	_	
2-26	222-223	)	_	_	_	
2-27	224-228	were	_	_	_	
2-28	229-233	used	Operation	Participant-material|Participant-material|Participant-material|Participant-material	2-4[5_0]|2-14|2-16|2-21	
2-29	234-236	as	_	_	_	
2-30	237-245	starting	Material-recipe[7]	Coreference|Coreference|Coreference|Coreference	2-4[5_7]|2-14[0_7]|2-16[0_7]|2-21[0_7]	
2-31	246-254	reagents	Material-recipe[7]	_	_	
2-32	255-264	according	_	_	_	
2-33	265-267	to	_	_	_	
2-34	268-271	the	_	_	_	
2-35	272-281	following	_	_	_	
2-36	282-290	reaction	_	_	_	
2-37	290-291	:	_	_	_	
2-38	292-293	8	Value	_	_	
2-39	293-294	(	Material-recipe[8]	Value-of	2-38[0_8]	
2-40	294-297	NH4	Material-recipe[8]	_	_	
2-41	297-298	)	Material-recipe[8]	_	_	
2-42	298-303	2HPO4	Material-recipe[8]	_	_	
2-43	303-304	+	_	_	_	
2-44	304-310	xDy2O3	Material-recipe	_	_	
2-45	310-311	+	_	_	_	
2-46	311-312	(	_	_	_	
2-47	312-313	1	Value[9]	_	_	
2-48	313-314	−	Value[9]	_	_	
2-49	314-315	x	Value[9]	_	_	
2-50	315-316	)	_	_	_	
2-51	316-321	La2O3	Material-recipe	Value-of	2-47[9_0]	
2-52	321-322	+	_	_	_	
2-53	322-327	K2CO3	Material-recipe	_	_	
2-54	327-328	→	Operation	Participant-material|Participant-material|Participant-material|Participant-material|Participant-material|Participant-material|Participant-material	2-44|2-51|2-53|2-55[10_0]|2-63|2-66|2-69	
2-55	328-333	2KLa1	Material-target[10]	_	_	
2-56	333-334	−	Material-target[10]	_	_	
2-57	334-338	xDyx	Material-target[10]	_	_	
2-58	338-339	(	Material-target[10]	_	_	
2-59	339-342	PO3	Material-target[10]	_	_	
2-60	342-343	)	Material-target[10]	_	_	
2-61	343-344	4	Material-target[10]	_	_	
2-62	344-345	+	_	_	_	
2-63	345-350	16NH3	Material-others	_	_	
2-64	350-351	↑	_	_	_	
2-65	351-352	+	_	_	_	
2-66	352-357	12H2O	Material-others	_	_	
2-67	357-358	↑	_	_	_	
2-68	358-359	+	_	_	_	
2-69	359-362	CO2	Material-others	_	_	
2-70	362-363	↑	_	_	_	
2-71	363-364	.	_	_	_	

#Text=The mixture was finely ground in an agate mortar to ensure the best homogeneity and reactivity.
3-1	366-369	The	_	_	_	
3-2	370-377	mixture	Material-intermedium	_	_	
3-3	378-381	was	_	_	_	
3-4	382-388	finely	Descriptor	_	_	
3-5	389-395	ground	Operation	Descriptor-of|Participant-material|Device-of-operation	3-4|3-2|3-9	
3-6	396-398	in	_	_	_	
3-7	399-401	an	Value	_	_	
3-8	402-407	agate	Descriptor	_	_	
3-9	408-414	mortar	Device	Descriptor-of|Value-of	3-8|3-7	
3-10	415-417	to	_	_	_	
3-11	418-424	ensure	_	_	_	
3-12	425-428	the	_	_	_	
3-13	429-433	best	_	_	_	
3-14	434-445	homogeneity	_	_	_	
3-15	446-449	and	_	_	_	
3-16	450-460	reactivity	_	_	_	
3-17	460-461	.	_	_	_	

#Text=Then, it was poured into platinum crucible and heated progressively from room temperature to 400 °C (0.5 °C/min) and kept for 2 days at this temperature.
4-1	462-466	Then	_	_	_	
4-2	466-467	,	_	_	_	
4-3	468-470	it	Material-intermedium	_	_	
4-4	471-474	was	_	_	_	
4-5	475-481	poured	Operation	Participant-material|Device-of-operation|Next-operation	4-3|4-8|4-10	
4-6	482-486	into	_	_	_	
4-7	487-495	platinum	Descriptor	_	_	
4-8	496-504	crucible	Device	Descriptor-of	4-7	
4-9	505-508	and	_	_	_	
4-10	509-515	heated	Operation	Condition-of|Condition-of|Condition-of|Descriptor-of|Next-operation	4-13[11_0]|4-16[12_0]|4-20[13_0]|4-11|4-27	
4-11	516-529	progressively	Descriptor	_	_	
4-12	530-534	from	_	_	_	
4-13	535-539	room	Property-temperature[11]	_	_	
4-14	540-551	temperature	Property-temperature[11]	_	_	
4-15	552-554	to	_	_	_	
4-16	555-558	400	Property-temperature[12]	Coreference	4-32[15_12]	
4-17	559-560	°	Property-temperature[12]	_	_	
4-18	560-561	C	Property-temperature[12]	_	_	
4-19	562-563	(	_	_	_	
4-20	563-566	0.5	Property-rate[13]	_	_	
4-21	567-568	°	Property-rate[13]	_	_	
