#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline SmFe0.5Mn0.5O3 samples were produced by the combustion reaction method [29].
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-30	SmFe0.5Mn0.5O3	Material-target	Descriptor-of	1-1	
1-3	31-38	samples	_	_	_	
1-4	39-43	were	_	_	_	
1-5	44-52	produced	Operation	Participant-material	1-2	
1-6	53-55	by	_	_	_	
1-7	56-59	the	_	_	_	
1-8	60-70	combustion	Operation[1]	Coreference	1-5[0_1]	
1-9	71-79	reaction	Operation[1]	_	_	
1-10	80-86	method	Operation[1]	_	_	
1-11	87-88	[	_	_	_	
1-12	88-90	29	_	_	_	
1-13	90-91	]	_	_	_	
1-14	91-92	.	_	_	_	

#Text=A solution containing the stoichiometric quantity of high quality grade reagents Sm(NO3)3.6H2O (Aldrich 99.98%), MnCl2:4H2O (Aldrich 99%) and Fe(NO3)3.9H2O (Aldrich; 99.9%) was formed by diluting them in distilled water.
2-1	93-94	A	_	_	_	
2-2	95-103	solution	Material-intermedium	_	_	
2-3	104-114	containing	_	_	_	
2-4	115-118	the	_	_	_	
2-5	119-133	stoichiometric	Value[2]	_	_	
2-6	134-142	quantity	Value[2]	_	_	
2-7	143-145	of	_	_	_	
2-8	146-150	high	Descriptor[3]	_	_	
2-9	151-158	quality	Descriptor[3]	_	_	
2-10	159-164	grade	Descriptor[3]	_	_	
2-11	165-173	reagents	Material-recipe	Descriptor-of	2-8[3_0]	
2-12	174-176	Sm	Material-recipe[4]	Value-of|Brand-of|Coreference|Value-of	2-19[0_4]|2-18[0_4]|2-11[0_4]|2-5[2_4]	
2-13	176-177	(	Material-recipe[4]	_	_	
2-14	177-180	NO3	Material-recipe[4]	_	_	
2-15	180-181	)	Material-recipe[4]	_	_	
2-16	181-187	3.6H2O	Material-recipe[4]	_	_	
2-17	188-189	(	_	_	_	
2-18	189-196	Aldrich	Brand	_	_	
2-19	197-203	99.98%	Value	_	_	
2-20	203-204	)	_	_	_	
2-21	204-205	,	_	_	_	
2-22	206-211	MnCl2	Material-recipe[5]	Brand-of|Value-of|Coreference|Value-of	2-26[0_5]|2-27[0_5]|2-11[0_5]|2-5[2_5]	
2-23	211-212	:	Material-recipe[5]	_	_	
2-24	212-216	4H2O	Material-recipe[5]	_	_	
2-25	217-218	(	_	_	_	
2-26	218-225	Aldrich	Brand	_	_	
2-27	226-229	99%	Value	_	_	
2-28	229-230	)	_	_	_	
2-29	231-234	and	_	_	_	
