#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline La1−xMgxMnO3(x = 0.10, 0.25, 0.50) sampleswere prepared by the usual solid state reaction method froma stoichiometric mixture of high purity La2O3(99.99%), MgO(99.995%) and MnO2(99.99%) in air at sintering temperature of1150◦C by 24 h at 2.5◦C/min of heating and cooling rate.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-19	La1	Material-target[1]	Descriptor-of|Descriptor-of	1-6[2_1]|1-1[0_1]	
1-3	19-20	−	Material-target[1]	_	_	
1-4	20-28	xMgxMnO3	Material-target[1]	_	_	
1-5	28-29	(	_	_	_	
1-6	29-30	x	Descriptor[2]	_	_	
1-7	31-32	=	Descriptor[2]	_	_	
1-8	33-37	0.10	Descriptor[2]	_	_	
1-9	37-38	,	Descriptor[2]	_	_	
1-10	39-43	0.25	Descriptor[2]	_	_	
1-11	43-44	,	Descriptor[2]	_	_	
1-12	45-49	0.50	Descriptor[2]	_	_	
1-13	49-50	)	_	_	_	
1-14	51-62	sampleswere	_	_	_	
1-15	63-71	prepared	Operation	Participant-material|Coreference|Participant-material|Participant-material|Participant-material|Condition-of|Condition-of|Condition-of|Condition-of	1-2[1_0]|1-19[3_0]|1-29|1-34|1-39|1-44|1-48[6_0]|1-52[7_0]|1-55[8_0]	
1-16	72-74	by	_	_	_	
1-17	75-78	the	_	_	_	
1-18	79-84	usual	_	_	_	
1-19	85-90	solid	Operation[3]	_	_	
1-20	91-96	state	Operation[3]	_	_	
1-21	97-105	reaction	Operation[3]	_	_	
1-22	106-112	method	Operation[3]	_	_	
1-23	113-118	froma	_	_	_	
1-24	119-133	stoichiometric	Value	_	_	
1-25	134-141	mixture	Material-recipe	Value-of|Coreference|Coreference|Coreference	1-24|1-29|1-34|1-39	
1-26	142-144	of	_	_	_	
1-27	145-149	high	Descriptor[4]	_	_	
1-28	150-156	purity	Descriptor[4]	_	_	
1-29	157-162	La2O3	Material-recipe	Descriptor-of|Value-of	1-27[4_0]|1-31	
1-30	162-163	(	_	_	_	
1-31	163-169	99.99%	Value	_	_	
1-32	169-170	)	_	_	_	
1-33	170-171	,	_	_	_	
