#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The Sr2Co2GexMnxFe12−2xO22, (where X = 0.0, 0.1, 0.2, 0.3, 0.4 and 0.5) polycrystalline nanomaterials were fabricated by simple sol–gel process.
1-1	0-3	The	_	_	_	
1-2	4-20	Sr2Co2GexMnxFe12	Material-target[1]	Descriptor-of|Descriptor-of|Descriptor-of	1-8[2_1]|1-24[0_1]|1-25[0_1]	
1-3	20-21	−	Material-target[1]	_	_	
1-4	21-26	2xO22	Material-target[1]	_	_	
1-5	26-27	,	_	_	_	
1-6	28-29	(	_	_	_	
1-7	29-34	where	_	_	_	
1-8	35-36	X	Descriptor[2]	_	_	
1-9	36-37	 	Descriptor[2]	_	_	
1-10	37-38	=	Descriptor[2]	_	_	
1-11	38-39	 	Descriptor[2]	_	_	
1-12	39-42	0.0	Descriptor[2]	_	_	
1-13	42-43	,	Descriptor[2]	_	_	
1-14	44-47	0.1	Descriptor[2]	_	_	
1-15	47-48	,	Descriptor[2]	_	_	
1-16	49-52	0.2	Descriptor[2]	_	_	
1-17	52-53	,	Descriptor[2]	_	_	
1-18	54-57	0.3	Descriptor[2]	_	_	
1-19	57-58	,	Descriptor[2]	_	_	
1-20	59-62	0.4	Descriptor[2]	_	_	
1-21	63-66	and	Descriptor[2]	_	_	
1-22	67-70	0.5	Descriptor[2]	_	_	
1-23	70-71	)	_	_	_	
1-24	72-87	polycrystalline	Descriptor	_	_	
1-25	88-101	nanomaterials	Descriptor	_	_	
1-26	102-106	were	_	_	_	
1-27	107-117	fabricated	Operation	Participant-material|Coreference	1-8[2_0]|1-29[3_0]	
1-28	118-120	by	_	_	_	
1-29	121-127	simple	Operation[3]	_	_	
1-30	128-135	sol–gel	Operation[3]	_	_	
1-31	136-143	process	Operation[3]	_	_	
1-32	143-144	.	_	_	_	

#Text=The required amount of metal salts (given in table 1) were dissolved in deionized water and stirred on magnetic stirring hot plate at 50 °C for half an hour.
2-1	145-148	The	_	_	_	
2-2	149-157	required	Value[4]	_	_	
2-3	158-164	amount	Value[4]	_	_	
2-4	165-167	of	_	_	_	
2-5	168-173	metal	Material-recipe[5]	Value-of	2-2[4_5]	
2-6	174-179	salts	Material-recipe[5]	_	_	
2-7	180-181	(	_	_	_	
2-8	181-186	given	_	_	_	
2-9	187-189	in	_	_	_	
2-10	190-195	table	_	_	_	
2-11	196-197	1	_	_	_	
2-12	197-198	)	_	_	_	
2-13	199-203	were	_	_	_	
2-14	204-213	dissolved	Operation	Next-operation|Participant-material|Participant-material	2-19|2-5[5_0]|2-16[6_0]	
2-15	214-216	in	_	_	_	
2-16	217-226	deionized	Material-others[6]	_	_	
2-17	227-232	water	Material-others[6]	_	_	
2-18	233-236	and	_	_	_	
2-19	237-244	stirred	Operation	Condition-of|Condition-of|Device-of-operation	2-31[9_0]|2-26[8_0]|2-22[7_0]	
2-20	245-247	on	_	_	_	
2-21	248-256	magnetic	Descriptor	_	_	
2-22	257-265	stirring	Device[7]	Descriptor-of	2-21[0_7]	
2-23	266-269	hot	Device[7]	_	_	
2-24	270-275	plate	Device[7]	_	_	
2-25	276-278	at	_	_	_	
2-26	279-281	50	Property-temperature[8]	_	_	
2-27	281-282	 	Property-temperature[8]	_	_	
2-28	282-283	°	Property-temperature[8]	_	_	
2-29	283-284	C	Property-temperature[8]	_	_	
2-30	285-288	for	_	_	_	
2-31	289-293	half	Property-time[9]	_	_	
2-32	294-296	an	Property-time[9]	_	_	
2-33	297-301	hour	Property-time[9]	_	_	
2-34	301-302	.	_	_	_	

#Text=The ethylene glycol as a chelating agent was mixed with the metal salt solution keeping the ratio 1:1.5 between metals and chelating agent.
3-1	303-306	The	_	_	_	
3-2	307-315	ethylene	Material-others[10]	Coreference|Value-of	3-6[11_10]|3-18[13_10]	
3-3	316-322	glycol	Material-others[10]	_	_	
3-4	323-325	as	_	_	_	
3-5	326-327	a	Value	_	_	
3-6	328-337	chelating	Material-others[11]	Value-of	3-5[0_11]	
3-7	338-343	agent	Material-others[11]	_	_	
3-8	344-347	was	_	_	_	
3-9	348-353	mixed	Operation	Participant-material|Participant-material	3-12[12_0]|3-2[10_0]	
3-10	354-358	with	_	_	_	
3-11	359-362	the	_	_	_	
3-12	363-368	metal	Material-intermedium[12]	Value-of	3-18[13_12]	
3-13	369-373	salt	Material-intermedium[12]	_	_	
3-14	374-382	solution	Material-intermedium[12]	_	_	
3-15	383-390	keeping	_	_	_	
3-16	391-394	the	_	_	_	
3-17	395-400	ratio	Descriptor	Descriptor-of	3-22[14_0]	
3-18	401-402	1	Value[13]	Descriptor-of	3-17[0_13]	
3-19	402-403	:	Value[13]	_	_	
3-20	403-406	1.5	Value[13]	_	_	
3-21	407-414	between	_	_	_	
3-22	415-421	metals	Descriptor[14]	_	_	
3-23	422-425	and	Descriptor[14]	_	_	
3-24	426-435	chelating	Descriptor[14]	_	_	
3-25	436-441	agent	Descriptor[14]	_	_	
3-26	441-442	.	_	_	_	

