#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of Ca2CeCr2TiO9 and SrLaCrSnO6 were synthesised using the traditional ceramic method.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-39	Ca2CeCr2TiO9	Material-target	Descriptor-of	1-1	
1-5	40-43	and	_	_	_	
1-6	44-54	SrLaCrSnO6	Material-target	Descriptor-of	1-1	
1-7	55-59	were	_	_	_	
1-8	60-71	synthesised	Operation	Participant-material|Participant-material	1-6|1-4	
1-9	72-77	using	_	_	_	
1-10	78-81	the	_	_	_	
1-11	82-93	traditional	Operation[1]	Coreference	1-8[0_1]	
1-12	94-101	ceramic	Operation[1]	_	_	
1-13	102-108	method	Operation[1]	_	_	
1-14	108-109	.	_	_	_	

#Text=To form SrLaCrSnO6, stoichiometric quantities of SrCO3, Cr2O3, SnO2 and pre-dried La2O3 were ground in an agate pestle and mortar for 30 min and then fired at 900 °C as a loose powder for 16 h.
2-1	110-112	To	_	_	_	
2-2	113-117	form	_	_	_	
2-3	118-128	SrLaCrSnO6	Material-target	_	_	
2-4	128-129	,	_	_	_	
2-5	130-144	stoichiometric	Value[2]	_	_	
2-6	145-155	quantities	Value[2]	_	_	
2-7	156-158	of	_	_	_	
2-8	159-164	SrCO3	Material-recipe	Value-of	2-5[2_0]	
2-9	164-165	,	_	_	_	
2-10	166-171	Cr2O3	Material-recipe	Value-of	2-5[2_0]	
2-11	171-172	,	_	_	_	
2-12	173-177	SnO2	Material-recipe	Value-of	2-5[2_0]	
2-13	178-181	and	_	_	_	
2-14	182-191	pre-dried	Descriptor	_	_	
2-15	192-197	La2O3	Material-recipe	Descriptor-of|Value-of	2-14|2-5[2_0]	
2-16	198-202	were	_	_	_	
2-17	203-209	ground	Operation	Participant-material|Participant-material|Participant-material|Participant-material|Condition-of|Next-operation|Device-of-operation	2-8|2-10|2-12|2-15|2-25[4_0]|2-30|2-21[3_0]	
2-18	210-212	in	_	_	_	
2-19	213-215	an	Value	_	_	
2-20	216-221	agate	Descriptor	_	_	
2-21	222-228	pestle	Device[3]	Value-of|Descriptor-of	2-19[0_3]|2-20[0_3]	
2-22	229-232	and	Device[3]	_	_	
2-23	233-239	mortar	Device[3]	_	_	
2-24	240-243	for	_	_	_	
2-25	244-246	30	Property-time[4]	_	_	
2-26	246-247	 	Property-time[4]	_	_	
2-27	247-250	min	Property-time[4]	_	_	
2-28	251-254	and	_	_	_	
2-29	255-259	then	_	_	_	
2-30	260-265	fired	Operation	Condition-of|Participant-material|Condition-of	2-32[5_0]|2-39|2-41[6_0]	
2-31	266-268	at	_	_	_	
2-32	269-272	900	Property-temperature[5]	_	_	
2-33	272-273	 	Property-temperature[5]	_	_	
2-34	273-274	°	Property-temperature[5]	_	_	
2-35	274-275	C	Property-temperature[5]	_	_	
2-36	276-278	as	_	_	_	
2-37	279-280	a	Value	_	_	
2-38	281-286	loose	Descriptor	_	_	
2-39	287-293	powder	Material-intermedium	Descriptor-of|Value-of	2-38|2-37	
2-40	294-297	for	_	_	_	
2-41	298-300	16	Property-time[6]	_	_	
2-42	300-301	 	Property-time[6]	_	_	
2-43	301-302	h	Property-time[6]	_	_	
2-44	302-303	.	_	_	_	

#Text=The resulting mixture was reground, pelletised and fired at 1300 °C for 6 h.
3-1	304-307	The	_	_	_	
3-2	308-317	resulting	Descriptor	_	_	
3-3	318-325	mixture	Material-intermedium	Descriptor-of	3-2	
3-4	326-329	was	_	_	_	
3-5	330-338	reground	Operation	Next-operation|Participant-material	3-7|3-3	
3-6	338-339	,	_	_	_	
3-7	340-350	pelletised	Operation	Next-operation	3-9	
3-8	351-354	and	_	_	_	
3-9	355-360	fired	Operation	Condition-of|Condition-of	3-16[8_0]|3-11[7_0]	
3-10	361-363	at	_	_	_	
3-11	364-368	1300	Property-temperature[7]	_	_	
3-12	368-369	 	Property-temperature[7]	_	_	
3-13	369-370	°	Property-temperature[7]	_	_	
3-14	370-371	C	Property-temperature[7]	_	_	
3-15	372-375	for	_	_	_	
3-16	376-377	6	Property-time[8]	_	_	
3-17	377-378	 	Property-time[8]	_	_	
3-18	378-379	h	Property-time[8]	_	_	
3-19	379-380	.	_	_	_	

#Text=The sample was subsequently fired at 1350 °C for 48 h and then at 1400 °C for 48 h at a time until the reaction was deemed, on the basis of the X-ray powder diffraction pattern, to have gone to completion.
4-1	381-384	The	_	_	_	
4-2	385-391	sample	Material-intermedium	_	_	
4-3	392-395	was	_	_	_	
4-4	396-408	subsequently	_	_	_	
4-5	409-414	fired	Operation	Participant-material|Condition-of|Condition-of|Condition-of|Condition-of	4-2|4-7[9_0]|4-12[10_0]|4-18[11_0]|4-23[12_0]	
4-6	415-417	at	_	_	_	
4-7	418-422	1350	Property-temperature[9]	_	_	
4-8	422-423	 	Property-temperature[9]	_	_	
4-9	423-424	°	Property-temperature[9]	_	_	
4-10	424-425	C	Property-temperature[9]	_	_	
4-11	426-429	for	_	_	_	
