#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Starting materials for the preparation of the Sc12Co42Si30 polycrystalline samples were commercially available pure elements: scandium metal with a claimed purity of 99.99 ​at.%, Alfa-Aesar, Johnson Matthey, sublimed bulk pieces; polycrystalline silicon pieces, purity >99.99 ​at.%, H. C. Starck; cobalt pieces, purity 99.98 ​at.%, Fluka Chemicals.
1-1	0-8	Starting	Material-recipe[1]	Coreference	1-14[2_1]	
1-2	9-18	materials	Material-recipe[1]	_	_	
1-3	19-22	for	_	_	_	
1-4	23-26	the	_	_	_	
1-5	27-38	preparation	Operation	Participant-material|Participant-material	1-1[1_0]|1-8	
1-6	39-41	of	_	_	_	
1-7	42-45	the	_	_	_	
1-8	46-58	Sc12Co42Si30	Material-target	Descriptor-of	1-9	
1-9	59-74	polycrystalline	Descriptor	_	_	
1-10	75-82	samples	_	_	_	
1-11	83-87	were	_	_	_	
1-12	88-100	commercially	_	_	_	
1-13	101-110	available	_	_	_	
1-14	111-115	pure	Material-recipe[2]	Coreference|Coreference|Coreference	1-17[0_2]|1-40[0_2]|1-57[0_2]	
1-15	116-124	elements	Material-recipe[2]	_	_	
1-16	124-125	:	_	_	_	
1-17	126-134	scandium	Material-recipe	Descriptor-of|Value-of|Descriptor-of|Brand-of|Brand-of	1-18|1-24[3_0]|1-35[5_0]|1-30|1-32[4_0]	
1-18	135-140	metal	Descriptor	_	_	
1-19	141-145	with	_	_	_	
1-20	146-147	a	_	_	_	
1-21	148-155	claimed	_	_	_	
1-22	156-162	purity	Descriptor	_	_	
1-23	163-165	of	_	_	_	
1-24	166-171	99.99	Value[3]	Descriptor-of	1-22[0_3]	
1-25	172-173	​	Value[3]	_	_	
1-26	173-175	at	Value[3]	_	_	
1-27	175-176	.	Value[3]	_	_	
1-28	176-177	%	Value[3]	_	_	
1-29	177-178	,	_	_	_	
1-30	179-189	Alfa-Aesar	Brand	_	_	
1-31	189-190	,	_	_	_	
1-32	191-198	Johnson	Brand[4]	_	_	
1-33	199-206	Matthey	Brand[4]	_	_	
1-34	206-207	,	_	_	_	
1-35	208-216	sublimed	Descriptor[5]	_	_	
1-36	217-221	bulk	Descriptor[5]	_	_	
1-37	222-228	pieces	Descriptor[5]	_	_	
1-38	228-229	;	_	_	_	
1-39	230-245	polycrystalline	Descriptor	_	_	
1-40	246-253	silicon	Material-recipe	Descriptor-of|Descriptor-of|Value-of|Brand-of	1-39|1-41|1-44[6_0]|1-51[7_0]	
1-41	254-260	pieces	Descriptor	_	_	
1-42	260-261	,	_	_	_	
1-43	262-268	purity	Descriptor	_	_	
1-44	269-270	>	Value[6]	Descriptor-of	1-43[0_6]	
1-45	270-275	99.99	Value[6]	_	_	
1-46	276-277	​	Value[6]	_	_	
1-47	277-279	at	Value[6]	_	_	
1-48	279-280	.	Value[6]	_	_	
1-49	280-281	%	Value[6]	_	_	
1-50	281-282	,	_	_	_	
1-51	283-284	H	Brand[7]	_	_	
1-52	284-285	.	Brand[7]	_	_	
1-53	286-287	C	Brand[7]	_	_	
1-54	287-288	.	Brand[7]	_	_	
1-55	289-295	Starck	Brand[7]	_	_	
1-56	295-296	;	_	_	_	
1-57	297-303	cobalt	Material-recipe	Descriptor-of|Value-of|Brand-of	1-58|1-61[8_0]|1-67[9_0]	
1-58	304-310	pieces	Descriptor	_	_	
1-59	310-311	,	_	_	_	
1-60	312-318	purity	_	_	_	
1-61	319-324	99.98	Value[8]	_	_	
1-62	325-326	​	Value[8]	_	_	
1-63	326-328	at	Value[8]	_	_	
1-64	328-329	.	Value[8]	_	_	
1-65	329-330	%	Value[8]	_	_	
1-66	330-331	,	_	_	_	
1-67	332-337	Fluka	Brand[9]	_	_	
1-68	338-347	Chemicals	Brand[9]	_	_	
1-69	347-348	.	_	_	_	

#Text=Arc-melting of the elements in the desired ratio to give an overall sample weight of 2.00 ​g was performed on a water-cooled copper hearth under a puriﬁed argon atmosphere with Ti as the getter.
2-1	349-360	Arc-melting	Operation	Participant-material|Condition-of|Participant-material|Coreference|Device-of-operation	2-4|2-28[13_0]|2-32|2-20|2-25	
2-2	361-363	of	_	_	_	
2-3	364-367	the	_	_	_	
2-4	368-376	elements	Material-recipe	Value-of|Value-of	2-7[10_0]|2-16[12_0]	
2-5	377-379	in	_	_	_	
2-6	380-383	the	_	_	_	
2-7	384-391	desired	Value[10]	_	_	
2-8	392-397	ratio	Value[10]	_	_	
2-9	398-400	to	_	_	_	
2-10	401-405	give	_	_	_	
2-11	406-408	an	_	_	_	
2-12	409-416	overall	_	_	_	
2-13	417-423	sample	Descriptor[11]	_	_	
2-14	424-430	weight	Descriptor[11]	_	_	
2-15	431-433	of	_	_	_	
2-16	434-438	2.00	Value[12]	Descriptor-of	2-13[11_12]	
2-17	439-440	​	Value[12]	_	_	
2-18	440-441	g	Value[12]	_	_	
2-19	442-445	was	_	_	_	
2-20	446-455	performed	Operation	_	_	
2-21	456-458	on	_	_	_	
2-22	459-460	a	_	_	_	
2-23	461-473	water-cooled	Descriptor	_	_	
2-24	474-480	copper	Descriptor	_	_	
2-25	481-487	hearth	Device	Descriptor-of|Descriptor-of	2-24|2-23	
2-26	488-493	under	_	_	_	
2-27	494-495	a	_	_	_	
2-28	496-503	puriﬁed	Property-pressure[13]	_	_	
2-29	504-509	argon	Property-pressure[13]	_	_	
2-30	510-520	atmosphere	Property-pressure[13]	_	_	
2-31	521-525	with	_	_	_	
2-32	526-528	Ti	Material-others	Descriptor-of	2-35	
2-33	529-531	as	_	_	_	
2-34	532-535	the	_	_	_	
2-35	536-542	getter	Descriptor	_	_	
2-36	542-543	.	_	_	_	

#Text=To ensure homogeneity, after the first melting, the solid ingot was turned over and re-melted twice.
3-1	544-546	To	_	_	_	
3-2	547-553	ensure	_	_	_	
3-3	554-565	homogeneity	_	_	_	
3-4	565-566	,	_	_	_	
3-5	567-572	after	_	_	_	
3-6	573-576	the	_	_	_	
3-7	577-582	first	_	_	_	
3-8	583-590	melting	Operation	Participant-material|Next-operation	3-12|3-14[14_0]	
3-9	590-591	,	_	_	_	
3-10	592-595	the	_	_	_	
3-11	596-601	solid	Descriptor	_	_	
3-12	602-607	ingot	Material-intermedium	Descriptor-of	3-11	
3-13	608-611	was	_	_	_	
3-14	612-618	turned	Operation[14]	Participant-material|Next-operation	3-12[0_14]|3-17[0_14]	
3-15	619-623	over	Operation[14]	_	_	
3-16	624-627	and	_	_	_	
3-17	628-637	re-melted	Operation	Condition-of	3-18	
3-18	638-643	twice	Property-time	_	_	
3-19	643-644	.	_	_	_	

#Text=Weight losses after arc melting were generally smaller than 0.5%.
4-1	645-651	Weight	_	_	_	
4-2	652-658	losses	_	_	_	
4-3	659-664	after	_	_	_	
4-4	665-668	arc	_	_	_	
4-5	669-676	melting	_	_	_	
4-6	677-681	were	_	_	_	
4-7	682-691	generally	_	_	_	
4-8	692-699	smaller	_	_	_	
4-9	700-704	than	_	_	_	
4-10	705-709	0.5%	_	_	_	
4-11	709-710	.	_	_	_	

#Text=For further heat treatment, the pellets were wrapped in tantalum foil, sealed in evacuated quartz tubes, annealed at T ​= ​800 ​°C for 350 ​h and subsequently quenched by submerging the tubes in cold water.
5-1	711-714	For	_	_	_	
5-2	715-722	further	_	_	_	
5-3	723-727	heat	Operation[15]	Coreference|Coreference|Coreference|Coreference	5-9[0_15]|5-14[0_15]|5-20[0_15]|5-36[0_15]	
5-4	728-737	treatment	Operation[15]	_	_	
5-5	737-738	,	_	_	_	
5-6	739-742	the	_	_	_	
5-7	743-750	pellets	Material-intermedium	_	_	
5-8	751-755	were	_	_	_	
5-9	756-763	wrapped	Operation	Device-of-operation|Participant-material	5-12|5-7	
5-10	764-766	in	_	_	_	
5-11	767-775	tantalum	Descriptor	_	_	
5-12	776-780	foil	Device	Descriptor-of	5-11	
5-13	780-781	,	_	_	_	
5-14	782-788	sealed	Operation	Next-operation|Participant-material|Device-of-operation|Device-of-operation|Next-operation	5-9|5-7|5-18|5-12|5-20	
5-15	789-791	in	_	_	_	
5-16	792-801	evacuated	Descriptor	_	_	
5-17	802-808	quartz	Descriptor	_	_	
5-18	809-814	tubes	Device	Descriptor-of|Descriptor-of|Coreference	5-17|5-16|5-40	
5-19	814-815	,	_	_	_	
5-20	816-824	annealed	Operation	Device-of-operation|Device-of-operation|Condition-of|Condition-of|Next-operation	5-18|5-12|5-26[16_0]|5-31[17_0]|5-36	
5-21	825-827	at	_	_	_	
5-22	828-829	T	_	_	_	
5-23	830-831	​	_	_	_	
5-24	831-832	=	_	_	_	
5-25	833-834	​	_	_	_	
5-26	834-837	800	Property-temperature[16]	_	_	
5-27	838-839	​	Property-temperature[16]	_	_	
5-28	839-840	°	Property-temperature[16]	_	_	
5-29	840-841	C	Property-temperature[16]	_	_	
5-30	842-845	for	_	_	_	
5-31	846-849	350	Property-time[17]	_	_	
5-32	850-851	​	Property-time[17]	_	_	
5-33	851-852	h	Property-time[17]	_	_	
5-34	853-856	and	_	_	_	
5-35	857-869	subsequently	Descriptor	_	_	
5-36	870-878	quenched	Operation	Coreference|Descriptor-of	5-38|5-35	
5-37	879-881	by	_	_	_	
5-38	882-892	submerging	Operation	Device-of-operation|Participant-material	5-40|5-43	
5-39	893-896	the	_	_	_	
5-40	897-902	tubes	Device	_	_	
5-41	903-905	in	_	_	_	
5-42	906-910	cold	Property-temperature	_	_	
5-43	911-916	water	Material-others	Condition-of	5-42	
5-44	916-917	.	_	_	_	

#Text=Single crystals of the new scandium cobalt silicide, having a metallic luster and being quite stable in air, were isolated by crushing the solidiﬁed samples.
6-1	918-924	Single	_	_	_	
6-2	925-933	crystals	_	_	_	
6-3	934-936	of	_	_	_	
6-4	937-940	the	_	_	_	
6-5	941-944	new	_	_	_	
6-6	945-953	scandium	_	_	_	
6-7	954-960	cobalt	_	_	_	
6-8	961-969	silicide	_	_	_	
6-9	969-970	,	_	_	_	
6-10	971-977	having	_	_	_	
6-11	978-979	a	_	_	_	
6-12	980-988	metallic	_	_	_	
6-13	989-995	luster	_	_	_	
6-14	996-999	and	_	_	_	
6-15	1000-1005	being	_	_	_	
6-16	1006-1011	quite	_	_	_	
6-17	1012-1018	stable	_	_	_	
6-18	1019-1021	in	_	_	_	
6-19	1022-1025	air	_	_	_	
6-20	1025-1026	,	_	_	_	
6-21	1027-1031	were	_	_	_	
6-22	1032-1040	isolated	_	_	_	
6-23	1041-1043	by	_	_	_	
6-24	1044-1052	crushing	_	_	_	
6-25	1053-1056	the	_	_	_	
6-26	1057-1066	solidiﬁed	_	_	_	
6-27	1067-1074	samples	_	_	_	
6-28	1074-1075	.	_	_	_	

#Text=Bulk and powdered samples were stable in the air for months.
7-1	1076-1080	Bulk	_	_	_	
7-2	1081-1084	and	_	_	_	
7-3	1085-1093	powdered	_	_	_	
7-4	1094-1101	samples	_	_	_	
7-5	1102-1106	were	_	_	_	
7-6	1107-1113	stable	_	_	_	
