#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of YBa(Co1−xMx)4O7 with (M = Ce, Zr, La Ga, In and Al), were synthesized from precursor powders prepared by EDTA (ethylene-diaminetetraacetic acid) polymerized complex method.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-30	YBa	Material-target[1]	Descriptor-of|Descriptor-of	1-13[2_1]|1-1[0_1]	
1-5	30-31	(	Material-target[1]	_	_	
1-6	31-34	Co1	Material-target[1]	_	_	
1-7	34-35	−	Material-target[1]	_	_	
1-8	35-38	xMx	Material-target[1]	_	_	
1-9	38-39	)	Material-target[1]	_	_	
1-10	39-42	4O7	Material-target[1]	_	_	
1-11	43-47	with	_	_	_	
1-12	48-49	(	_	_	_	
1-13	49-50	M	Descriptor[2]	_	_	
1-14	51-52	=	Descriptor[2]	_	_	
1-15	53-55	Ce	Descriptor[2]	_	_	
1-16	55-56	,	Descriptor[2]	_	_	
1-17	57-59	Zr	Descriptor[2]	_	_	
1-18	59-60	,	Descriptor[2]	_	_	
1-19	61-63	La	Descriptor[2]	_	_	
1-20	64-66	Ga	Descriptor[2]	_	_	
1-21	66-67	,	Descriptor[2]	_	_	
1-22	68-70	In	Descriptor[2]	_	_	
1-23	71-74	and	Descriptor[2]	_	_	
1-24	75-77	Al	Descriptor[2]	_	_	
1-25	77-78	)	_	_	_	
1-26	78-79	,	_	_	_	
1-27	80-84	were	_	_	_	
1-28	85-96	synthesized	Operation	Participant-material|Participant-material	1-4[1_0]|1-30	
1-29	97-101	from	_	_	_	
1-30	102-111	precursor	Material-recipe	Descriptor-of	1-31	
1-31	112-119	powders	Descriptor	_	_	
1-32	120-128	prepared	Operation	Participant-material|Coreference	1-31|1-39[4_0]	
1-33	129-131	by	_	_	_	
1-34	132-136	EDTA	Material-recipe	_	_	
1-35	137-138	(	_	_	_	
1-36	138-165	ethylene-diaminetetraacetic	Material-recipe[3]	_	_	
1-37	166-170	acid	Material-recipe[3]	_	_	
1-38	170-171	)	_	_	_	
1-39	172-183	polymerized	Operation[4]	Participant-material	1-34[0_4]	
1-40	184-191	complex	Operation[4]	_	_	
1-41	192-198	method	Operation[4]	_	_	
1-42	198-199	.	_	_	_	

#Text=Y(NO3)3·6H2O (≥99.0%, Sinopharm Chemical Reagent Co., Ltd.), Ce(NO3)3·6H2O (≥99.0%, Sinopharm Chemical Reagent Co., Ltd.), Zr(NO3)3·4.5H2O (≥99.0%, Sinopharm Chemical Reagent Co., Ltd.), In(NO3)3·6H2O (≥99.0%, Sinopharm Chemical Reagent Co., Ltd.), Ba(NO3)2 (≥99.5% Sinopharm Chemical Reagent Co., Ltd.), Co(NO3)2·6H2O (≥99.0%, Sinopharm Chemical Reagent Co., Ltd.), Al(NO3)3·9H2O (≥99.0%, Sinopharm Chemical Reagent Co., Ltd.), Ga] were used as starting materials.
2-1	200-201	Y	Material-recipe[5]	Value-of|Brand-of|Coreference	2-9[6_5]|2-12[7_5]|2-150[26_5]	
2-2	201-202	(	Material-recipe[5]	_	_	
2-3	202-205	NO3	Material-recipe[5]	_	_	
2-4	205-206	)	Material-recipe[5]	_	_	
2-5	206-207	3	Material-recipe[5]	_	_	
2-6	207-208	·	Material-recipe[5]	_	_	
2-7	208-212	6H2O	Material-recipe[5]	_	_	
2-8	213-214	(	_	_	_	
2-9	214-215	≥	Value[6]	_	_	
2-10	215-220	99.0%	Value[6]	_	_	
2-11	220-221	,	_	_	_	
2-12	222-231	Sinopharm	Brand[7]	_	_	
2-13	232-240	Chemical	Brand[7]	_	_	
2-14	241-248	Reagent	Brand[7]	_	_	
2-15	249-251	Co	Brand[7]	_	_	
2-16	251-252	.	Brand[7]	_	_	
2-17	252-253	,	Brand[7]	_	_	
2-18	254-257	Ltd	Brand[7]	_	_	
2-19	257-258	.	Brand[7]	_	_	
2-20	258-259	)	_	_	_	
2-21	259-260	,	_	_	_	
2-22	261-263	Ce	Material-recipe[8]	Value-of|Brand-of|Coreference	2-30[9_8]|2-33[10_8]|2-150[26_8]	
2-23	263-264	(	Material-recipe[8]	_	_	
2-24	264-267	NO3	Material-recipe[8]	_	_	
2-25	267-268	)	Material-recipe[8]	_	_	
2-26	268-269	3	Material-recipe[8]	_	_	
2-27	269-270	·	Material-recipe[8]	_	_	
2-28	270-274	6H2O	Material-recipe[8]	_	_	
2-29	275-276	(	_	_	_	
2-30	276-277	≥	Value[9]	_	_	
2-31	277-282	99.0%	Value[9]	_	_	
2-32	282-283	,	_	_	_	
2-33	284-293	Sinopharm	Brand[10]	_	_	
2-34	294-302	Chemical	Brand[10]	_	_	
2-35	303-310	Reagent	Brand[10]	_	_	
2-36	311-313	Co	Brand[10]	_	_	
2-37	313-314	.	Brand[10]	_	_	
2-38	314-315	,	Brand[10]	_	_	
2-39	316-319	Ltd	Brand[10]	_	_	
2-40	319-320	.	Brand[10]	_	_	
2-41	320-321	)	_	_	_	
2-42	321-322	,	_	_	_	
