#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The polycrystalline samples of Co2.77Mn1.71Fe1.10Zn0.42O8 were synthesized through the solid-state reaction method.
1-1	0-3	The	_	_	_	
1-2	4-19	polycrystalline	Descriptor	_	_	
1-3	20-27	samples	_	_	_	
1-4	28-30	of	_	_	_	
1-5	31-57	Co2.77Mn1.71Fe1.10Zn0.42O8	Material-target	Descriptor-of	1-2	
1-6	58-62	were	_	_	_	
1-7	63-74	synthesized	Operation	Participant-material|Coreference	1-5|1-10[1_0]	
1-8	75-82	through	_	_	_	
1-9	83-86	the	_	_	_	
1-10	87-98	solid-state	Operation[1]	_	_	
1-11	99-107	reaction	Operation[1]	_	_	
1-12	108-114	method	Operation[1]	_	_	
1-13	114-115	.	_	_	_	

#Text=Stoichiometric amounts of Co2O3, Fe2O3, ZnO, and different valence of Mn, i. e. Mn3O4, Mn2O3, and MnO2 were taken as the starting reagents (99.9% purity, 5 μm, Anhui Kerun Nano Technology Co., Ltd., China).
2-1	116-130	Stoichiometric	Value[2]	_	_	
2-2	131-138	amounts	Value[2]	_	_	
2-3	139-141	of	_	_	_	
2-4	142-147	Co2O3	Material-recipe	Value-of|Coreference	2-1[2_0]|2-30[4_0]	
2-5	147-148	,	_	_	_	
2-6	149-154	Fe2O3	Material-recipe	Value-of|Coreference	2-1[2_0]|2-30[4_0]	
2-7	154-155	,	_	_	_	
2-8	156-159	ZnO	Material-recipe	Value-of|Coreference	2-1[2_0]|2-30[4_0]	
2-9	159-160	,	_	_	_	
2-10	161-164	and	_	_	_	
2-11	165-174	different	Material-recipe[3]	Value-of|Coreference|Coreference|Coreference|Coreference	2-1[2_3]|2-25[0_3]|2-20[0_3]|2-22[0_3]|2-30[4_3]	
2-12	175-182	valence	Material-recipe[3]	_	_	
2-13	183-185	of	Material-recipe[3]	_	_	
2-14	186-188	Mn	Material-recipe[3]	_	_	
2-15	188-189	,	_	_	_	
2-16	190-191	i	_	_	_	
2-17	191-192	.	_	_	_	
2-18	193-194	e	_	_	_	
2-19	194-195	.	_	_	_	
2-20	196-201	Mn3O4	Material-recipe	_	_	
2-21	201-202	,	_	_	_	
2-22	203-208	Mn2O3	Material-recipe	_	_	
2-23	208-209	,	_	_	_	
2-24	210-213	and	_	_	_	
2-25	214-218	MnO2	Material-recipe	_	_	
2-26	219-223	were	_	_	_	
2-27	224-229	taken	Operation	Participant-material|Participant-material|Participant-material|Participant-material	2-4|2-6|2-8|2-11[3_0]	
2-28	230-232	as	_	_	_	
2-29	233-236	the	_	_	_	
2-30	237-245	starting	Material-recipe[4]	Value-of|Descriptor-of|Brand-of	2-33[0_4]|2-36[5_4]|2-39[6_4]	
2-31	246-254	reagents	Material-recipe[4]	_	_	
2-32	255-256	(	_	_	_	
2-33	256-261	99.9%	Value	Descriptor-of	2-34	
2-34	262-268	purity	Descriptor	_	_	
2-35	268-269	,	_	_	_	
2-36	270-271	5	Descriptor[5]	_	_	
2-37	272-274	μm	Descriptor[5]	_	_	
2-38	274-275	,	_	_	_	
2-39	276-281	Anhui	Brand[6]	_	_	
2-40	282-287	Kerun	Brand[6]	_	_	
2-41	288-292	Nano	Brand[6]	_	_	
2-42	293-303	Technology	Brand[6]	_	_	
2-43	304-306	Co	Brand[6]	_	_	
2-44	306-307	.	Brand[6]	_	_	
2-45	307-308	,	Brand[6]	_	_	
2-46	309-312	Ltd	Brand[6]	_	_	
2-47	312-313	.	Brand[6]	_	_	
2-48	313-314	,	Brand[6]	_	_	
2-49	315-320	China	Brand[6]	_	_	
2-50	320-321	)	_	_	_	
2-51	321-322	.	_	_	_	

#Text=The weighed powders, deionized water, and alcohol (the mass ratio is 1:0.6:0.6) were ball-milled for 10 h in a Teflon jar using agate balls.
3-1	323-326	The	_	_	_	
3-2	327-334	weighed	Descriptor	Descriptor-of	3-3	
3-3	335-342	powders	Material-recipe	Value-of	3-15[8_0]	
3-4	342-343	,	_	_	_	
3-5	344-353	deionized	Descriptor	_	_	
3-6	354-359	water	Material-others	Descriptor-of|Value-of	3-5|3-15[8_0]	
3-7	359-360	,	_	_	_	
3-8	361-364	and	_	_	_	
3-9	365-372	alcohol	Material-others	Value-of	3-15[8_0]	
3-10	373-374	(	_	_	_	
3-11	374-377	the	_	_	_	
3-12	378-382	mass	Descriptor[7]	_	_	
3-13	383-388	ratio	Descriptor[7]	_	_	
3-14	389-391	is	_	_	_	
3-15	392-393	1	Value[8]	Descriptor-of	3-12[7_8]	
3-16	393-394	:	Value[8]	_	_	
3-17	394-397	0.6	Value[8]	_	_	
3-18	397-398	:	Value[8]	_	_	
3-19	398-401	0.6	Value[8]	_	_	
3-20	401-402	)	_	_	_	
3-21	403-407	were	_	_	_	
3-22	408-419	ball-milled	Operation	Participant-material|Participant-material|Participant-material|Condition-of|Device-of-operation|Device-of-operation	3-3|3-6|3-9|3-24[9_0]|3-29|3-32	
3-23	420-423	for	_	_	_	
3-24	424-426	10	Property-time[9]	_	_	
3-25	427-428	h	Property-time[9]	_	_	
3-26	429-431	in	_	_	_	
3-27	432-433	a	_	_	_	
3-28	434-440	Teflon	Descriptor	_	_	
3-29	441-444	jar	Device	Descriptor-of	3-28	
3-30	445-450	using	_	_	_	
3-31	451-456	agate	Descriptor	_	_	
3-32	457-462	balls	Device	Descriptor-of	3-31	
3-33	462-463	.	_	_	_	

#Text=The obtained slurries were dried at 95 °C in an oven (Keelrein DHG-9140, China) for 24 h.
4-1	464-467	The	_	_	_	
4-2	468-476	obtained	Descriptor	_	_	
4-3	477-485	slurries	Material-intermedium	Descriptor-of	4-2	
4-4	486-490	were	_	_	_	
4-5	491-496	dried	Operation	Participant-material|Condition-of|Device-of-operation|Condition-of	4-3|4-7[10_0]|4-12|4-22[12_0]	
4-6	497-499	at	_	_	_	
4-7	500-502	95	Property-temperature[10]	_	_	
4-8	503-504	°	Property-temperature[10]	_	_	
4-9	504-505	C	Property-temperature[10]	_	_	
4-10	506-508	in	_	_	_	
4-11	509-511	an	Value	_	_	
4-12	512-516	oven	Device	Value-of|Brand-of	4-11|4-14[11_0]	
4-13	517-518	(	_	_	_	
4-14	518-526	Keelrein	Brand[11]	_	_	
4-15	527-530	DHG	Brand[11]	_	_	
4-16	530-531	-	Brand[11]	_	_	
4-17	531-535	9140	Brand[11]	_	_	
4-18	535-536	,	Brand[11]	_	_	
4-19	537-542	China	Brand[11]	_	_	
4-20	542-543	)	_	_	_	
4-21	544-547	for	_	_	_	
4-22	548-550	24	Property-time[12]	_	_	
4-23	551-552	h	Property-time[12]	_	_	
4-24	552-553	.	_	_	_	

#Text=The dried powders were ground and then calcinated at 850 °C for 2 h.
5-1	554-557	The	_	_	_	
5-2	558-563	dried	Descriptor	_	_	
5-3	564-571	powders	Material-intermedium	Descriptor-of	5-2	
5-4	572-576	were	_	_	_	
5-5	577-583	ground	Operation	Participant-material|Next-operation	5-3|5-8	
5-6	584-587	and	_	_	_	
5-7	588-592	then	_	_	_	
5-8	593-603	calcinated	Operation	Condition-of|Condition-of	5-10[13_0]|5-14[14_0]	
5-9	604-606	at	_	_	_	
5-10	607-610	850	Property-temperature[13]	_	_	
5-11	611-612	°	Property-temperature[13]	_	_	
5-12	612-613	C	Property-temperature[13]	_	_	
5-13	614-617	for	_	_	_	
5-14	618-619	2	Property-time[14]	_	_	
5-15	620-621	h	Property-time[14]	_	_	
5-16	621-622	.	_	_	_	

#Text=The calcinated powders were ball-milled again for 12 h and dried.
6-1	623-626	The	_	_	_	
6-2	627-637	calcinated	Descriptor	_	_	
6-3	638-645	powders	Material-intermedium	Descriptor-of	6-2	
6-4	646-650	were	_	_	_	
6-5	651-662	ball-milled	Operation	Participant-material|Condition-of|Next-operation	6-3|6-8[15_0]|6-11	
6-6	663-668	again	_	_	_	
