#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline powders of Y3.96Nd0.04Al2O9 (1 at% Nd:Y4Al2O9)\rwere synthesized by using modified sol-gel (Pechini) method as follows: yttrium oxide and neodymium oxide were dissolved in 0.4 mol L\1 solution of acetic acid at 65BC for about 20 h.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	powders	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-43	Y3.96Nd0.04Al2O9	Material-target	Descriptor-of|Descriptor-of	1-1|1-6[1_0]	
1-5	44-45	(	_	_	_	
1-6	45-46	1	Descriptor[1]	_	_	
1-7	47-49	at	Descriptor[1]	_	_	
1-8	49-50	%	Descriptor[1]	_	_	
1-9	51-53	Nd	Descriptor[1]	_	_	
1-10	53-54	:	Descriptor[1]	_	_	
1-11	54-61	Y4Al2O9	Descriptor[1]	_	_	
1-12	61-62	)	_	_	_	
1-13	63-67	were	_	_	_	
1-14	68-79	synthesized	Operation	Participant-material	1-4	
1-15	80-82	by	_	_	_	
1-16	83-88	using	_	_	_	
1-17	89-97	modified	Operation[2]	Coreference	1-14[0_2]	
1-18	98-105	sol-gel	Operation[2]	_	_	
1-19	106-107	(	Operation[2]	_	_	
1-20	107-114	Pechini	Operation[2]	_	_	
1-21	114-115	)	Operation[2]	_	_	
1-22	116-122	method	Operation[2]	_	_	
1-23	123-125	as	_	_	_	
1-24	126-133	follows	_	_	_	
1-25	133-134	:	_	_	_	
1-26	135-142	yttrium	Material-recipe[3]	_	_	
1-27	143-148	oxide	Material-recipe[3]	_	_	
1-28	149-152	and	_	_	_	
1-29	153-162	neodymium	Material-recipe[4]	_	_	
1-30	163-168	oxide	Material-recipe[4]	_	_	
1-31	169-173	were	_	_	_	
1-32	174-183	dissolved	Operation	Participant-material|Participant-material|Participant-material|Condition-of|Condition-of	1-29[4_0]|1-26[3_0]|1-41[6_0]|1-44|1-46[7_0]	
1-33	184-186	in	_	_	_	
1-34	187-190	0.4	Descriptor[5]	_	_	
1-35	191-194	mol	Descriptor[5]	_	_	
1-36	195-196	L	Descriptor[5]	_	_	
1-37	196-197		Descriptor[5]	_	_	
1-38	197-198	1	Descriptor[5]	_	_	
1-39	199-207	solution	Descriptor	_	_	
1-40	208-210	of	_	_	_	
1-41	211-217	acetic	Material-recipe[6]	Descriptor-of|Descriptor-of	1-39[0_6]|1-34[5_6]	
1-42	218-222	acid	Material-recipe[6]	_	_	
1-43	223-225	at	_	_	_	
1-44	226-230	65BC	Property-temperature	_	_	
1-45	231-234	for	_	_	_	
1-46	235-240	about	Property-time[7]	_	_	
1-47	241-243	20	Property-time[7]	_	_	
1-48	244-245	h	Property-time[7]	_	_	
1-49	245-246	.	_	_	_	

#Text=When the\rsesquioxides were completely dissolved aluminum nitrate was\radded.
2-1	247-251	When	_	_	_	
2-2	252-255	the	_	_	_	
2-3	256-268	sesquioxides	Material-intermedium	_	_	
2-4	269-273	were	_	_	_	
2-5	274-284	completely	Descriptor	_	_	
2-6	285-294	dissolved	Operation	Descriptor-of|Next-operation|Participant-material	2-5|2-10|2-3	
2-7	295-303	aluminum	Material-recipe[8]	_	_	
2-8	304-311	nitrate	Material-recipe[8]	_	_	
2-9	312-315	was	_	_	_	
2-10	316-321	added	Operation	Participant-material	2-7[8_0]	
2-11	321-322	.	_	_	_	

#Text=This mixture was stirred for 1 h and then ethylene glycol\rwas added and the solution was stirred again for 1 h.
3-1	323-327	This	_	_	_	
3-2	328-335	mixture	Material-intermedium	_	_	
3-3	336-339	was	_	_	_	
3-4	340-347	stirred	Operation	Participant-material|Condition-of|Next-operation	3-2|3-6[9_0]|3-13	
