#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline ceramic samples of (100–x)Pb(Mg1/3Nb2/3)O3–xPbTiO3 (PMN–xPT) compositions across the MPB (with x ​= ​20, 27, 30, 32, 33.5, 35, 37, and 40), were prepared by mixing stoichiometric amounts of PbO (99.9%, Sigma Aldrich), Nb2O5 (99.9%, Sigma Aldrich), TiO2 (99.8% Alfa Aesar), and MgO (99.95%, Alfa Aesar).
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	ceramic	Descriptor	_	_	
1-3	24-31	samples	_	_	_	
1-4	32-34	of	_	_	_	
1-5	35-36	(	Material-target[1]	Descriptor-of|Descriptor-of|Descriptor-of|Descriptor-of	1-30[2_1]|1-1[0_1]|1-2[0_1]|1-22[0_1]	
1-6	36-39	100	Material-target[1]	_	_	
1-7	39-40	–	Material-target[1]	_	_	
1-8	40-41	x	Material-target[1]	_	_	
1-9	41-42	)	Material-target[1]	_	_	
1-10	42-44	Pb	Material-target[1]	_	_	
1-11	44-45	(	Material-target[1]	_	_	
1-12	45-48	Mg1	Material-target[1]	_	_	
1-13	48-49	/	Material-target[1]	_	_	
1-14	49-53	3Nb2	Material-target[1]	_	_	
1-15	53-54	/	Material-target[1]	_	_	
1-16	54-55	3	Material-target[1]	_	_	
1-17	55-56	)	Material-target[1]	_	_	
1-18	56-58	O3	Material-target[1]	_	_	
1-19	58-59	–	Material-target[1]	_	_	
1-20	59-66	xPbTiO3	Material-target[1]	_	_	
1-21	67-68	(	_	_	_	
1-22	68-75	PMN–xPT	Descriptor	_	_	
1-23	75-76	)	_	_	_	
1-24	77-89	compositions	_	_	_	
1-25	90-96	across	_	_	_	
1-26	97-100	the	_	_	_	
1-27	101-104	MPB	_	_	_	
1-28	105-106	(	_	_	_	
1-29	106-110	with	_	_	_	
1-30	111-112	x	Descriptor[2]	_	_	
1-31	113-114	​	Descriptor[2]	_	_	
1-32	114-115	=	Descriptor[2]	_	_	
1-33	116-117	​	Descriptor[2]	_	_	
1-34	117-119	20	Descriptor[2]	_	_	
1-35	119-120	,	Descriptor[2]	_	_	
1-36	121-123	27	Descriptor[2]	_	_	
1-37	123-124	,	Descriptor[2]	_	_	
1-38	125-127	30	Descriptor[2]	_	_	
1-39	127-128	,	Descriptor[2]	_	_	
1-40	129-131	32	Descriptor[2]	_	_	
1-41	131-132	,	Descriptor[2]	_	_	
1-42	133-137	33.5	Descriptor[2]	_	_	
1-43	137-138	,	Descriptor[2]	_	_	
1-44	139-141	35	Descriptor[2]	_	_	
1-45	141-142	,	Descriptor[2]	_	_	
1-46	143-145	37	Descriptor[2]	_	_	
1-47	145-146	,	Descriptor[2]	_	_	
1-48	147-150	and	Descriptor[2]	_	_	
1-49	151-153	40	Descriptor[2]	_	_	
1-50	153-154	)	_	_	_	
1-51	154-155	,	_	_	_	
1-52	156-160	were	_	_	_	
