#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of APdH3 were synthesized by hydrogenation of a APd alloy as follows.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-32	APdH3	Material-target	Descriptor-of	1-1	
1-5	33-37	were	_	_	_	
1-6	38-49	synthesized	Operation	Coreference|Participant-material	1-8[1_0]|1-4	
1-7	50-52	by	_	_	_	
1-8	53-66	hydrogenation	Operation[1]	_	_	
1-9	67-69	of	Operation[1]	_	_	
1-10	70-71	a	Operation[1]	_	_	
1-11	72-75	APd	Operation[1]	_	_	
1-12	76-81	alloy	Operation[1]	_	_	
1-13	82-84	as	_	_	_	
1-14	85-92	follows	_	_	_	
1-15	92-93	.	_	_	_	

#Text=Starting materials of A granules and Pd powder were used in the molar ratio of A : Pd = 1.1 : 1.0 and mixed in a He-filled glove box.
2-1	94-102	Starting	Descriptor	_	_	
2-2	103-112	materials	Material-recipe	Descriptor-of	2-1	
2-3	113-115	of	_	_	_	
2-4	116-117	A	Material-recipe	Descriptor-of|Value-of|Coreference	2-5|2-20[3_0]|2-2	
2-5	118-126	granules	Descriptor	_	_	
2-6	127-130	and	_	_	_	
2-7	131-133	Pd	Material-recipe	Descriptor-of|Value-of|Coreference	2-8|2-20[3_0]|2-2	
2-8	134-140	powder	Descriptor	_	_	
2-9	141-145	were	_	_	_	
2-10	146-150	used	_	_	_	
2-11	151-153	in	_	_	_	
2-12	154-157	the	_	_	_	
2-13	158-163	molar	Descriptor[2]	_	_	
2-14	164-169	ratio	Descriptor[2]	_	_	
2-15	170-172	of	Descriptor[2]	_	_	
2-16	173-174	A	Descriptor[2]	_	_	
2-17	175-176	:	Descriptor[2]	_	_	
2-18	177-179	Pd	Descriptor[2]	_	_	
2-19	180-181	=	_	_	_	
2-20	182-185	1.1	Value[3]	Descriptor-of	2-13[2_3]	
2-21	186-187	:	Value[3]	_	_	
2-22	188-191	1.0	Value[3]	_	_	
2-23	192-195	and	_	_	_	
2-24	196-201	mixed	Operation	Device-of-operation|Participant-material|Participant-material	2-28[4_0]|2-4|2-7	
2-25	202-204	in	_	_	_	
2-26	205-206	a	Value	_	_	
2-27	207-216	He-filled	Descriptor	_	_	
2-28	217-222	glove	Device[4]	Descriptor-of|Value-of	2-27[0_4]|2-26[0_4]	
2-29	223-226	box	Device[4]	_	_	
2-30	226-227	.	_	_	_	

#Text=A slight excess amount of A was to compensate for the loss of A due to evaporation during the induction melting process.
3-1	228-229	A	_	_	_	
3-2	230-236	slight	Value[5]	_	_	
3-3	237-243	excess	Value[5]	_	_	
3-4	244-250	amount	_	_	_	
3-5	251-253	of	_	_	_	
3-6	254-255	A	Material-recipe	Value-of	3-2[5_0]	
3-7	256-259	was	_	_	_	
3-8	260-262	to	_	_	_	
3-9	263-273	compensate	_	_	_	
3-10	274-277	for	_	_	_	
3-11	278-281	the	_	_	_	
3-12	282-286	loss	_	_	_	
3-13	287-289	of	_	_	_	
3-14	290-291	A	_	_	_	
3-15	292-295	due	_	_	_	
3-16	296-298	to	_	_	_	
3-17	299-310	evaporation	_	_	_	
3-18	311-317	during	_	_	_	
3-19	318-321	the	_	_	_	
3-20	322-331	induction	_	_	_	
3-21	332-339	melting	_	_	_	
3-22	340-347	process	_	_	_	
3-23	347-348	.	_	_	_	

#Text=The APd alloy was prepared through the induction melting of the mixture placed on a Mo boat in a carbon crucible under He atmosphere and then ground into powder.
4-1	349-352	The	_	_	_	
4-2	353-356	APd	Material-intermedium	Descriptor-of	4-3	
4-3	357-362	alloy	Descriptor	_	_	
4-4	363-366	was	_	_	_	
4-5	367-375	prepared	Operation	Participant-material|Coreference	4-2|4-8[6_0]	
4-6	376-383	through	_	_	_	
4-7	384-387	the	_	_	_	
4-8	388-397	induction	Operation[6]	Next-operation	4-27[0_6]	
4-9	398-405	melting	Operation[6]	_	_	
4-10	406-408	of	_	_	_	
4-11	409-412	the	_	_	_	
4-12	413-420	mixture	Material-intermedium	_	_	
4-13	421-427	placed	Operation	Participant-material|Device-of-operation|Device-of-operation|Condition-of|Next-operation	4-12|4-17|4-21|4-23[7_0]|4-8[6_0]	
4-14	428-430	on	_	_	_	
4-15	431-432	a	Value	_	_	
4-16	433-435	Mo	Descriptor	_	_	
4-17	436-440	boat	Device	Descriptor-of|Value-of	4-16|4-15	
4-18	441-443	in	_	_	_	
4-19	444-445	a	Value	_	_	
4-20	446-452	carbon	Descriptor	_	_	
4-21	453-461	crucible	Device	Descriptor-of|Value-of	4-20|4-19	
4-22	462-467	under	_	_	_	
4-23	468-470	He	Property-pressure[7]	_	_	
4-24	471-481	atmosphere	Property-pressure[7]	_	_	
4-25	482-485	and	_	_	_	
4-26	486-490	then	_	_	_	
4-27	491-497	ground	Operation	_	_	
4-28	498-502	into	_	_	_	
4-29	503-509	powder	Material-intermedium	_	_	
4-30	509-510	.	_	_	_	

#Text=Then, hydrogenation of the APd alloy was carried out under 0.5 MPa of hydrogen gas for 24 h at room temperature.
