#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples with nominal compositions of Sr2CuO3.4 were synthesized from SrO2, CuO and the precursor of Sr2CuO3 under high pressure and high temperature.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-28	with	_	_	_	
1-4	29-36	nominal	_	_	_	
1-5	37-49	compositions	_	_	_	
1-6	50-52	of	_	_	_	
1-7	53-62	Sr2CuO3.4	Material-target	Descriptor-of	1-1	
1-8	63-67	were	_	_	_	
1-9	68-79	synthesized	Operation	Condition-of|Condition-of|Participant-material	1-20[1_0]|1-23[2_0]|1-7	
1-10	80-84	from	_	_	_	
1-11	85-89	SrO2	Material-recipe	_	_	
1-12	89-90	,	_	_	_	
1-13	91-94	CuO	Material-recipe	_	_	
1-14	95-98	and	_	_	_	
1-15	99-102	the	_	_	_	
1-16	103-112	precursor	Material-intermedium	_	_	
1-17	113-115	of	_	_	_	
1-18	116-123	Sr2CuO3	Material-intermedium	Coreference	1-16	
1-19	124-129	under	_	_	_	
1-20	130-134	high	Property-pressure[1]	_	_	
1-21	135-143	pressure	Property-pressure[1]	_	_	
1-22	144-147	and	_	_	_	
1-23	148-152	high	Property-temperature[2]	_	_	
1-24	153-164	temperature	Property-temperature[2]	_	_	
1-25	164-165	.	_	_	_	

#Text=The precursor Sr2CuO3 was prepared by solid-state reaction with high pure SrCO3 and CuO mixed at a molar ratio of 2:1 and was sintered at 950 °C for 12 h with several intermediate grindings.
2-1	166-169	The	_	_	_	
2-2	170-179	precursor	Material-intermedium	_	_	
2-3	180-187	Sr2CuO3	Material-intermedium	Coreference	2-2	
2-4	188-191	was	_	_	_	
2-5	192-200	prepared	Operation	Participant-material	2-3	
2-6	201-203	by	_	_	_	
2-7	204-215	solid-state	Operation[3]	Coreference	2-5[0_3]	
2-8	216-224	reaction	Operation[3]	_	_	
2-9	225-229	with	_	_	_	
2-10	230-234	high	Descriptor[4]	_	_	
2-11	235-239	pure	Descriptor[4]	_	_	
2-12	240-245	SrCO3	Material-recipe	Descriptor-of|Value-of	2-10[4_0]|2-21[6_0]	
2-13	246-249	and	_	_	_	
2-14	250-253	CuO	Material-recipe	Descriptor-of|Value-of	2-10[4_0]|2-21[6_0]	
2-15	254-259	mixed	Operation	Participant-material|Participant-material|Next-operation	2-14|2-12|2-26	
2-16	260-262	at	_	_	_	
2-17	263-264	a	_	_	_	
2-18	265-270	molar	Descriptor[5]	_	_	
2-19	271-276	ratio	Descriptor[5]	_	_	
2-20	277-279	of	_	_	_	
2-21	280-281	2	Value[6]	Descriptor-of	2-18[5_6]	
2-22	281-282	:	Value[6]	_	_	
2-23	282-283	1	Value[6]	_	_	
2-24	284-287	and	_	_	_	
2-25	288-291	was	_	_	_	
2-26	292-300	sintered	Operation	Condition-of|Condition-of|Next-operation	2-28[7_0]|2-32[8_0]|2-37	
2-27	301-303	at	_	_	_	
2-28	304-307	950	Property-temperature[7]	_	_	
2-29	308-309	°	Property-temperature[7]	_	_	
2-30	309-310	C	Property-temperature[7]	_	_	
2-31	311-314	for	_	_	_	
2-32	315-317	12	Property-time[8]	_	_	
2-33	318-319	h	Property-time[8]	_	_	
2-34	320-324	with	_	_	_	
2-35	325-332	several	Value	_	_	
2-36	333-345	intermediate	Descriptor	_	_	
2-37	346-355	grindings	Operation	Descriptor-of|Value-of	2-36|2-35	
2-38	355-356	.	_	_	_	

#Text=To obtain high quality of the sample (i.e., much higher superconducting volume fraction), we change the synthesis condition which is different from reported previously [9].
3-1	357-359	To	_	_	_	
3-2	360-366	obtain	_	_	_	
3-3	367-371	high	_	_	_	
3-4	372-379	quality	_	_	_	
3-5	380-382	of	_	_	_	
3-6	383-386	the	_	_	_	
3-7	387-393	sample	_	_	_	
3-8	394-395	(	_	_	_	
3-9	395-398	i.e	_	_	_	
3-10	398-399	.	_	_	_	
3-11	399-400	,	_	_	_	
3-12	401-405	much	_	_	_	
3-13	406-412	higher	_	_	_	
3-14	413-428	superconducting	_	_	_	
3-15	429-435	volume	_	_	_	
3-16	436-444	fraction	_	_	_	
3-17	444-445	)	_	_	_	
3-18	445-446	,	_	_	_	
3-19	447-449	we	_	_	_	
3-20	450-456	change	_	_	_	
3-21	457-460	the	_	_	_	
3-22	461-470	synthesis	_	_	_	
3-23	471-480	condition	_	_	_	
3-24	481-486	which	_	_	_	
3-25	487-489	is	_	_	_	
3-26	490-499	different	_	_	_	
3-27	500-504	from	_	_	_	
3-28	505-513	reported	_	_	_	
3-29	514-524	previously	_	_	_	
3-30	525-526	[	_	_	_	
3-31	526-527	9	_	_	_	
3-32	527-528	]	_	_	_	
3-33	528-529	.	_	_	_	

#Text=At first, the sample was synthesized at the pressure of 5.5 GPa and temperature of 850 °C for 30 min, followed by keeping at the same pressure but temperature at 450 °C for 60 min.
4-1	530-532	At	_	_	_	
4-2	533-538	first	_	_	_	
4-3	538-539	,	_	_	_	
4-4	540-543	the	_	_	_	
4-5	544-550	sample	Material-intermedium	_	_	
4-6	551-554	was	_	_	_	
