#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The polycrystalline Ca3Co4O9 oxide ceramic powders were synthesized by the citrate acid sol-gel reaction method.
1-1	0-3	The	_	_	_	
1-2	4-19	polycrystalline	Descriptor	_	_	
1-3	20-28	Ca3Co4O9	Material-target	Descriptor-of|Descriptor-of|Descriptor-of	1-2|1-4[1_0]|1-6	
1-4	29-34	oxide	Descriptor[1]	_	_	
1-5	35-42	ceramic	Descriptor[1]	_	_	
1-6	43-50	powders	Descriptor	_	_	
1-7	51-55	were	_	_	_	
1-8	56-67	synthesized	Operation	Participant-material|Coreference	1-3|1-11[2_0]	
1-9	68-70	by	_	_	_	
1-10	71-74	the	_	_	_	
1-11	75-82	citrate	Operation[2]	_	_	
1-12	83-87	acid	Operation[2]	_	_	
1-13	88-95	sol-gel	Operation[2]	_	_	
1-14	96-104	reaction	Operation[2]	_	_	
1-15	105-111	method	Operation[2]	_	_	
1-16	111-112	.	_	_	_	

#Text=Stoichiometric ratios of highly pure nitrates of Ca and Co were dissolved in distilled water; the citric acid was added in the aqueous solution.
2-1	113-127	Stoichiometric	Value[3]	_	_	
2-2	128-134	ratios	Value[3]	_	_	
2-3	135-137	of	_	_	_	
2-4	138-144	highly	Descriptor[4]	_	_	
2-5	145-149	pure	Descriptor[4]	_	_	
2-6	150-158	nitrates	Descriptor	_	_	
2-7	159-161	of	_	_	_	
2-8	162-164	Ca	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-1[3_0]|2-4[4_0]|2-6	
2-9	165-168	and	_	_	_	
2-10	169-171	Co	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-1[3_0]|2-6|2-4[4_0]	
2-11	172-176	were	_	_	_	
2-12	177-186	dissolved	Operation	Participant-material|Participant-material|Participant-material|Next-operation	2-8|2-10|2-15|2-21	
2-13	187-189	in	_	_	_	
2-14	190-199	distilled	Descriptor	_	_	
2-15	200-205	water	Material-others	Descriptor-of	2-14	
2-16	205-206	;	_	_	_	
2-17	207-210	the	_	_	_	
2-18	211-217	citric	Material-recipe[5]	_	_	
2-19	218-222	acid	Material-recipe[5]	_	_	
2-20	223-226	was	_	_	_	
2-21	227-232	added	Operation	Participant-material|Participant-material	2-18[5_0]|2-24[6_0]	
2-22	233-235	in	_	_	_	
2-23	236-239	the	_	_	_	
2-24	240-247	aqueous	Material-intermedium[6]	_	_	
2-25	248-256	solution	Material-intermedium[6]	_	_	
2-26	256-257	.	_	_	_	

#Text=The solution was continuously mixed at 80 °C in order to form the precursor gel.
3-1	258-261	The	_	_	_	
3-2	262-270	solution	Material-intermedium	_	_	
3-3	271-274	was	_	_	_	
3-4	275-287	continuously	Operation[7]	Participant-material|Condition-of	3-2[0_7]|3-7[8_7]	
3-5	288-293	mixed	Operation[7]	_	_	
3-6	294-296	at	_	_	_	
3-7	297-299	80	Property-temperature[8]	_	_	
3-8	299-300	 	Property-temperature[8]	_	_	
3-9	300-301	°	Property-temperature[8]	_	_	
3-10	301-302	C	Property-temperature[8]	_	_	
3-11	303-305	in	_	_	_	
3-12	306-311	order	_	_	_	
3-13	312-314	to	_	_	_	
3-14	315-319	form	_	_	_	
3-15	320-323	the	_	_	_	
3-16	324-333	precursor	_	_	_	
3-17	334-337	gel	_	_	_	
3-18	337-338	.	_	_	_	

#Text=The obtained gel was dried at 120 °C for 12 h in air to evaporate the excessive water.
4-1	339-342	The	_	_	_	
4-2	343-351	obtained	Descriptor	_	_	
4-3	352-355	gel	Material-intermedium	Descriptor-of	4-2	
4-4	356-359	was	_	_	_	
4-5	360-365	dried	Operation	Participant-material|Condition-of|Condition-of|Condition-of	4-3|4-7[9_0]|4-12[10_0]|4-16	
4-6	366-368	at	_	_	_	
4-7	369-372	120	Property-temperature[9]	_	_	
4-8	372-373	 	Property-temperature[9]	_	_	
4-9	373-374	°	Property-temperature[9]	_	_	
4-10	374-375	C	Property-temperature[9]	_	_	
4-11	376-379	for	_	_	_	
4-12	380-382	12	Property-time[10]	_	_	
4-13	382-383	 	Property-time[10]	_	_	
4-14	383-384	h	Property-time[10]	_	_	
4-15	385-387	in	_	_	_	
4-16	388-391	air	Property-pressure	_	_	
4-17	392-394	to	_	_	_	
4-18	395-404	evaporate	_	_	_	
4-19	405-408	the	_	_	_	
4-20	409-418	excessive	_	_	_	
4-21	419-424	water	_	_	_	
4-22	424-425	.	_	_	_	

#Text=Then the dried gel was ground and calcined at 800 °C for 8 h to remove excess organics and to get the Ca3Co4O9 oxide ceramic powders.
5-1	426-430	Then	_	_	_	
5-2	431-434	the	_	_	_	
5-3	435-440	dried	Descriptor	_	_	
5-4	441-444	gel	Material-intermedium	Descriptor-of	5-3	
5-5	445-448	was	_	_	_	
5-6	449-455	ground	Operation	Participant-material|Next-operation	5-4|5-8	
5-7	456-459	and	_	_	_	
5-8	460-468	calcined	Operation	Condition-of|Condition-of	5-10[11_0]|5-15[12_0]	
5-9	469-471	at	_	_	_	
5-10	472-475	800	Property-temperature[11]	_	_	
5-11	475-476	 	Property-temperature[11]	_	_	
5-12	476-477	°	Property-temperature[11]	_	_	
5-13	477-478	C	Property-temperature[11]	_	_	
5-14	479-482	for	_	_	_	
5-15	483-484	8	Property-time[12]	_	_	
5-16	484-485	 	Property-time[12]	_	_	
5-17	485-486	h	Property-time[12]	_	_	
5-18	487-489	to	_	_	_	
5-19	490-496	remove	Operation	Participant-material	5-21	
5-20	497-503	excess	Descriptor	_	_	
5-21	504-512	organics	Material-others	Descriptor-of	5-20	
5-22	513-516	and	_	_	_	
5-23	517-519	to	_	_	_	
5-24	520-523	get	Operation	Participant-material	5-26	
5-25	524-527	the	_	_	_	
5-26	528-536	Ca3Co4O9	Material-target	Descriptor-of|Descriptor-of	5-27[13_0]|5-29	
5-27	537-542	oxide	Descriptor[13]	_	_	
5-28	543-550	ceramic	Descriptor[13]	_	_	
5-29	551-558	powders	Descriptor	_	_	
5-30	558-559	.	_	_	_	

#Text=Then the powder was finely ground for bulk platelet samples preparation.
6-1	560-564	Then	_	_	_	
6-2	565-568	the	_	_	_	
6-3	569-575	powder	Material-intermedium	_	_	
6-4	576-579	was	_	_	_	
6-5	580-586	finely	Operation[14]	Participant-material	6-3[0_14]	
6-6	587-593	ground	Operation[14]	_	_	
6-7	594-597	for	_	_	_	
6-8	598-602	bulk	Descriptor	_	_	
6-9	603-611	platelet	Material-intermedium[15]	Descriptor-of	6-8[0_15]	
6-10	612-619	samples	Material-intermedium[15]	_	_	
6-11	620-631	preparation	_	_	_	
6-12	631-632	.	_	_	_	

#Text=The powers were pressed into bulk pellets with uniaxial formation pressure of 100, 200, 300, 400 and 500 MPa for further processing, respectively.
7-1	633-636	The	_	_	_	
7-2	637-643	powers	Material-intermedium	_	_	
7-3	644-648	were	_	_	_	
7-4	649-656	pressed	Operation	Participant-material|Condition-of	7-2|7-13[17_0]	
7-5	657-661	into	_	_	_	
7-6	662-666	bulk	Descriptor	_	_	
7-7	667-674	pellets	Material-intermedium	Descriptor-of	7-6	
7-8	675-679	with	_	_	_	
7-9	680-688	uniaxial	Descriptor[16]	_	_	
7-10	689-698	formation	Descriptor[16]	_	_	
7-11	699-707	pressure	Property-pressure	Descriptor-of|Coreference	7-9[16_0]|7-13[17_0]	
7-12	708-710	of	_	_	_	
7-13	711-714	100	Property-pressure[17]	_	_	
7-14	714-715	,	Property-pressure[17]	_	_	
7-15	716-719	200	Property-pressure[17]	_	_	
7-16	719-720	,	Property-pressure[17]	_	_	
7-17	721-724	300	Property-pressure[17]	_	_	
7-18	724-725	,	Property-pressure[17]	_	_	
7-19	726-729	400	Property-pressure[17]	_	_	
7-20	730-733	and	Property-pressure[17]	_	_	
7-21	734-737	500	Property-pressure[17]	_	_	
7-22	737-738	 	Property-pressure[17]	_	_	
