#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline Li1.1Cu0.9S was obtained by the reaction of Li foil (99.999%) with CuS powder (anhydrous, 99.999%) both from Sigma Aldrich, close to 1:1 stoichiometry, but with a slight excess of Li.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-27	Li1.1Cu0.9S	Material-target	Descriptor-of	1-1	
1-3	28-31	was	_	_	_	
1-4	32-40	obtained	Operation	Coreference|Participant-material|Participant-material	1-7|1-9|1-2	
1-5	41-43	by	_	_	_	
1-6	44-47	the	_	_	_	
1-7	48-56	reaction	Operation	_	_	
1-8	57-59	of	_	_	_	
1-9	60-62	Li	Material-recipe	Descriptor-of|Value-of|Brand-of|Value-of	1-10|1-12|1-24[1_0]|1-29[2_0]	
1-10	63-67	foil	Descriptor	_	_	
1-11	68-69	(	_	_	_	
1-12	69-76	99.999%	Value	_	_	
1-13	76-77	)	_	_	_	
1-14	78-82	with	_	_	_	
1-15	83-86	CuS	Material-recipe	Descriptor-of|Descriptor-of|Value-of|Brand-of|Value-of	1-16|1-18|1-20|1-24[1_0]|1-29[2_0]	
1-16	87-93	powder	Descriptor	_	_	
1-17	94-95	(	_	_	_	
1-18	95-104	anhydrous	Descriptor	_	_	
1-19	104-105	,	_	_	_	
1-20	106-113	99.999%	Value	_	_	
1-21	113-114	)	_	_	_	
1-22	115-119	both	_	_	_	
1-23	120-124	from	_	_	_	
1-24	125-130	Sigma	Brand[1]	_	_	
1-25	131-138	Aldrich	Brand[1]	_	_	
1-26	138-139	,	_	_	_	
1-27	140-145	close	_	_	_	
1-28	146-148	to	_	_	_	
1-29	149-150	1	Value[2]	_	_	
1-30	150-151	:	Value[2]	_	_	
1-31	151-152	1	Value[2]	_	_	
1-32	153-166	stoichiometry	Value[2]	_	_	
1-33	166-167	,	_	_	_	
1-34	168-171	but	_	_	_	
1-35	172-176	with	_	_	_	
1-36	177-178	a	_	_	_	
1-37	179-185	slight	Descriptor[3]	_	_	
1-38	186-192	excess	Descriptor[3]	_	_	
1-39	193-195	of	_	_	_	
1-40	196-198	Li	Material-recipe	Descriptor-of	1-37[3_0]	
1-41	198-199	.	_	_	_	

#Text=A mixture of the starting materials was pressed into pellets and placed in Al2O3 tubes (∅ 14 mm, Al23, Friatec).
2-1	200-201	A	_	_	_	
2-2	202-209	mixture	Material-intermedium	_	_	
2-3	210-212	of	_	_	_	
