#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of Na2IrO3 were synthesized by solid state synthesis.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-34	Na2IrO3	Material-target	Descriptor-of	1-1	
1-5	35-39	were	_	_	_	
1-6	40-51	synthesized	Operation	Participant-material	1-4	
1-7	52-54	by	_	_	_	
1-8	55-60	solid	Operation[1]	Coreference	1-6[0_1]	
1-9	61-66	state	Operation[1]	_	_	
1-10	67-76	synthesis	Operation[1]	_	_	
1-11	76-77	.	_	_	_	

#Text=The starting materials Na2CO3 (99.995% Alfa Aesar) and anhydrous IrO2 (\ 99.95% KaiDa) were mixed in the ratio 1.05 : 1 and placed in an alumina crucible with a lid and heated to 750 ◦C in 5 hrs and held there for 24 hrs after which it was fur- nace cooled to room temperature.
2-1	78-81	The	_	_	_	
2-2	82-90	starting	Material-recipe[2]	_	_	
2-3	91-100	materials	Material-recipe[2]	_	_	
2-4	101-107	Na2CO3	Material-recipe	Coreference|Value-of|Brand-of|Value-of	2-2[2_0]|2-6|2-7[3_0]|2-23[4_0]	
2-5	108-109	(	_	_	_	
2-6	109-116	99.995%	Value	_	_	
2-7	117-121	Alfa	Brand[3]	_	_	
2-8	122-127	Aesar	Brand[3]	_	_	
2-9	127-128	)	_	_	_	
2-10	129-132	and	_	_	_	
2-11	133-142	anhydrous	Descriptor	_	_	
2-12	143-147	IrO2	Material-recipe	Coreference|Descriptor-of|Value-of|Brand-of|Value-of	2-2[2_0]|2-11|2-15|2-16|2-23[4_0]	
2-13	148-149	(	_	_	_	
2-14	149-150		_	_	_	
2-15	151-157	99.95%	Value	_	_	
2-16	158-163	KaiDa	Brand	_	_	
2-17	163-164	)	_	_	_	
2-18	165-169	were	_	_	_	
2-19	170-175	mixed	Operation	Participant-material|Participant-material|Next-operation	2-12|2-4|2-27	
2-20	176-178	in	_	_	_	
2-21	179-182	the	_	_	_	
2-22	183-188	ratio	Descriptor	_	_	
2-23	189-193	1.05	Value[4]	Descriptor-of	2-22[0_4]	
2-24	194-195	:	Value[4]	_	_	
2-25	196-197	1	Value[4]	_	_	
2-26	198-201	and	_	_	_	
2-27	202-208	placed	Operation	Next-operation|Device-of-operation	2-36|2-31	
2-28	209-211	in	_	_	_	
2-29	212-214	an	Value	_	_	
2-30	215-222	alumina	Descriptor	_	_	
2-31	223-231	crucible	Device	Value-of|Descriptor-of|Descriptor-of	2-29|2-30|2-32[5_0]	
2-32	232-236	with	Descriptor[5]	_	_	
2-33	237-238	a	Descriptor[5]|Value[6]	_	_	
2-34	239-242	lid	Descriptor[5]|Device[7]	Value-of	2-33[6_7]	
2-35	243-246	and	_	_	_	
2-36	247-253	heated	Operation	Condition-of|Condition-of|Next-operation	2-38[8_0]|2-42[9_0]|2-45	
2-37	254-256	to	_	_	_	
2-38	257-260	750	Property-temperature[8]	_	_	
2-39	261-262	◦	Property-temperature[8]	_	_	
2-40	262-263	C	Property-temperature[8]	_	_	
2-41	264-266	in	_	_	_	
2-42	267-268	5	Property-time[9]	_	_	
2-43	269-272	hrs	Property-time[9]	_	_	
2-44	273-276	and	_	_	_	
2-45	277-281	held	Operation	Condition-of|Next-operation	2-48[10_0]|2-54[11_0]	
2-46	282-287	there	_	_	_	
2-47	288-291	for	_	_	_	
2-48	292-294	24	Property-time[10]	_	_	
2-49	295-298	hrs	Property-time[10]	_	_	
2-50	299-304	after	_	_	_	
2-51	305-310	which	_	_	_	
2-52	311-313	it	_	_	_	
2-53	314-317	was	_	_	_	
2-54	318-321	fur	Operation[11]	Condition-of	2-59[12_11]	
2-55	321-322	-	Operation[11]	_	_	
2-56	323-327	nace	Operation[11]	_	_	
2-57	328-334	cooled	Operation[11]	_	_	
2-58	335-337	to	_	_	_	
2-59	338-342	room	Property-temperature[12]	_	_	
2-60	343-354	temperature	Property-temperature[12]	_	_	
2-61	354-355	.	_	_	_	

#Text=The resulting mixture was ground and pelletized, placed in an alumina crucible and heated to 900 ◦C in 6 hrs and held there for 48 hrs before cooling to room temperature.
3-1	356-359	The	_	_	_	
3-2	360-369	resulting	Descriptor	_	_	
3-3	370-377	mixture	Material-intermedium	Descriptor-of	3-2	
3-4	378-381	was	_	_	_	
3-5	382-388	ground	Operation	Participant-material|Next-operation	3-3|3-7	
3-6	389-392	and	_	_	_	
3-7	393-403	pelletized	Operation	Next-operation	3-9	
3-8	403-404	,	_	_	_	
3-9	405-411	placed	Operation	Device-of-operation|Next-operation	3-13|3-15	
3-10	412-414	in	_	_	_	
3-11	415-417	an	Value	_	_	
3-12	418-425	alumina	Descriptor	_	_	
3-13	426-434	crucible	Device	Value-of|Descriptor-of	3-11|3-12	
3-14	435-438	and	_	_	_	
3-15	439-445	heated	Operation	Condition-of|Condition-of|Next-operation	3-17[13_0]|3-21[14_0]|3-24	
3-16	446-448	to	_	_	_	
3-17	449-452	900	Property-temperature[13]	_	_	
3-18	453-454	◦	Property-temperature[13]	_	_	
