#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Single crystals of TaP were grown by a chemical vapour transport in a temperature gradient 850 °C→950 °C, using 0.6 g of polycrystalline TaP as a source and iodine as a transport agent with a concentration of 12.2 mg cm−3.
1-1	0-6	Single	_	_	_	
1-2	7-15	crystals	_	_	_	
1-3	16-18	of	_	_	_	
1-4	19-22	TaP	_	_	_	
1-5	23-27	were	_	_	_	
1-6	28-33	grown	_	_	_	
1-7	34-36	by	_	_	_	
1-8	37-38	a	_	_	_	
1-9	39-47	chemical	_	_	_	
1-10	48-54	vapour	_	_	_	
1-11	55-64	transport	_	_	_	
1-12	65-67	in	_	_	_	
1-13	68-69	a	_	_	_	
1-14	70-81	temperature	_	_	_	
1-15	82-90	gradient	_	_	_	
1-16	91-94	850	_	_	_	
1-17	95-96	°	_	_	_	
1-18	96-97	C	_	_	_	
1-19	97-98	→	_	_	_	
1-20	98-101	950	_	_	_	
1-21	102-103	°	_	_	_	
1-22	103-104	C	_	_	_	
1-23	104-105	,	_	_	_	
1-24	106-111	using	_	_	_	
1-25	112-115	0.6	_	_	_	
1-26	116-117	g	_	_	_	
1-27	118-120	of	_	_	_	
1-28	121-136	polycrystalline	_	_	_	
1-29	137-140	TaP	_	_	_	
1-30	141-143	as	_	_	_	
1-31	144-145	a	_	_	_	
1-32	146-152	source	_	_	_	
1-33	153-156	and	_	_	_	
1-34	157-163	iodine	_	_	_	
1-35	164-166	as	_	_	_	
1-36	167-168	a	_	_	_	
1-37	169-178	transport	_	_	_	
1-38	179-184	agent	_	_	_	
1-39	185-189	with	_	_	_	
1-40	190-191	a	_	_	_	
1-41	192-205	concentration	_	_	_	
1-42	206-208	of	_	_	_	
1-43	209-213	12.2	_	_	_	
1-44	214-216	mg	_	_	_	
1-45	217-219	cm	_	_	_	
1-46	219-220	−	_	_	_	
1-47	220-221	3	_	_	_	
1-48	221-222	.	_	_	_	

#Text=Polycrystalline TaP was synthesized by a solid-state reaction using elemental niobium and red phosphorus of a minimum purity 99.99%.
2-1	223-238	Polycrystalline	Descriptor	_	_	
2-2	239-242	TaP	Material-target	Descriptor-of	2-1	
2-3	243-246	was	_	_	_	
2-4	247-258	synthesized	Operation	Participant-material	2-2	
2-5	259-261	by	_	_	_	
2-6	262-263	a	_	_	_	
2-7	264-275	solid-state	Operation[1]	Coreference|Participant-material|Participant-material	2-4[0_1]|2-11[0_1]|2-14[0_1]	
2-8	276-284	reaction	Operation[1]	_	_	
2-9	285-290	using	_	_	_	
2-10	291-300	elemental	Descriptor	_	_	
2-11	301-308	niobium	Material-recipe	Descriptor-of|Value-of	2-10|2-19	
2-12	309-312	and	_	_	_	
2-13	313-316	red	Descriptor	_	_	
2-14	317-327	phosphorus	Material-recipe	Descriptor-of|Value-of	2-13|2-19	
