#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The single crystals of MoP were grown via a simple chemical vapor transport method using iodine as a transport agent.
1-1	0-3	The	_	_	_	
1-2	4-10	single	_	_	_	
1-3	11-19	crystals	_	_	_	
1-4	20-22	of	_	_	_	
1-5	23-26	MoP	_	_	_	
1-6	27-31	were	_	_	_	
1-7	32-37	grown	_	_	_	
1-8	38-41	via	_	_	_	
1-9	42-43	a	_	_	_	
1-10	44-50	simple	_	_	_	
1-11	51-59	chemical	_	_	_	
1-12	60-65	vapor	_	_	_	
1-13	66-75	transport	_	_	_	
1-14	76-82	method	_	_	_	
1-15	83-88	using	_	_	_	
1-16	89-95	iodine	_	_	_	
1-17	96-98	as	_	_	_	
1-18	99-100	a	_	_	_	
1-19	101-110	transport	_	_	_	
1-20	111-116	agent	_	_	_	
1-21	116-117	.	_	_	_	

#Text=First, MoP polycrystalline powder was synthesized by a direct reaction of molybdenum (Alfa-Aesar, 99.95%) and red phosphorus (Alfa-Aesar, 99.999%) sealed in an evacuated fused silica tube.
2-1	118-123	First	_	_	_	
2-2	123-124	,	_	_	_	
2-3	125-128	MoP	Material-target	Descriptor-of|Descriptor-of	2-4|2-5	
2-4	129-144	polycrystalline	Descriptor	_	_	
2-5	145-151	powder	Descriptor	_	_	
2-6	152-155	was	_	_	_	
2-7	156-167	synthesized	Operation	Participant-material|Coreference	2-3|2-10[1_0]	
2-8	168-170	by	_	_	_	
2-9	171-172	a	_	_	_	
2-10	173-179	direct	Operation[1]	Coreference	2-27[0_1]	
2-11	180-188	reaction	Operation[1]	_	_	
2-12	189-191	of	_	_	_	
2-13	192-202	molybdenum	Material-recipe	Brand-of|Value-of	2-15|2-17	
2-14	203-204	(	_	_	_	
2-15	204-214	Alfa-Aesar	Brand	_	_	
2-16	214-215	,	_	_	_	
2-17	216-222	99.95%	Value	_	_	
2-18	222-223	)	_	_	_	
2-19	224-227	and	_	_	_	
2-20	228-231	red	Descriptor	_	_	
2-21	232-242	phosphorus	Material-recipe	Descriptor-of|Brand-of|Value-of	2-20|2-23|2-25	
2-22	243-244	(	_	_	_	
2-23	244-254	Alfa-Aesar	Brand	_	_	
2-24	254-255	,	_	_	_	
2-25	256-263	99.999%	Value	_	_	
2-26	263-264	)	_	_	_	
2-27	265-271	sealed	Operation	Participant-material|Participant-material|Device-of-operation	2-21|2-13|2-33	
2-28	272-274	in	_	_	_	
2-29	275-277	an	Value	_	_	
2-30	278-287	evacuated	Descriptor	_	_	
2-31	288-293	fused	Descriptor	_	_	
2-32	294-300	silica	Descriptor	_	_	
2-33	301-305	tube	Device	Value-of|Descriptor-of|Descriptor-of|Descriptor-of	2-29|2-30|2-31|2-32	
2-34	305-306	.	_	_	_	

#Text=The sealed tube was heated to 873 K and then to 1073 K.
3-1	307-310	The	_	_	_	
3-2	311-317	sealed	Descriptor	_	_	
3-3	318-322	tube	Device	Descriptor-of	3-2	
3-4	323-326	was	_	_	_	
3-5	327-333	heated	Operation	Participant-material|Condition-of|Condition-of	3-3|3-7[2_0]|3-12[3_0]	
3-6	334-336	to	_	_	_	
3-7	337-340	873	Property-temperature[2]	_	_	
3-8	341-342	K	Property-temperature[2]	_	_	
3-9	343-346	and	_	_	_	
3-10	347-351	then	Descriptor	_	_	
3-11	352-354	to	_	_	_	
3-12	355-359	1073	Property-temperature[3]	Descriptor-of	3-10[0_3]	
3-13	360-361	K	Property-temperature[3]	_	_	
3-14	361-362	.	_	_	_	

#Text=Starting from this powder with iodine, the single crystals were grown in a two-zone furnace at a temperature of 1273 K (T2) and 1173 K (T1).
4-1	363-371	Starting	_	_	_	
4-2	372-376	from	_	_	_	
4-3	377-381	this	_	_	_	
4-4	382-388	powder	_	_	_	
4-5	389-393	with	_	_	_	
4-6	394-400	iodine	_	_	_	
4-7	400-401	,	_	_	_	
4-8	402-405	the	_	_	_	
4-9	406-412	single	_	_	_	
4-10	413-421	crystals	_	_	_	
4-11	422-426	were	_	_	_	
4-12	427-432	grown	_	_	_	
4-13	433-435	in	_	_	_	
4-14	436-437	a	_	_	_	
4-15	438-446	two-zone	_	_	_	
4-16	447-454	furnace	_	_	_	
4-17	455-457	at	_	_	_	
4-18	458-459	a	_	_	_	
4-19	460-471	temperature	_	_	_	
