#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of LiGa0.2In0.8Cr4O8 were synthesized by a solid-state reaction method.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	Descriptor	_	_	
1-3	24-26	of	_	_	_	
1-4	27-44	LiGa0.2In0.8Cr4O8	Material-target	Descriptor-of|Descriptor-of	1-1|1-2	
1-5	45-49	were	_	_	_	
1-6	50-61	synthesized	Operation	Participant-material|Coreference	1-4|1-9[1_0]	
1-7	62-64	by	_	_	_	
1-8	65-66	a	_	_	_	
1-9	67-78	solid-state	Operation[1]	_	_	
1-10	79-87	reaction	Operation[1]	_	_	
1-11	88-94	method	Operation[1]	_	_	
1-12	94-95	.	_	_	_	

#Text=Stoichiometric amounts of Li2CO3, Cr2O3, Ga2O3, and In2O3 were mixed in a 1:4:0.2:0.8 molar ratio and thoroughly ground in a mortar.
2-1	96-110	Stoichiometric	Value[2]	_	_	
2-2	111-118	amounts	Value[2]	_	_	
2-3	119-121	of	_	_	_	
2-4	122-128	Li2CO3	Material-recipe	Value-of|Value-of	2-1[2_0]|2-16[3_0]	
2-5	128-129	,	_	_	_	
2-6	130-135	Cr2O3	Material-recipe	Value-of|Value-of	2-1[2_0]|2-16[3_0]	
2-7	135-136	,	_	_	_	
2-8	137-142	Ga2O3	Material-recipe	Value-of|Value-of	2-1[2_0]|2-16[3_0]	
2-9	142-143	,	_	_	_	
2-10	144-147	and	_	_	_	
2-11	148-153	In2O3	Material-recipe	Value-of|Value-of	2-1[2_0]|2-16[3_0]	
2-12	154-158	were	_	_	_	
2-13	159-164	mixed	Operation	Participant-material|Participant-material|Participant-material|Participant-material	2-11|2-8|2-6|2-4	
2-14	165-167	in	_	_	_	
2-15	168-169	a	_	_	_	
2-16	170-171	1	Value[3]	Descriptor-of	2-23[4_3]	
2-17	171-172	:	Value[3]	_	_	
2-18	172-173	4	Value[3]	_	_	
2-19	173-174	:	Value[3]	_	_	
2-20	174-177	0.2	Value[3]	_	_	
2-21	177-178	:	Value[3]	_	_	
2-22	178-181	0.8	Value[3]	_	_	
2-23	182-187	molar	Descriptor[4]	_	_	
2-24	188-193	ratio	Descriptor[4]	_	_	
2-25	194-197	and	_	_	_	
2-26	198-208	thoroughly	Descriptor	_	_	
2-27	209-215	ground	Operation	Descriptor-of|Device-of-operation|Next-operation|Participant-material|Participant-material|Participant-material|Participant-material	2-26|2-30|2-13|2-4|2-6|2-8|2-11	
2-28	216-218	in	_	_	_	
2-29	219-220	a	Value	_	_	
2-30	221-227	mortar	Device	Value-of	2-29	
2-31	227-228	.	_	_	_	

#Text=The mixture was pelletized and sintered at 800 °C in the air for 12 h.
3-1	229-232	The	_	_	_	
3-2	233-240	mixture	Material-intermedium	_	_	
3-3	241-244	was	_	_	_	
3-4	245-255	pelletized	Operation	Participant-material|Next-operation	3-2|3-6	
3-5	256-259	and	_	_	_	
3-6	260-268	sintered	Operation	Condition-of|Condition-of|Condition-of	3-8[5_0]|3-13|3-15[6_0]	
3-7	269-271	at	_	_	_	
3-8	272-275	800	Property-temperature[5]	_	_	
3-9	276-277	°	Property-temperature[5]	_	_	
3-10	277-278	C	Property-temperature[5]	_	_	
3-11	279-281	in	_	_	_	
3-12	282-285	the	_	_	_	
3-13	286-289	air	Property-pressure	_	_	
3-14	290-293	for	_	_	_	
3-15	294-296	12	Property-time[6]	_	_	
3-16	297-298	h	Property-time[6]	_	_	
3-17	298-299	.	_	_	_	

#Text=The substance was ground, pressured into pellets, and finally sintered at 1000 °C for 24 h and 1100 °C for 72 h.
4-1	300-303	The	_	_	_	
4-2	304-313	substance	Material-intermedium	_	_	
4-3	314-317	was	_	_	_	
4-4	318-324	ground	Operation	Participant-material|Next-operation	4-2|4-6	
4-5	324-325	,	_	_	_	
4-6	326-335	pressured	Operation	Participant-material|Next-operation	4-8|4-12	
4-7	336-340	into	_	_	_	
4-8	341-348	pellets	Material-intermedium	_	_	
4-9	348-349	,	_	_	_	
4-10	350-353	and	_	_	_	
4-11	354-361	finally	_	_	_	
4-12	362-370	sintered	Operation	Participant-material|Condition-of|Condition-of|Condition-of|Condition-of	4-8|4-14[7_0]|4-18[8_0]|4-21[9_0]|4-25[10_0]	
4-13	371-373	at	_	_	_	
4-14	374-378	1000	Property-temperature[7]	_	_	
4-15	379-380	°	Property-temperature[7]	_	_	
4-16	380-381	C	Property-temperature[7]	_	_	
4-17	382-385	for	_	_	_	
4-18	386-388	24	Property-time[8]	_	_	
4-19	389-390	h	Property-time[8]	_	_	
4-20	391-394	and	_	_	_	
4-21	395-399	1100	Property-temperature[9]	_	_	
4-22	400-401	°	Property-temperature[9]	_	_	
4-23	401-402	C	Property-temperature[9]	_	_	
4-24	403-406	for	_	_	_	
4-25	407-409	72	Property-time[10]	_	_	
4-26	410-411	h	Property-time[10]	_	_	
4-27	411-412	.	_	_	_	

#Text=We checked the quality of the samples by X-ray diffraction measurements.
5-1	413-415	We	_	_	_	
5-2	416-423	checked	_	_	_	
5-3	424-427	the	_	_	_	
5-4	428-435	quality	_	_	_	
5-5	436-438	of	_	_	_	
5-6	439-442	the	_	_	_	
5-7	443-450	samples	_	_	_	
5-8	451-453	by	_	_	_	
5-9	454-459	X-ray	_	_	_	
5-10	460-471	diffraction	_	_	_	
5-11	472-484	measurements	_	_	_	
5-12	484-485	.	_	_	_	
