#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline specimens of Li(Cd,Mn)P were prepared by solid state reaction with high purity elements.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-25	specimens	Descriptor	_	_	
1-3	26-28	of	_	_	_	
1-4	29-31	Li	Material-target[1]	Descriptor-of|Descriptor-of	1-2[0_1]|1-1[0_1]	
1-5	31-32	(	Material-target[1]	_	_	
1-6	32-34	Cd	Material-target[1]	_	_	
1-7	34-35	,	Material-target[1]	_	_	
1-8	35-37	Mn	Material-target[1]	_	_	
1-9	37-38	)	Material-target[1]	_	_	
1-10	38-39	P	Material-target[1]	_	_	
1-11	40-44	were	_	_	_	
1-12	45-53	prepared	Operation	Participant-material|Coreference	1-4[1_0]|1-14[2_0]	
1-13	54-56	by	_	_	_	
1-14	57-62	solid	Operation[2]	Participant-material	1-20[0_2]	
1-15	63-68	state	Operation[2]	_	_	
1-16	69-77	reaction	Operation[2]	_	_	
1-17	78-82	with	_	_	_	
1-18	83-87	high	Value[3]	_	_	
1-19	88-94	purity	Value[3]	_	_	
1-20	95-103	elements	Material-recipe	Value-of	1-18[3_0]	
1-21	103-104	.	_	_	_	

#Text=The stoichiometric ratios of starting materials were well mixed and pressed into pellets.
2-1	105-108	The	_	_	_	
2-2	109-123	stoichiometric	Value[4]	_	_	
2-3	124-130	ratios	Value[4]	_	_	
2-4	131-133	of	_	_	_	
2-5	134-142	starting	Material-recipe[5]	Value-of	2-2[4_5]	
2-6	143-152	materials	Material-recipe[5]	_	_	
2-7	153-157	were	_	_	_	
2-8	158-162	well	Descriptor	_	_	
2-9	163-168	mixed	Operation	Descriptor-of|Participant-material|Next-operation	2-8|2-5[5_0]|2-11	
2-10	169-172	and	_	_	_	
2-11	173-180	pressed	Operation	Participant-material	2-13	
2-12	181-185	into	_	_	_	
2-13	186-193	pellets	Material-recipe	_	_	
2-14	193-194	.	_	_	_	

#Text=All the processes were performed under the protection of high-purity Argon due to the air sensitivity of precursors and products.
3-1	195-198	All	_	_	_	
3-2	199-202	the	_	_	_	
3-3	203-212	processes	Operation	Condition-of|Coreference	3-10[6_0]|3-5	
3-4	213-217	were	_	_	_	
3-5	218-227	performed	Operation	_	_	
3-6	228-233	under	_	_	_	
