#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=In this study, polycrystalline samples of (Cu1−xZnx)2OSeO3 (0 ≤ x ≤ 0.2) were prepared by solid-state reaction method.
1-1	0-2	In	_	_	_	
1-2	3-7	this	_	_	_	
1-3	8-13	study	_	_	_	
1-4	13-14	,	_	_	_	
1-5	15-30	polycrystalline	Descriptor	_	_	
1-6	31-38	samples	_	_	_	
1-7	39-41	of	_	_	_	
1-8	42-43	(	Material-target[1]	Descriptor-of|Descriptor-of	1-5[0_1]|1-15[2_1]	
1-9	43-46	Cu1	Material-target[1]	_	_	
1-10	46-47	−	Material-target[1]	_	_	
1-11	47-51	xZnx	Material-target[1]	_	_	
1-12	51-52	)	Material-target[1]	_	_	
1-13	52-58	2OSeO3	Material-target[1]	_	_	
1-14	59-60	(	_	_	_	
1-15	60-61	0	Descriptor[2]	_	_	
1-16	62-63	≤	Descriptor[2]	_	_	
1-17	64-65	x	Descriptor[2]	_	_	
1-18	66-67	≤	Descriptor[2]	_	_	
1-19	68-71	0.2	Descriptor[2]	_	_	
1-20	71-72	)	_	_	_	
1-21	73-77	were	_	_	_	
1-22	78-86	prepared	Operation	Participant-material|Coreference	1-8[1_0]|1-24[3_0]	
1-23	87-89	by	_	_	_	
1-24	90-101	solid-state	Operation[3]	_	_	
1-25	102-110	reaction	Operation[3]	_	_	
1-26	111-117	method	Operation[3]	_	_	
1-27	117-118	.	_	_	_	

#Text=Nominal mixtures of high purity CuO, ZnO and SeO2 powders were pressed into pellets.
2-1	119-126	Nominal	Value[4]	_	_	
2-2	127-135	mixtures	Value[4]	_	_	
2-3	136-138	of	_	_	_	
2-4	139-143	high	Descriptor[5]	_	_	
2-5	144-150	purity	Descriptor[5]	_	_	
2-6	151-154	CuO	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-1[4_0]|2-4[5_0]|2-11	
2-7	154-155	,	_	_	_	
2-8	156-159	ZnO	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-1[4_0]|2-4[5_0]|2-11	
2-9	160-163	and	_	_	_	
2-10	164-168	SeO2	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-1[4_0]|2-4[5_0]|2-11	
2-11	169-176	powders	Descriptor	_	_	
2-12	177-181	were	_	_	_	
2-13	182-189	pressed	Operation[6]	Participant-material|Participant-material|Participant-material	2-6[0_6]|2-8[0_6]|2-10[0_6]	
2-14	190-194	into	Operation[6]	_	_	
2-15	195-202	pellets	Material-intermedium	_	_	
2-16	202-203	.	_	_	_	

#Text=The pellets were sealed in an evacuated quartz tube and heated to a temperature range of 520 °C to 600 °C for 72 h, then slowly cooled over several hours to room temperature.
3-1	204-207	The	_	_	_	
3-2	208-215	pellets	Material-intermedium	_	_	
3-3	216-220	were	_	_	_	
3-4	221-227	sealed	Operation	Participant-material|Next-operation|Device-of-operation	3-2|3-11|3-9	
3-5	228-230	in	_	_	_	
3-6	231-233	an	Value	_	_	
3-7	234-243	evacuated	Descriptor	_	_	
3-8	244-250	quartz	Descriptor	_	_	
3-9	251-255	tube	Device	Value-of|Descriptor-of|Descriptor-of	3-6|3-7|3-8	
3-10	256-259	and	_	_	_	
3-11	260-266	heated	Operation	Condition-of|Condition-of|Next-operation	3-17[8_0]|3-25[9_0]|3-29[10_0]	
3-12	267-269	to	_	_	_	
3-13	270-271	a	Property-temperature[7]	_	_	
3-14	272-283	temperature	Property-temperature[7]	_	_	
3-15	284-289	range	Property-temperature[7]	_	_	
3-16	290-292	of	_	_	_	
3-17	293-296	520	Property-temperature[8]	Coreference	3-13[7_8]	
3-18	297-298	°	Property-temperature[8]	_	_	
3-19	298-299	C	Property-temperature[8]	_	_	
3-20	300-302	to	Property-temperature[8]	_	_	
3-21	303-306	600	Property-temperature[8]	_	_	
