#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The single crystals of LiMn6Sn6 were grown by the self-
#Text=ﬂux method.
1-1	0-3	The	_	_	_	
1-2	4-10	single	_	_	_	
1-3	11-19	crystals	_	_	_	
1-4	20-22	of	_	_	_	
1-5	23-31	LiMn6Sn6	_	_	_	
1-6	32-36	were	_	_	_	
1-7	37-42	grown	_	_	_	
1-8	43-45	by	_	_	_	
1-9	46-49	the	_	_	_	
1-10	50-54	self	_	_	_	
1-11	54-55	-	_	_	_	
1-12	56-59	ﬂux	_	_	_	
1-13	60-66	method	_	_	_	
1-14	66-67	.	_	_	_	

#Text=Li, Mn, and Sn with atomic ratio of Li : Mn : Sn
#Text== 3 : 3 : 10 were loaded in a Ta crucible, and a Ta ﬁlter with
#Text=drilled holes was then knocked into the crucible.
2-1	68-70	Li	Material-recipe	Value-of	2-8[1_0]	
2-2	70-71	,	_	_	_	
2-3	72-74	Mn	Material-recipe	Value-of	2-8[1_0]	
2-4	74-75	,	_	_	_	
2-5	76-79	and	_	_	_	
2-6	80-82	Sn	Material-recipe	Value-of	2-8[1_0]	
2-7	83-87	with	_	_	_	
2-8	88-94	atomic	Value[1]	Descriptor-of	2-11[2_1]	
2-9	95-100	ratio	Value[1]	_	_	
2-10	101-103	of	_	_	_	
2-11	104-106	Li	Descriptor[2]	_	_	
2-12	107-108	:	Descriptor[2]	_	_	
2-13	109-111	Mn	Descriptor[2]	_	_	
2-14	112-113	:	Descriptor[2]	_	_	
2-15	114-116	Sn	Descriptor[2]	_	_	
2-16	117-118	=	Descriptor[2]	_	_	
2-17	119-120	3	Descriptor[2]	_	_	
2-18	121-122	:	Descriptor[2]	_	_	
2-19	123-124	3	Descriptor[2]	_	_	
2-20	125-126	:	Descriptor[2]	_	_	
2-21	127-129	10	Descriptor[2]	_	_	
2-22	130-134	were	_	_	_	
2-23	135-141	loaded	Operation	Participant-material|Participant-material|Participant-material|Device-of-operation|Device-of-operation|Next-operation	2-1|2-3|2-6|2-27|2-32|2-38	
2-24	142-144	in	_	_	_	
2-25	145-146	a	Value	_	_	
2-26	147-149	Ta	Descriptor	_	_	
2-27	150-158	crucible	Device	Value-of|Descriptor-of	2-25|2-26	
2-28	158-159	,	_	_	_	
2-29	160-163	and	_	_	_	
2-30	164-165	a	Value	_	_	
2-31	166-168	Ta	Descriptor	_	_	
2-32	169-174	ﬁlter	Device	Value-of|Descriptor-of|Descriptor-of	2-30|2-31|2-34[3_0]	
2-33	175-179	with	_	_	_	
2-34	180-187	drilled	Descriptor[3]	_	_	
2-35	188-193	holes	Descriptor[3]	_	_	
2-36	194-197	was	_	_	_	
2-37	198-202	then	_	_	_	
2-38	203-210	knocked	Operation	Device-of-operation	2-41	
2-39	211-215	into	_	_	_	
2-40	216-219	the	_	_	_	
2-41	220-228	crucible	Device	_	_	
2-42	228-229	.	_	_	_	

#Text=The crucible
#Text=was ﬁnally arc welded with a Ta cap and sealed in an evac-
#Text=uated quartz tube.
3-1	230-233	The	_	_	_	
3-2	234-242	crucible	Device	_	_	
3-3	243-246	was	_	_	_	
3-4	247-253	ﬁnally	_	_	_	
3-5	254-257	arc	Operation[4]	Device-of-operation|Device-of-operation|Next-operation	3-2[0_4]|3-10[0_4]|3-12[0_4]	
3-6	258-264	welded	Operation[4]	_	_	
3-7	265-269	with	_	_	_	
3-8	270-271	a	Value	_	_	
3-9	272-274	Ta	Descriptor	_	_	
3-10	275-278	cap	Device	Value-of|Descriptor-of	3-8|3-9	
3-11	279-282	and	_	_	_	
3-12	283-289	sealed	Operation	Device-of-operation	3-19	
3-13	290-292	in	_	_	_	
3-14	293-295	an	Value	_	_	
3-15	296-300	evac	Descriptor[5]	_	_	
3-16	300-301	-	Descriptor[5]	_	_	
3-17	302-307	uated	Descriptor[5]	_	_	
3-18	308-314	quartz	Descriptor	_	_	
3-19	315-319	tube	Device	Value-of|Descriptor-of|Descriptor-of	3-14|3-15[5_0]|3-18	
3-20	319-320	.	_	_	_	

#Text=The tube was heated to 1000 ◦C, kept for
#Text=20 hs, and then cooled down to 500 ◦C with a rate of 3 ◦C/h.
4-1	321-324	The	_	_	_	
4-2	325-329	tube	Device	_	_	
4-3	330-333	was	_	_	_	
