#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=High-purity LiCoO2 was synthesized from a stoichiomet-
#Text=ric mixture of Li2CO3 99.998% and Co3O4 99.995%, which
#Text=were vacuum dried and then thoroughly ground and pel-
#Text=leted in an argon-ﬁlled glove box.
1-1	0-11	High-purity	Descriptor	_	_	
1-2	12-18	LiCoO2	Material-target	Descriptor-of	1-1	
1-3	19-22	was	_	_	_	
1-4	23-34	synthesized	Operation	Participant-material|Participant-material	1-2|1-10	
1-5	35-39	from	_	_	_	
1-6	40-41	a	_	_	_	
1-7	42-53	stoichiomet	Value[1]	_	_	
1-8	53-54	-	Value[1]	_	_	
1-9	55-58	ric	Value[1]	_	_	
1-10	59-66	mixture	Material-recipe	Coreference|Coreference|Value-of	1-12|1-15|1-7[1_0]	
1-11	67-69	of	_	_	_	
1-12	70-76	Li2CO3	Material-recipe	Value-of	1-13	
1-13	77-84	99.998%	Value	_	_	
1-14	85-88	and	_	_	_	
1-15	89-94	Co3O4	Material-recipe	Value-of	1-16	
1-16	95-102	99.995%	Value	_	_	
1-17	102-103	,	_	_	_	
1-18	104-109	which	_	_	_	
1-19	110-114	were	_	_	_	
1-20	115-121	vacuum	Operation[2]	Participant-material|Participant-material|Next-operation	1-12[0_2]|1-15[0_2]|1-25[0_2]	
1-21	122-127	dried	Operation[2]	_	_	
1-22	128-131	and	_	_	_	
1-23	132-136	then	_	_	_	
1-24	137-147	thoroughly	Descriptor	_	_	
1-25	148-154	ground	Operation	Condition-of|Device-of-operation|Descriptor-of|Next-operation	1-32|1-33[4_0]|1-24|1-27[3_0]	
1-26	155-158	and	_	_	_	
1-27	159-162	pel	Operation[3]	Condition-of|Device-of-operation	1-32[0_3]|1-33[4_3]	
1-28	162-163	-	Operation[3]	_	_	
1-29	164-169	leted	Operation[3]	_	_	
1-30	170-172	in	_	_	_	
1-31	173-175	an	Value	_	_	
1-32	176-187	argon-ﬁlled	Property-pressure	_	_	
1-33	188-193	glove	Device[4]	Value-of	1-31[0_4]	
1-34	194-197	box	Device[4]	_	_	
1-35	197-198	.	_	_	_	

#Text=The pellets were heated at
#Text=850 ◦C for 4 h in air and then introduced into a glove box
#Text=while still hot after removal from the furnace at 200 ◦C.
2-1	199-202	The	_	_	_	
2-2	203-210	pellets	Material-intermedium	_	_	
2-3	211-215	were	_	_	_	
2-4	216-222	heated	Operation	Condition-of|Condition-of|Condition-of|Participant-material|Device-of-operation|Next-operation	2-6[5_0]|2-10[6_0]|2-12[7_0]|2-2|2-28|2-25	
2-5	223-225	at	_	_	_	
2-6	226-229	850	Property-temperature[5]	_	_	
2-7	230-231	◦	Property-temperature[5]	_	_	
2-8	231-232	C	Property-temperature[5]	_	_	
2-9	233-236	for	_	_	_	
2-10	237-238	4	Property-time[6]	_	_	
2-11	239-240	h	Property-time[6]	_	_	
2-12	241-243	in	Property-pressure[7]	_	_	
2-13	244-247	air	Property-pressure[7]	_	_	
2-14	248-251	and	_	_	_	
2-15	252-256	then	_	_	_	
2-16	257-267	introduced	Operation	Device-of-operation|Next-operation|Condition-of	2-19[8_0]|2-25|2-23	
2-17	268-272	into	_	_	_	
2-18	273-274	a	_	_	_	
2-19	275-280	glove	Device[8]	_	_	
2-20	281-284	box	Device[8]	_	_	
2-21	285-290	while	_	_	_	
2-22	291-296	still	_	_	_	
2-23	297-300	hot	Property-temperature	_	_	
2-24	301-306	after	_	_	_	
2-25	307-314	removal	Operation	Condition-of|Device-of-operation	2-30[9_0]|2-28	
2-26	315-319	from	_	_	_	
2-27	320-323	the	_	_	_	
2-28	324-331	furnace	Device	_	_	
2-29	332-334	at	_	_	_	
2-30	335-338	200	Property-temperature[9]	_	_	
2-31	339-340	◦	Property-temperature[9]	_	_	
2-32	340-341	C	Property-temperature[9]	_	_	
2-33	341-342	.	_	_	_	

#Text=For
#Text=the synthesis of PdCoO2, phase-pure LiCoO2, Pd 99.95%,
#Text=and PdCl2 99.999% (vacuum dried) were thoroughly mixed
#Text=in an argon-ﬁlled glovebox according to the equation Pd +
#Text=PdCl2 + 2LiCoO2 → 2PdCoO2 + 2LiCl.
3-1	343-346	For	_	_	_	
3-2	347-350	the	_	_	_	
3-3	351-360	synthesis	Operation	Participant-material	3-5	
3-4	361-363	of	_	_	_	
3-5	364-370	PdCoO2	Material-target	_	_	
3-6	370-371	,	_	_	_	
3-7	372-382	phase-pure	Descriptor	_	_	
3-8	383-389	LiCoO2	Material-recipe	Descriptor-of	3-7	
3-9	389-390	,	_	_	_	
3-10	391-393	Pd	Material-recipe	Value-of	3-11	
3-11	394-400	99.95%	Value	_	_	
3-12	400-401	,	_	_	_	
3-13	402-405	and	_	_	_	
3-14	406-411	PdCl2	Material-recipe	Value-of|Descriptor-of	3-15|3-17[10_0]	
3-15	412-419	99.999%	Value	_	_	
3-16	420-421	(	_	_	_	
3-17	421-427	vacuum	Descriptor[10]	_	_	
3-18	428-433	dried	Descriptor[10]	_	_	
3-19	433-434	)	_	_	_	
3-20	435-439	were	_	_	_	
3-21	440-450	thoroughly	Descriptor	_	_	
3-22	451-456	mixed	Operation	Participant-material|Participant-material|Participant-material|Device-of-operation|Condition-of|Next-operation|Descriptor-of	3-8|3-10|3-14|3-26|3-25|3-36|3-21	
3-23	457-459	in	_	_	_	
3-24	460-462	an	Value	_	_	
3-25	463-474	argon-ﬁlled	Property-pressure	_	_	
3-26	475-483	glovebox	Device	Value-of	3-24	
3-27	484-493	according	_	_	_	
3-28	494-496	to	_	_	_	
3-29	497-500	the	_	_	_	
3-30	501-509	equation	_	_	_	
