#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Four TiNi1.1Sn samples were melted utilizing a Crystalox MCGS5 levitation melting system with a water-cooled copper crucible under an Ar atmosphere.
1-1	0-4	Four	Value	_	_	
1-2	5-14	TiNi1.1Sn	Material-target	Value-of	1-1	
1-3	15-22	samples	Material-target	Value-of	1-1	
1-4	23-27	were	_	_	_	
1-5	28-34	melted	Operation	Participant-material|Participant-material|Condition-of|Device-of-operation	1-3|1-2|1-20[3_0]|1-8[1_0]	
1-6	35-44	utilizing	_	_	_	
1-7	45-46	a	Value	_	_	
1-8	47-56	Crystalox	Device[1]	Descriptor-of|Value-of	1-14[2_1]|1-7[0_1]	
1-9	57-62	MCGS5	Device[1]	_	_	
1-10	63-73	levitation	Device[1]	_	_	
1-11	74-81	melting	Device[1]	_	_	
1-12	82-88	system	Device[1]	_	_	
1-13	89-93	with	_	_	_	
1-14	94-95	a	Descriptor[2]	_	_	
1-15	96-108	water-cooled	Descriptor[2]	_	_	
1-16	109-115	copper	Descriptor[2]	_	_	
1-17	116-124	crucible	Descriptor[2]	_	_	
1-18	125-130	under	_	_	_	
1-19	131-133	an	_	_	_	
1-20	134-136	Ar	Property-pressure[3]	_	_	
1-21	137-147	atmosphere	Property-pressure[3]	_	_	
1-22	147-148	.	_	_	_	

#Text=Charges of approximately 12 g were formed from a stoichiometric ratio of TiNi1.1Sn from elemental sources: Ti wire (99.7%, Sigma Aldrich, St.
2-1	150-157	Charges	Descriptor	_	_	
2-2	158-160	of	_	_	_	
2-3	161-174	approximately	_	_	_	
2-4	175-177	12	Value[4]	_	_	
2-5	178-179	g	Value[4]	_	_	
2-6	180-184	were	_	_	_	
2-7	185-191	formed	Operation	Participant-material|Participant-material	2-13|2-13	
2-8	192-196	from	_	_	_	
2-9	197-198	a	_	_	_	
2-10	199-213	stoichiometric	Descriptor[5]	_	_	
2-11	214-219	ratio	Descriptor[5]	_	_	
2-12	220-222	of	_	_	_	
2-13	223-232	TiNi1.1Sn	Material-target	Value-of|Descriptor-of|Descriptor-of	2-4[4_0]|2-10[5_0]|2-1	
2-14	233-237	from	_	_	_	
2-15	238-247	elemental	Material-recipe[6]	_	_	
2-16	248-255	sources	Material-recipe[6]	_	_	
2-17	255-256	:	_	_	_	
2-18	257-259	Ti	Material-recipe	Descriptor-of|Value-of|Brand-of|Coreference	2-19|2-21|2-23[7_0]|2-15[6_0]	
2-19	260-264	wire	Descriptor	_	_	
2-20	265-266	(	_	_	_	
2-21	266-271	99.7%	Value	_	_	
2-22	271-272	,	_	_	_	
2-23	273-278	Sigma	Brand[7]	_	_	
2-24	279-286	Aldrich	Brand[7]	_	_	
2-25	286-287	,	Brand[7]	_	_	
2-26	288-290	St	Brand[7]	_	_	
2-27	290-291	.	Brand[7]	_	_	

#Text=Louis, MO, USA), Ni foil (99.9%, Sigma Aldrich) and Sn shot (99.8%, Sigma Aldrich).
3-1	292-297	Louis	_	_	_	
3-2	297-298	,	_	_	_	
3-3	299-301	MO	_	_	_	
3-4	301-302	,	_	_	_	
3-5	303-306	USA	_	_	_	
3-6	306-307	)	_	_	_	
3-7	307-308	,	_	_	_	
3-8	309-311	Ni	Material-recipe	Descriptor-of|Value-of|Brand-of	3-9|3-11|3-13[8_0]	
3-9	312-316	foil	Descriptor	_	_	
3-10	317-318	(	_	_	_	
3-11	318-323	99.9%	Value	_	_	
3-12	323-324	,	_	_	_	
3-13	325-330	Sigma	Brand[8]	_	_	
3-14	331-338	Aldrich	Brand[8]	_	_	
3-15	338-339	)	_	_	_	
3-16	340-343	and	_	_	_	
3-17	344-346	Sn	Material-recipe	Value-of|Descriptor-of|Brand-of	3-20|3-18|3-22[9_0]	
3-18	347-351	shot	Descriptor	_	_	
3-19	352-353	(	_	_	_	
3-20	353-358	99.8%	Value	_	_	
3-21	358-359	,	_	_	_	
3-22	360-365	Sigma	Brand[9]	_	_	
3-23	366-373	Aldrich	Brand[9]	_	_	
3-24	373-374	)	_	_	_	
3-25	374-375	.	_	_	_	

#Text=As visualized in Figure 2, heat treatments were applied to each sample.
4-1	377-379	As	_	_	_	
4-2	380-390	visualized	_	_	_	
4-3	391-393	in	_	_	_	
4-4	394-400	Figure	_	_	_	
4-5	401-402	2	_	_	_	
4-6	402-403	,	_	_	_	
4-7	404-408	heat	_	_	_	
4-8	409-419	treatments	_	_	_	
4-9	420-424	were	_	_	_	
4-10	425-432	applied	_	_	_	
4-11	433-435	to	_	_	_	
4-12	436-440	each	_	_	_	
4-13	441-447	sample	_	_	_	
4-14	447-448	.	_	_	_	

#Text=The homogenized (H) sample was held at 1173 K for 144 h (6 d), after which the sample was air-quenched.
5-1	450-453	The	_	_	_	
5-2	454-465	homogenized	Descriptor	_	_	
5-3	466-467	(	_	_	_	
5-4	467-468	H	Material-target	_	_	
5-5	468-469	)	_	_	_	
5-6	470-476	sample	Material-target	Descriptor-of|Coreference|Coreference	5-2|5-23|5-4	
5-7	477-480	was	_	_	_	
5-8	481-485	held	Operation	Condition-of|Condition-of|Condition-of|Next-operation|Participant-material	5-10[10_0]|5-13[11_0]|5-16[12_0]|5-25|5-6	
5-9	486-488	at	_	_	_	
5-10	489-493	1173	Property-temperature[10]	_	_	
5-11	494-495	K	Property-temperature[10]	_	_	
5-12	496-499	for	_	_	_	
5-13	500-503	144	Property-time[11]	_	_	
5-14	504-505	h	Property-time[11]	_	_	
5-15	506-507	(	_	_	_	
5-16	507-508	6	Property-time[12]	_	_	
5-17	509-510	d	Property-time[12]	_	_	
5-18	510-511	)	_	_	_	
5-19	511-512	,	_	_	_	
5-20	513-518	after	_	_	_	
5-21	519-524	which	_	_	_	
5-22	525-528	the	_	_	_	
5-23	529-535	sample	Material-target	_	_	
5-24	536-539	was	_	_	_	
5-25	540-552	air-quenched	Operation	Participant-material	5-23	
5-26	552-553	.	_	_	_	

#Text=The homogenized-quenched (HQ) sample was homogenized with H and was subsequently brought to 1423 K for 6 h from which it was air-quenched.
6-1	555-558	The	_	_	_	
6-2	559-579	homogenized-quenched	Descriptor	_	_	
6-3	580-581	(	_	_	_	
6-4	581-583	HQ	Descriptor	_	_	
6-5	583-584	)	_	_	_	
6-6	585-591	sample	Material-target	Descriptor-of|Descriptor-of	6-2|6-4	
6-7	592-595	was	_	_	_	
6-8	596-607	homogenized	Operation	Participant-material|Next-operation|Participant-material	6-10|6-14|6-6	
6-9	608-612	with	_	_	_	
6-10	613-614	H	Material-others	_	_	
6-11	615-618	and	_	_	_	
6-12	619-622	was	_	_	_	
6-13	623-635	subsequently	_	_	_	
6-14	636-643	brought	Operation	Condition-of|Condition-of|Next-operation	6-19[14_0]|6-16[13_0]|6-25	
6-15	644-646	to	_	_	_	
6-16	647-651	1423	Property-temperature[13]	_	_	
6-17	652-653	K	Property-temperature[13]	_	_	
6-18	654-657	for	_	_	_	
6-19	658-659	6	Property-time[14]	_	_	
6-20	660-661	h	Property-time[14]	_	_	
6-21	662-666	from	_	_	_	
6-22	667-672	which	_	_	_	
6-23	673-675	it	_	_	_	
6-24	676-679	was	_	_	_	
6-25	680-692	air-quenched	Operation	_	_	
6-26	692-693	.	_	_	_	

#Text=The homogenized-quenched-annealed-8 h (HQA8) sample followed the same heat treatment as H and HQ and was then annealed for 8 h at 623 K.
7-1	695-698	The	_	_	_	
7-2	699-728	homogenized-quenched-annealed	Descriptor[15]	_	_	
7-3	728-729	-	Descriptor[15]	_	_	
7-4	729-730	8	Descriptor[15]	_	_	
7-5	731-732	h	Descriptor[15]	_	_	
7-6	733-734	(	_	_	_	
7-7	734-738	HQA8	Descriptor	_	_	
7-8	738-739	)	_	_	_	
7-9	740-746	sample	Material-target	Descriptor-of|Descriptor-of	7-2[15_0]|7-7	
7-10	747-755	followed	_	_	_	
7-11	756-759	the	_	_	_	
7-12	760-764	same	_	_	_	
7-13	765-769	heat	Operation[16]	Next-operation|Participant-material	7-22[0_16]|7-9[0_16]	
7-14	770-779	treatment	Operation[16]	_	_	
7-15	780-782	as	_	_	_	
7-16	783-784	H	Material-target	_	_	
7-17	785-788	and	_	_	_	
7-18	789-791	HQ	Material-target	_	_	
7-19	792-795	and	_	_	_	
7-20	796-799	was	_	_	_	
7-21	800-804	then	_	_	_	
7-22	805-813	annealed	Operation	Condition-of|Condition-of	7-24[17_0]|7-27[18_0]	
7-23	814-817	for	_	_	_	
7-24	818-819	8	Property-time[17]	_	_	
7-25	820-821	h	Property-time[17]	_	_	
7-26	822-824	at	_	_	_	
7-27	825-828	623	Property-temperature[18]	_	_	
7-28	829-830	K	Property-temperature[18]	_	_	
7-29	830-831	.	_	_	_	

#Text=Similarly, the homogenized-quenched-annealed-32 h (HQA32) sample was heat-treated with the other samples, but annealed for 32 h at 623 K.
8-1	833-842	Similarly	_	_	_	
8-2	842-843	,	_	_	_	
8-3	844-847	the	_	_	_	
8-4	848-877	homogenized-quenched-annealed	Descriptor[19]	_	_	
8-5	877-878	-	Descriptor[19]	_	_	
8-6	878-880	32	Descriptor[19]	_	_	
8-7	881-882	h	Descriptor[19]	_	_	
8-8	883-884	(	_	_	_	
8-9	884-889	HQA32	Material-target	_	_	
8-10	889-890	)	_	_	_	
8-11	891-897	sample	Material-target	Coreference	8-9	
8-12	898-901	was	_	_	_	
8-13	902-914	heat-treated	Operation	Participant-material|Next-operation	8-11|8-20	
8-14	915-919	with	_	_	_	
8-15	920-923	the	_	_	_	
8-16	924-929	other	_	_	_	
8-17	930-937	samples	_	_	_	
8-18	937-938	,	_	_	_	
8-19	939-942	but	_	_	_	
8-20	943-951	annealed	Operation	Condition-of|Condition-of	8-22[20_0]|8-25[21_0]	
8-21	952-955	for	_	_	_	
8-22	956-958	32	Property-time[20]	_	_	
8-23	959-960	h	Property-time[20]	_	_	
8-24	961-963	at	_	_	_	
8-25	964-967	623	Property-temperature[21]	_	_	
8-26	968-969	K	Property-temperature[21]	_	_	
8-27	969-970	.	_	_	_	

#Text=All heat treatments were conducted by wrapping the samples in Ta foil and sealing in a fused silica ampoule under vacuum.
9-1	972-975	All	_	_	_	
9-2	976-980	heat	Operation[22]	_	_	
9-3	981-991	treatments	Operation[22]	_	_	
9-4	992-996	were	_	_	_	
9-5	997-1006	conducted	_	_	_	
9-6	1007-1009	by	_	_	_	
9-7	1010-1018	wrapping	Operation	Participant-material|Participant-material|Next-operation	9-11[23_0]|9-9|9-14	
9-8	1019-1022	the	_	_	_	
9-9	1023-1030	samples	Material-target	_	_	
9-10	1031-1033	in	_	_	_	
9-11	1034-1036	Ta	Material-others[23]	_	_	
9-12	1037-1041	foil	Material-others[23]	_	_	
9-13	1042-1045	and	_	_	_	
9-14	1046-1053	sealing	Operation	Condition-of|Participant-material	9-21|9-9	
9-15	1054-1056	in	_	_	_	
9-16	1057-1058	a	_	_	_	
9-17	1059-1064	fused	Descriptor	_	_	
9-18	1065-1071	silica	Descriptor	_	_	
9-19	1072-1079	ampoule	Device	Descriptor-of|Descriptor-of	9-17|9-18	
9-20	1080-1085	under	_	_	_	
9-21	1086-1092	vacuum	Property-pressure	_	_	
9-22	1092-1093	.	_	_	_	

#Text=Samples were sectioned by a diamond saw for the experiments, including a piece to grind into a powder for synchrotron X-ray diffraction, a piece for scanning electron microscopy and a bar for physical property measurements, approximately 8 mm× 3 mm× 3 mm.
10-1	1095-1102	Samples	Material-target	Descriptor-of|Descriptor-of|Descriptor-of|Descriptor-of	10-19|10-33|10-14|10-26	
10-2	1103-1107	were	_	_	_	
10-3	1108-1117	sectioned	Operation	_	_	
10-4	1118-1120	by	_	_	_	
10-5	1121-1122	a	_	_	_	
10-6	1123-1130	diamond	Descriptor	_	_	
10-7	1131-1134	saw	Device	Descriptor-of	10-6	
10-8	1135-1138	for	_	_	_	
10-9	1139-1142	the	_	_	_	
10-10	1143-1154	experiments	_	_	_	
10-11	1154-1155	,	_	_	_	
10-12	1156-1165	including	_	_	_	
10-13	1166-1167	a	_	_	_	
10-14	1168-1173	piece	Descriptor	_	_	
10-15	1174-1176	to	_	_	_	
10-16	1177-1182	grind	Operation	Participant-material	10-14	
10-17	1183-1187	into	_	_	_	
10-18	1188-1189	a	_	_	_	
10-19	1190-1196	powder	Descriptor	_	_	
10-20	1197-1200	for	_	_	_	
10-21	1201-1212	synchrotron	_	_	_	
10-22	1213-1218	X-ray	_	_	_	
10-23	1219-1230	diffraction	_	_	_	
10-24	1230-1231	,	_	_	_	
