#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=FeTe0.5Se0.5 polycrystalline samples were synthesized by solid-state reaction method.
1-1	0-12	FeTe0.5Se0.5	Material-target	Descriptor-of|Descriptor-of	1-3|1-2	
1-2	13-28	polycrystalline	Descriptor	_	_	
1-3	29-36	samples	Descriptor	_	_	
1-4	37-41	were	_	_	_	
1-5	42-53	synthesized	Operation	Participant-material	1-1	
1-6	54-56	by	_	_	_	
1-7	57-68	solid-state	Operation[1]	Coreference	1-5[0_1]	
1-8	69-77	reaction	Operation[1]	_	_	
1-9	78-84	method	Operation[1]	_	_	
1-10	84-85	.	_	_	_	

#Text=Stoichiometric amounts of Fe powder (Kojundo Chemical Laboratory, 99.9%), Te grains (same as above, 99.9999%), and Se grains (same as above, 99.9%) were weighed, mixed and ground with an agate mortar and pestle.
2-1	86-100	Stoichiometric	Value[2]	_	_	
2-2	101-108	amounts	Value[2]	_	_	
2-3	109-111	of	_	_	_	
2-4	112-114	Fe	Material-recipe	Descriptor-of|Brand-of|Value-of|Value-of	2-5|2-7[3_0]|2-11|2-1[2_0]	
2-5	115-121	powder	Descriptor	_	_	
2-6	122-123	(	_	_	_	
2-7	123-130	Kojundo	Brand[3]	_	_	
2-8	131-139	Chemical	Brand[3]	_	_	
2-9	140-150	Laboratory	Brand[3]	_	_	
2-10	150-151	,	_	_	_	
2-11	152-157	99.9%	Value	_	_	
2-12	157-158	)	_	_	_	
2-13	158-159	,	_	_	_	
2-14	160-162	Te	Material-recipe	Brand-of|Descriptor-of|Value-of|Value-of	2-7[3_0]|2-15|2-21|2-1[2_0]	
2-15	163-169	grains	Descriptor	_	_	
2-16	170-171	(	_	_	_	
2-17	171-175	same	_	_	_	
2-18	176-178	as	_	_	_	
2-19	179-184	above	_	_	_	
2-20	184-185	,	_	_	_	
2-21	186-194	99.9999%	Value	_	_	
2-22	194-195	)	_	_	_	
2-23	195-196	,	_	_	_	
