#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline CrVO4 samples were prepared by solid-state reaction from Cr2O3 and V2O5 at 723 K following the procedure described by Isasi et al [7].
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-21	CrVO4	Material-target	Descriptor-of	1-1	
1-3	22-29	samples	_	_	_	
1-4	30-34	were	_	_	_	
1-5	35-43	prepared	Operation	Participant-material|Coreference	1-2|1-7[1_0]	
1-6	44-46	by	_	_	_	
1-7	47-58	solid-state	Operation[1]	Participant-material|Participant-material|Condition-of	1-10[0_1]|1-12[0_1]|1-14[2_1]	
1-8	59-67	reaction	Operation[1]	_	_	
1-9	68-72	from	_	_	_	
1-10	73-78	Cr2O3	Material-recipe	_	_	
1-11	79-82	and	_	_	_	
1-12	83-87	V2O5	Material-recipe	_	_	
1-13	88-90	at	_	_	_	
1-14	91-94	723	Property-temperature[2]	_	_	
1-15	95-96	K	Property-temperature[2]	_	_	
1-16	97-106	following	_	_	_	
1-17	107-110	the	_	_	_	
1-18	111-120	procedure	_	_	_	
1-19	121-130	described	_	_	_	
1-20	131-133	by	_	_	_	
1-21	134-139	Isasi	_	_	_	
1-22	140-142	et	_	_	_	
1-23	143-145	al	_	_	_	
1-24	146-147	[	_	_	_	
1-25	147-148	7	_	_	_	
1-26	148-149	]	_	_	_	
1-27	149-150	.	_	_	_	

#Text=The crystal structure of CrVO4 was confirmed to be the orthorhombicCrVO4-III (SG: Cmcm) structure by means of powder XRD (see figure 1).
2-1	151-154	The	_	_	_	
2-2	155-162	crystal	_	_	_	
2-3	163-172	structure	_	_	_	
2-4	173-175	of	_	_	_	
2-5	176-181	CrVO4	_	_	_	
2-6	182-185	was	_	_	_	
2-7	186-195	confirmed	_	_	_	
2-8	196-198	to	_	_	_	
2-9	199-201	be	_	_	_	
2-10	202-205	the	_	_	_	
2-11	206-223	orthorhombicCrVO4	_	_	_	
2-12	223-224	-	_	_	_	
2-13	224-227	III	_	_	_	
2-14	228-229	(	_	_	_	
2-15	229-231	SG	_	_	_	
2-16	231-232	:	_	_	_	
2-17	233-237	Cmcm	_	_	_	
2-18	237-238	)	_	_	_	
2-19	239-248	structure	_	_	_	
2-20	249-251	by	_	_	_	
