#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline LPMO samples were synthesized by using the solid-state reaction route.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-20	LPMO	Material-target	Descriptor-of	1-1	
1-3	21-28	samples	_	_	_	
1-4	29-33	were	_	_	_	
1-5	34-45	synthesized	Operation	Participant-material|Coreference	1-2|1-9[1_0]	
1-6	46-48	by	_	_	_	
1-7	49-54	using	_	_	_	
1-8	55-58	the	_	_	_	
1-9	59-70	solid-state	Operation[1]	_	_	
1-10	71-79	reaction	Operation[1]	_	_	
1-11	80-85	route	Operation[1]	_	_	
1-12	85-86	.	_	_	_	

#Text=Stoichiometric amounts of La2O3, PbO and MnCO3 powders were mixed together and calcinated at 1473 K for 24 h in Pt crucible with intermediate heating and grinding.
2-1	87-101	Stoichiometric	Value[2]	_	_	
2-2	102-109	amounts	Value[2]	_	_	
2-3	110-112	of	_	_	_	
2-4	113-118	La2O3	Material-recipe	Value-of|Descriptor-of	2-1[2_0]|2-9	
2-5	118-119	,	_	_	_	
2-6	120-123	PbO	Material-recipe	Value-of|Descriptor-of	2-1[2_0]|2-9	
2-7	124-127	and	_	_	_	
2-8	128-133	MnCO3	Material-recipe	Value-of|Descriptor-of	2-1[2_0]|2-9	
2-9	134-141	powders	Descriptor	_	_	
2-10	142-146	were	_	_	_	
2-11	147-152	mixed	Operation	Participant-material|Participant-material|Participant-material|Next-operation|Next-operation	2-4|2-6|2-8|2-14|2-26	
2-12	153-161	together	_	_	_	
2-13	162-165	and	_	_	_	
2-14	166-176	calcinated	Operation	Condition-of|Condition-of|Device-of-operation	2-16[3_0]|2-19[4_0]|2-23	
2-15	177-179	at	_	_	_	
2-16	180-184	1473	Property-temperature[3]	_	_	
2-17	185-186	K	Property-temperature[3]	_	_	
2-18	187-190	for	_	_	_	
2-19	191-193	24	Property-time[4]	_	_	
2-20	194-195	h	Property-time[4]	_	_	
2-21	196-198	in	_	_	_	
2-22	199-201	Pt	Descriptor	_	_	
2-23	202-210	crucible	Device	Descriptor-of	2-22	
2-24	211-215	with	_	_	_	
2-25	216-228	intermediate	Descriptor	_	_	
2-26	229-236	heating	Operation	Descriptor-of|Next-operation	2-25|2-28	
2-27	237-240	and	_	_	_	
2-28	241-249	grinding	Operation	Descriptor-of	2-25	
2-29	249-250	.	_	_	_	

#Text=All high-temperature treatments were performed at ambient atmosphere with a programed heating and cooling rate of 50 K h−1.
3-1	251-254	All	_	_	_	
3-2	255-271	high-temperature	Property-temperature	_	_	
3-3	272-282	treatments	Operation	Condition-of	3-2	
3-4	283-287	were	_	_	_	
3-5	288-297	performed	Operation	Coreference|Condition-of|Condition-of	3-3|3-7[5_0]|3-17[7_0]	
3-6	298-300	at	_	_	_	
