#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=In this study, we prepared two kinds of Sn1-xAgxTe polycrystalline samples with x (nominal) = 0-0.5, which are denoted as AP- and HP-Sn1-xAgxTe.
1-1	0-2	In	_	_	_	
1-2	3-7	this	_	_	_	
1-3	8-13	study	_	_	_	
1-4	13-14	,	_	_	_	
1-5	15-17	we	_	_	_	
1-6	18-26	prepared	_	_	_	
1-7	27-30	two	Value	_	_	
1-8	31-36	kinds	_	_	_	
1-9	37-39	of	_	_	_	
1-10	40-43	Sn1	Material-target[1]	Descriptor-of|Descriptor-of|Value-of|Descriptor-of|Descriptor-of	1-13[0_1]|1-16[2_1]|1-7[0_1]|1-29[3_1]|1-32[4_1]	
1-11	43-44	-	Material-target[1]	_	_	
1-12	44-50	xAgxTe	Material-target[1]	_	_	
1-13	51-66	polycrystalline	Descriptor	_	_	
1-14	67-74	samples	_	_	_	
1-15	75-79	with	_	_	_	
1-16	80-81	x	Descriptor[2]	_	_	
1-17	82-83	(	Descriptor[2]	_	_	
1-18	83-90	nominal	Descriptor[2]	_	_	
1-19	90-91	)	Descriptor[2]	_	_	
1-20	92-93	=	Descriptor[2]	_	_	
1-21	94-95	0	Descriptor[2]	_	_	
1-22	95-96	-	Descriptor[2]	_	_	
1-23	96-99	0.5	Descriptor[2]	_	_	
1-24	99-100	,	_	_	_	
1-25	101-106	which	_	_	_	
1-26	107-110	are	_	_	_	
1-27	111-118	denoted	_	_	_	
1-28	119-121	as	_	_	_	
1-29	122-124	AP	Descriptor[3]	_	_	
1-30	124-125	-	Descriptor[3]	_	_	
1-31	126-129	and	_	_	_	
1-32	130-136	HP-Sn1	Descriptor[4]	_	_	
1-33	136-137	-	Descriptor[4]	_	_	
1-34	137-143	xAgxTe	Descriptor[4]	_	_	
1-35	143-144	.	_	_	_	

#Text=The AP samples were prepared by a conventional solid-state-reaction method.
2-1	145-148	The	_	_	_	
2-2	149-151	AP	Descriptor	_	_	
2-3	152-159	samples	Material-target	Descriptor-of	2-2	
2-4	160-164	were	_	_	_	
2-5	165-173	prepared	Operation	Participant-material	2-3	
2-6	174-176	by	_	_	_	
2-7	177-178	a	_	_	_	
2-8	179-191	conventional	Operation[5]	Coreference	2-5[0_5]	
2-9	192-212	solid-state-reaction	Operation[5]	_	_	
2-10	213-219	method	Operation[5]	_	_	
2-11	219-220	.	_	_	_	

#Text=The Ag (99.9%) and Sn (99.99%) powders and Te (99.9999%) grains with a nominal composition of Sn1-xAgxTe were mixed, sealed in an evacuated quartz tube, and heated at 600ºC for 10 hours.
3-1	221-224	The	_	_	_	
3-2	225-227	Ag	Material-recipe	Value-of|Descriptor-of|Value-of	3-4|3-11|3-20[6_0]	
3-3	228-229	(	_	_	_	
3-4	229-234	99.9%	Value	_	_	
3-5	234-235	)	_	_	_	
3-6	236-239	and	_	_	_	
3-7	240-242	Sn	Material-recipe	Value-of|Descriptor-of|Value-of	3-9|3-11|3-20[6_0]	
3-8	243-244	(	_	_	_	
3-9	244-250	99.99%	Value	_	_	
3-10	250-251	)	_	_	_	
3-11	252-259	powders	Descriptor	_	_	
3-12	260-263	and	_	_	_	
3-13	264-266	Te	Material-recipe	Value-of|Descriptor-of|Value-of	3-15|3-17|3-20[6_0]	
3-14	267-268	(	_	_	_	
3-15	268-276	99.9999%	Value	_	_	
3-16	276-277	)	_	_	_	
3-17	278-284	grains	Descriptor	_	_	
3-18	285-289	with	_	_	_	
3-19	290-291	a	_	_	_	
3-20	292-299	nominal	Value[6]	_	_	
3-21	300-311	composition	Value[6]	_	_	
3-22	312-314	of	_	_	_	
3-23	315-318	Sn1	Material-target[7]	_	_	
3-24	318-319	-	Material-target[7]	_	_	
3-25	319-325	xAgxTe	Material-target[7]	_	_	
3-26	326-330	were	_	_	_	
