#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of Np2Co17 and Lu2T17 were prepared by arc melting stoichiometric amounts of high-purity elemental constituents (99.9% Np, 99.9% Lu, 99.999% Co and Ni) on a water-cooled copper hearth, under Ar (99.9999%) atmosphere.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-34	Np2Co17	Material-target	Descriptor-of	1-1	
1-5	35-38	and	_	_	_	
1-6	39-45	Lu2T17	Material-target	Descriptor-of	1-1	
1-7	46-50	were	_	_	_	
1-8	51-59	prepared	Operation	Participant-material|Participant-material|Coreference	1-4|1-6|1-10[1_0]	
1-9	60-62	by	_	_	_	
1-10	63-66	arc	Operation[1]	Device-of-operation|Participant-material|Condition-of	1-34[0_1]|1-17[0_1]|1-37[3_1]	
1-11	67-74	melting	Operation[1]	_	_	
1-12	75-89	stoichiometric	Value[2]	_	_	
1-13	90-97	amounts	Value[2]	_	_	
1-14	98-100	of	_	_	_	
1-15	101-112	high-purity	Descriptor	_	_	
1-16	113-122	elemental	Descriptor	_	_	
1-17	123-135	constituents	Material-recipe	Value-of|Descriptor-of|Descriptor-of|Coreference|Coreference|Coreference|Coreference	1-12[2_0]|1-15|1-16|1-20|1-23|1-26|1-28	
1-18	136-137	(	_	_	_	
1-19	137-142	99.9%	Value	_	_	
1-20	143-145	Np	Material-recipe	Value-of	1-19	
1-21	145-146	,	_	_	_	
1-22	147-152	99.9%	Value	_	_	
1-23	153-155	Lu	Material-recipe	Value-of	1-22	
1-24	155-156	,	_	_	_	
1-25	157-164	99.999%	Value	_	_	
1-26	165-167	Co	Material-recipe	Value-of	1-25	
1-27	168-171	and	_	_	_	
1-28	172-174	Ni	Material-recipe	Value-of	1-25	
1-29	174-175	)	_	_	_	
1-30	176-178	on	_	_	_	
1-31	179-180	a	Value	_	_	
1-32	181-193	water-cooled	Descriptor	_	_	
1-33	194-200	copper	Descriptor	_	_	
1-34	201-207	hearth	Device	Value-of|Descriptor-of|Descriptor-of	1-31|1-32|1-33	
1-35	207-208	,	_	_	_	
1-36	209-214	under	_	_	_	
1-37	215-217	Ar	Property-pressure[3]	_	_	
1-38	218-219	(	Property-pressure[3]	_	_	
1-39	219-227	99.9999%	Property-pressure[3]	_	_	
1-40	227-228	)	Property-pressure[3]	_	_	
1-41	229-239	atmosphere	Property-pressure[3]	_	_	
1-42	239-240	.	_	_	_	

#Text=A Zr alloy was used as an oxygen getter.
2-1	241-242	A	Value	_	_	
2-2	243-245	Zr	Material-recipe	Descriptor-of|Coreference	2-3|2-9	
2-3	246-251	alloy	Descriptor	Value-of	2-1	
2-4	252-255	was	_	_	_	
2-5	256-260	used	Operation	Participant-material	2-2	
2-6	261-263	as	_	_	_	
2-7	264-266	an	Value	_	_	
2-8	267-273	oxygen	Descriptor	_	_	
2-9	274-280	getter	Material-recipe	Value-of|Descriptor-of	2-7|2-8	
2-10	280-281	.	_	_	_	

#Text=The weight losses during melting were less than 0.2%.
3-1	282-285	The	_	_	_	
3-2	286-292	weight	Descriptor[4]	_	_	
3-3	293-299	losses	Descriptor[4]	_	_	
3-4	300-306	during	_	_	_	
3-5	307-314	melting	_	_	_	
3-6	315-319	were	_	_	_	
3-7	320-324	less	Value[5]	Descriptor-of	3-2[4_5]	
3-8	325-329	than	Value[5]	_	_	
3-9	330-334	0.2%	Value[5]	_	_	
3-10	334-335	.	_	_	_	

#Text=The samples were melted five times to improve the homogeneity, then wrapped in tantalum foils, and annealed at 800 ◦C in evacuated quartz ampoules for 1 week.
4-1	336-339	The	_	_	_	
4-2	340-347	samples	Material-intermedium	_	_	
4-3	348-352	were	_	_	_	
4-4	353-359	melted	Operation	Participant-material|Condition-of|Next-operation	4-2|4-5[6_0]|4-13	
4-5	360-364	five	Property-time[6]	_	_	
4-6	365-370	times	Property-time[6]	_	_	
4-7	371-373	to	_	_	_	
4-8	374-381	improve	_	_	_	
4-9	382-385	the	_	_	_	
4-10	386-397	homogeneity	_	_	_	
4-11	397-398	,	_	_	_	
4-12	399-403	then	_	_	_	
4-13	404-411	wrapped	Operation	Device-of-operation|Next-operation	4-15|4-19	
4-14	412-414	in	_	_	_	
4-15	415-423	tantalum	Device	Descriptor-of	4-16	
4-16	424-429	foils	Descriptor	_	_	
4-17	429-430	,	_	_	_	
4-18	431-434	and	_	_	_	
4-19	435-443	annealed	Operation	Condition-of|Device-of-operation|Condition-of	4-21[7_0]|4-27|4-29[8_0]	
4-20	444-446	at	_	_	_	
4-21	447-450	800	Property-temperature[7]	_	_	
4-22	451-452	◦	Property-temperature[7]	_	_	
4-23	452-453	C	Property-temperature[7]	_	_	
4-24	454-456	in	_	_	_	
4-25	457-466	evacuated	Descriptor	_	_	
4-26	467-473	quartz	Descriptor	_	_	
4-27	474-482	ampoules	Device	Descriptor-of|Descriptor-of	4-25|4-26	
4-28	483-486	for	_	_	_	
4-29	487-488	1	Property-time[8]	_	_	
4-30	489-493	week	Property-time[8]	_	_	
