#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline ceramics were prepared by the solidstate synthesis procedure.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-24	ceramics	Material-target	Descriptor-of	1-1	
1-3	25-29	were	_	_	_	
1-4	30-38	prepared	Operation	Participant-material	1-2	
1-5	39-41	by	_	_	_	
1-6	42-45	the	_	_	_	
1-7	46-56	solidstate	Operation[1]	Coreference	1-4[0_1]	
1-8	57-66	synthesis	Operation[1]	_	_	
1-9	67-76	procedure	Operation[1]	_	_	
1-10	76-77	.	_	_	_	

#Text=Stoichiometric ratios of preheated
#Text=La2O3, Fe2O3, and MoO3 powders were thoroughly mixed
#Text=and the obtained fine powder was subsequently annealed at
#Text=1200 ˚C in a 99% Ar/1%H2 gas for 12 h and cooled to room
#Text=temperature at 5 ˚C /min.
2-1	78-92	Stoichiometric	Value[2]	_	_	
2-2	93-99	ratios	Value[2]	_	_	
2-3	100-102	of	_	_	_	
2-4	103-112	preheated	Descriptor	_	_	
2-5	113-118	La2O3	Material-recipe	Descriptor-of|Descriptor-of	2-4|2-11	
2-6	118-119	,	_	_	_	
2-7	120-125	Fe2O3	Material-recipe	Descriptor-of|Descriptor-of	2-4|2-11	
2-8	125-126	,	_	_	_	
2-9	127-130	and	_	_	_	
2-10	131-135	MoO3	Material-recipe	Descriptor-of|Descriptor-of	2-11|2-4	
2-11	136-143	powders	Descriptor	_	_	
2-12	144-148	were	_	_	_	
2-13	149-159	thoroughly	Descriptor	_	_	
2-14	160-165	mixed	Operation	Descriptor-of|Participant-material|Participant-material|Participant-material|Next-operation	2-13|2-5|2-7|2-10|2-22	
2-15	166-169	and	_	_	_	
2-16	170-173	the	_	_	_	
2-17	174-182	obtained	Descriptor	_	_	
2-18	183-187	fine	Material-intermedium[3]	Descriptor-of	2-17[0_3]	
2-19	188-194	powder	Material-intermedium[3]	_	_	
2-20	195-198	was	_	_	_	
2-21	199-211	subsequently	_	_	_	
2-22	212-220	annealed	Operation	Participant-material|Condition-of|Condition-of|Condition-of|Next-operation	2-18[3_0]|2-24[4_0]|2-29[5_0]|2-36[6_0]|2-39	
2-23	221-223	at	_	_	_	
2-24	224-228	1200	Property-temperature[4]	_	_	
2-25	229-230	˚	Property-temperature[4]	_	_	
2-26	230-231	C	Property-temperature[4]	_	_	
2-27	232-234	in	_	_	_	
2-28	235-236	a	_	_	_	
2-29	237-240	99%	Property-pressure[5]	_	_	
2-30	241-243	Ar	Property-pressure[5]	_	_	
2-31	243-244	/	Property-pressure[5]	_	_	
2-32	244-246	1%	Property-pressure[5]	_	_	
2-33	246-248	H2	Property-pressure[5]	_	_	
2-34	249-252	gas	Property-pressure[5]	_	_	
2-35	253-256	for	_	_	_	
2-36	257-259	12	Property-time[6]	_	_	
2-37	260-261	h	Property-time[6]	_	_	
2-38	262-265	and	_	_	_	
2-39	266-272	cooled	Operation	Condition-of|Condition-of	2-41[7_0]|2-44[8_0]	
2-40	273-275	to	_	_	_	
2-41	276-280	room	Property-temperature[7]	_	_	
2-42	281-292	temperature	Property-temperature[7]	_	_	
2-43	293-295	at	_	_	_	
2-44	296-297	5	Property-rate[8]	_	_	
2-45	298-299	˚	Property-rate[8]	_	_	
2-46	299-300	C	Property-rate[8]	_	_	
2-47	301-302	/	Property-rate[8]	_	_	
2-48	302-305	min	Property-rate[8]	_	_	
2-49	305-306	.	_	_	_	

#Text=X-ray diffraction (PANalytical MRD
#Text=II) was used to check the phase integrity for any impurities.
3-1	307-312	X-ray	_	_	_	
3-2	313-324	diffraction	_	_	_	
3-3	325-326	(	_	_	_	
3-4	326-337	PANalytical	_	_	_	
3-5	338-341	MRD	_	_	_	
3-6	342-344	II	_	_	_	
3-7	344-345	)	_	_	_	
3-8	346-349	was	_	_	_	
3-9	350-354	used	_	_	_	
3-10	355-357	to	_	_	_	
3-11	358-363	check	_	_	_	
3-12	364-367	the	_	_	_	
3-13	368-373	phase	_	_	_	
3-14	374-383	integrity	_	_	_	
3-15	384-387	for	_	_	_	
3-16	388-391	any	_	_	_	
3-17	392-402	impurities	_	_	_	
3-18	402-403	.	_	_	_	

#Text=Finally, the powder was pressed to 5 GPa to form a 5-mmdiameter pellet and subsequently sintered for 6 h at 1200 ˚C
#Text=in the 99% Ar/1%H2 gas environment.
4-1	404-411	Finally	_	_	_	
4-2	411-412	,	_	_	_	
4-3	413-416	the	_	_	_	
4-4	417-423	powder	_	_	_	
4-5	424-427	was	_	_	_	
4-6	428-435	pressed	_	_	_	
4-7	436-438	to	_	_	_	
4-8	439-440	5	_	_	_	
4-9	441-444	GPa	_	_	_	
4-10	445-447	to	_	_	_	
4-11	448-452	form	_	_	_	
4-12	453-454	a	_	_	_	
4-13	455-456	5	_	_	_	
4-14	456-457	-	_	_	_	
4-15	457-467	mmdiameter	_	_	_	
4-16	468-474	pellet	_	_	_	
4-17	475-478	and	_	_	_	
4-18	479-491	subsequently	_	_	_	
4-19	492-500	sintered	_	_	_	
4-20	501-504	for	_	_	_	
4-21	505-506	6	_	_	_	
4-22	507-508	h	_	_	_	
4-23	509-511	at	_	_	_	
4-24	512-516	1200	_	_	_	
4-25	517-518	˚	_	_	_	
4-26	518-519	C	_	_	_	
4-27	520-522	in	_	_	_	
4-28	523-526	the	_	_	_	
4-29	527-530	99%	_	_	_	
4-30	531-533	Ar	_	_	_	
4-31	533-534	/	_	_	_	
4-32	534-536	1%	_	_	_	
4-33	536-538	H2	_	_	_	
4-34	539-542	gas	_	_	_	
4-35	543-554	environment	_	_	_	
4-36	554-555	.	_	_	_	
