#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The synthesis process and detailed characterization of
#Text=these high-quality polycrystalline Eu2ZnIrO6 samples are
#Text=described in detail in Ref. [24].
1-1	0-3	The	_	_	_	
1-2	4-13	synthesis	Operation[1]	Participant-material	1-11[0_1]	
1-3	14-21	process	Operation[1]	_	_	
1-4	22-25	and	_	_	_	
1-5	26-34	detailed	_	_	_	
1-6	35-51	characterization	_	_	_	
1-7	52-54	of	_	_	_	
1-8	55-60	these	_	_	_	
1-9	61-73	high-quality	Descriptor	_	_	
1-10	74-89	polycrystalline	Descriptor	_	_	
1-11	90-99	Eu2ZnIrO6	Material-target	Descriptor-of|Descriptor-of	1-9|1-10	
1-12	100-107	samples	_	_	_	
1-13	108-111	are	_	_	_	
1-14	112-121	described	Operation	Next-operation|Descriptor-of	1-2[1_0]|1-18[2_0]	
1-15	122-124	in	_	_	_	
1-16	125-131	detail	_	_	_	
1-17	132-134	in	_	_	_	
1-18	135-138	Ref	Descriptor[2]	_	_	
1-19	138-139	.	Descriptor[2]	_	_	
1-20	140-141	[	Descriptor[2]	_	_	
1-21	141-143	24	Descriptor[2]	_	_	
1-22	143-144	]	_	_	_	
1-23	144-145	.	_	_	_	

#Text=Inelastic light (Raman) scattering measurements were performed via Raman spectrometer
#Text=(LabRAM HR Evolution) in quasibackscattering configuration using a linearly polarized laser of 532 nm (2.33 eV) and
#Text=633 nm (1.96 eV) wavelength (energy) at low power, less than
#Text=∼1 mW, to avoid local heating effects.
2-1	146-155	Inelastic	_	_	_	
2-2	156-161	light	_	_	_	
2-3	162-163	(	_	_	_	
2-4	163-168	Raman	_	_	_	
2-5	168-169	)	_	_	_	
2-6	170-180	scattering	_	_	_	
2-7	181-193	measurements	_	_	_	
2-8	194-198	were	_	_	_	
2-9	199-208	performed	_	_	_	
2-10	209-212	via	_	_	_	
2-11	213-218	Raman	_	_	_	
2-12	219-231	spectrometer	_	_	_	
2-13	232-233	(	_	_	_	
2-14	233-239	LabRAM	_	_	_	
2-15	240-242	HR	_	_	_	
2-16	243-252	Evolution	_	_	_	
2-17	252-253	)	_	_	_	
2-18	254-256	in	_	_	_	
2-19	257-276	quasibackscattering	_	_	_	
2-20	277-290	configuration	_	_	_	
2-21	291-296	using	_	_	_	
2-22	297-298	a	_	_	_	
2-23	299-307	linearly	_	_	_	
2-24	308-317	polarized	_	_	_	
2-25	318-323	laser	_	_	_	
2-26	324-326	of	_	_	_	
2-27	327-330	532	_	_	_	
2-28	331-333	nm	_	_	_	
2-29	334-335	(	_	_	_	
2-30	335-339	2.33	_	_	_	
2-31	340-342	eV	_	_	_	
2-32	342-343	)	_	_	_	
2-33	344-347	and	_	_	_	
2-34	348-351	633	_	_	_	
2-35	352-354	nm	_	_	_	
2-36	355-356	(	_	_	_	
2-37	356-360	1.96	_	_	_	
2-38	361-363	eV	_	_	_	
2-39	363-364	)	_	_	_	
2-40	365-375	wavelength	_	_	_	
2-41	376-377	(	_	_	_	
2-42	377-383	energy	_	_	_	
2-43	383-384	)	_	_	_	
2-44	385-387	at	_	_	_	
2-45	388-391	low	_	_	_	
2-46	392-397	power	_	_	_	
2-47	397-398	,	_	_	_	
2-48	399-403	less	_	_	_	
2-49	404-408	than	_	_	_	
2-50	409-410	∼	_	_	_	
2-51	410-411	1	_	_	_	
2-52	412-414	mW	_	_	_	
2-53	414-415	,	_	_	_	
2-54	416-418	to	_	_	_	
2-55	419-424	avoid	_	_	_	
2-56	425-430	local	_	_	_	
2-57	431-438	heating	_	_	_	
2-58	439-446	effects	_	_	_	
2-59	446-447	.	_	_	_	

#Text=A 50× long working
#Text=distance objective was used to focus the laser on the sample surface and the spectra were dispersed through a grating
#Text=with a density of 600 lines/mm.
3-1	448-449	A	_	_	_	
3-2	450-452	50	_	_	_	
3-3	452-453	×	_	_	_	
3-4	454-458	long	_	_	_	
3-5	459-466	working	_	_	_	
3-6	467-475	distance	_	_	_	
3-7	476-485	objective	_	_	_	
3-8	486-489	was	_	_	_	
3-9	490-494	used	_	_	_	
3-10	495-497	to	_	_	_	
3-11	498-503	focus	_	_	_	
3-12	504-507	the	_	_	_	
3-13	508-513	laser	_	_	_	
3-14	514-516	on	_	_	_	
3-15	517-520	the	_	_	_	
3-16	521-527	sample	_	_	_	
3-17	528-535	surface	_	_	_	
3-18	536-539	and	_	_	_	
3-19	540-543	the	_	_	_	
3-20	544-551	spectra	_	_	_	
3-21	552-556	were	_	_	_	
3-22	557-566	dispersed	_	_	_	
3-23	567-574	through	_	_	_	
3-24	575-576	a	_	_	_	
3-25	577-584	grating	_	_	_	
3-26	585-589	with	_	_	_	
3-27	590-591	a	_	_	_	
3-28	592-599	density	_	_	_	
3-29	600-602	of	_	_	_	
3-30	603-606	600	_	_	_	
3-31	607-612	lines	_	_	_	
3-32	612-613	/	_	_	_	
3-33	613-615	mm	_	_	_	
3-34	615-616	.	_	_	_	

#Text=A Peltier cooled chargedcoupled device detector was employed to collect the dispersed
#Text=light.
4-1	617-618	A	_	_	_	
4-2	619-626	Peltier	_	_	_	
4-3	627-633	cooled	_	_	_	
4-4	634-648	chargedcoupled	_	_	_	
4-5	649-655	device	_	_	_	
4-6	656-664	detector	_	_	_	
4-7	665-668	was	_	_	_	
4-8	669-677	employed	_	_	_	
