#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=It had already been established [25] that Sc3In forms nonstoichiometrically around the ionic ratio Sc∶In ¼ 3∶1.
1-1	0-2	It	_	_	_	
1-2	3-6	had	_	_	_	
1-3	7-14	already	_	_	_	
1-4	15-19	been	_	_	_	
1-5	20-31	established	_	_	_	
1-6	32-33	[	_	_	_	
1-7	33-35	25	_	_	_	
1-8	35-36	]	_	_	_	
1-9	37-41	that	_	_	_	
1-10	42-47	Sc3In	_	_	_	
1-11	48-53	forms	_	_	_	
1-12	54-75	nonstoichiometrically	_	_	_	
1-13	76-82	around	_	_	_	
1-14	83-86	the	_	_	_	
1-15	87-92	ionic	_	_	_	
1-16	93-98	ratio	_	_	_	
1-17	99-101	Sc	_	_	_	
1-18	101-102	∶	_	_	_	
1-19	102-104	In	_	_	_	
1-20	105-106	¼	_	_	_	
1-21	107-108	3	_	_	_	
1-22	108-109	∶	_	_	_	
1-23	109-110	1	_	_	_	
1-24	110-111	.	_	_	_	

#Text=In the current study, we have determined that the optimal composition, which yielded the highest Curie temperature TC and paramagnetic moment μPM, was Sc∶In ¼ 3.1∶1.
2-1	112-114	In	_	_	_	
2-2	115-118	the	_	_	_	
2-3	119-126	current	_	_	_	
2-4	127-132	study	_	_	_	
2-5	132-133	,	_	_	_	
2-6	134-136	we	_	_	_	
2-7	137-141	have	_	_	_	
2-8	142-152	determined	_	_	_	
2-9	153-157	that	_	_	_	
2-10	158-161	the	_	_	_	
2-11	162-169	optimal	_	_	_	
2-12	170-181	composition	_	_	_	
2-13	181-182	,	_	_	_	
2-14	183-188	which	_	_	_	
2-15	189-196	yielded	_	_	_	
2-16	197-200	the	_	_	_	
2-17	201-208	highest	_	_	_	
2-18	209-214	Curie	_	_	_	
2-19	215-226	temperature	_	_	_	
2-20	227-229	TC	_	_	_	
2-21	230-233	and	_	_	_	
2-22	234-246	paramagnetic	_	_	_	
2-23	247-253	moment	_	_	_	
2-24	254-257	μPM	_	_	_	
2-25	257-258	,	_	_	_	
2-26	259-262	was	_	_	_	
2-27	263-265	Sc	_	_	_	
2-28	265-266	∶	_	_	_	
2-29	266-268	In	_	_	_	
