#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The starting materials used for the synthesis of R2Si2O7 (with R = Er,
#Text=Ho, and Tm) polycrystalline materials were rare-earth oxides, Er2O3,
#Text=Ho2O3 and Tm2O3 (all of 99.9% purity), and silica, SiO2 (99.6%).
1-1	0-3	The	_	_	_	
1-2	4-12	starting	Material-recipe[1]	Coreference|Coreference|Coreference|Coreference	1-24[3_1]|1-27[0_1]|1-29[0_1]|1-31[0_1]	
1-3	13-22	materials	Material-recipe[1]	_	_	
1-4	23-27	used	_	_	_	
1-5	28-31	for	_	_	_	
1-6	32-35	the	_	_	_	
1-7	36-45	synthesis	Operation	Participant-material|Participant-material	1-9|1-2[1_0]	
1-8	46-48	of	_	_	_	
1-9	49-56	R2Si2O7	Material-recipe	Descriptor-of|Descriptor-of	1-12[2_0]|1-21	
1-10	57-58	(	_	_	_	
1-11	58-62	with	_	_	_	
1-12	63-64	R	Descriptor[2]	_	_	
1-13	65-66	=	Descriptor[2]	_	_	
1-14	67-69	Er	Descriptor[2]	_	_	
1-15	69-70	,	Descriptor[2]	_	_	
1-16	71-73	Ho	Descriptor[2]	_	_	
1-17	73-74	,	Descriptor[2]	_	_	
1-18	75-78	and	Descriptor[2]	_	_	
1-19	79-81	Tm	Descriptor[2]	_	_	
1-20	81-82	)	_	_	_	
1-21	83-98	polycrystalline	Descriptor	_	_	
1-22	99-108	materials	_	_	_	
1-23	109-113	were	_	_	_	
1-24	114-124	rare-earth	Material-recipe[3]	Value-of	1-35[0_3]	
1-25	125-131	oxides	Material-recipe[3]	_	_	
1-26	131-132	,	_	_	_	
1-27	133-138	Er2O3	Material-recipe	Value-of	1-35	
1-28	138-139	,	_	_	_	
1-29	140-145	Ho2O3	Material-recipe	Value-of	1-35	
1-30	146-149	and	_	_	_	
1-31	150-155	Tm2O3	Material-recipe	Value-of	1-35	
1-32	156-157	(	_	_	_	
1-33	157-160	all	_	_	_	
1-34	161-163	of	_	_	_	
1-35	164-169	99.9%	Value	Descriptor-of	1-36	
1-36	170-176	purity	Descriptor	_	_	
1-37	176-177	)	_	_	_	
1-38	177-178	,	_	_	_	
1-39	179-182	and	_	_	_	
1-40	183-189	silica	Material-recipe	Coreference	1-42	
1-41	189-190	,	_	_	_	
1-42	191-195	SiO2	Material-recipe	Value-of	1-44	
1-43	196-197	(	_	_	_	
1-44	197-202	99.6%	Value	_	_	
1-45	202-203	)	_	_	_	
1-46	203-204	.	_	_	_	

#Text=Crystals of rare-earth silicate compounds were then grown using a
#Text=double ellipsoidal optical image furnace (NEC SC1MDH-11020,
#Text=Canon Machinery Incorporated), equipped with two 1.5 kW halogen
#Text=lamps.
2-1	205-213	Crystals	Descriptor	_	_	
2-2	214-216	of	_	_	_	
2-3	217-227	rare-earth	Descriptor	_	_	
2-4	228-236	silicate	Material-target[4]	Descriptor-of|Descriptor-of	2-1[0_4]|2-3[0_4]	
2-5	237-246	compounds	Material-target[4]	_	_	
2-6	247-251	were	_	_	_	
2-7	252-256	then	_	_	_	
2-8	257-262	grown	Operation	Participant-material|Device-of-operation|Device-of-operation	2-4[4_0]|2-15|2-32[8_0]	
2-9	263-268	using	_	_	_	
2-10	269-270	a	Value	_	_	
2-11	271-277	double	Descriptor[5]	_	_	
2-12	278-289	ellipsoidal	Descriptor[5]	_	_	
2-13	290-297	optical	Descriptor[5]	_	_	
2-14	298-303	image	Descriptor[5]	_	_	
2-15	304-311	furnace	Device	Descriptor-of|Brand-of|Value-of	2-11[5_0]|2-17[6_0]|2-10	
2-16	312-313	(	_	_	_	
2-17	313-316	NEC	Brand[6]	_	_	
2-18	317-323	SC1MDH	Brand[6]	_	_	
2-19	323-324	-	Brand[6]	_	_	
2-20	324-329	11020	Brand[6]	_	_	
2-21	329-330	,	Brand[6]	_	_	
2-22	331-336	Canon	Brand[6]	_	_	
2-23	337-346	Machinery	Brand[6]	_	_	
2-24	347-359	Incorporated	Brand[6]	_	_	
2-25	359-360	)	_	_	_	
2-26	360-361	,	_	_	_	
2-27	362-370	equipped	_	_	_	
2-28	371-375	with	_	_	_	
2-29	376-379	two	Value	_	_	
2-30	380-383	1.5	Value[7]	_	_	
2-31	384-386	kW	Value[7]	_	_	
2-32	387-394	halogen	Device[8]	Descriptor-of|Descriptor-of	2-29[0_8]|2-30[7_8]	
2-33	395-400	lamps	Device[8]	_	_	
2-34	400-401	.	_	_	_	
