#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of Ca4LnO(BO3)3 (Ln = La, Pr, Nd, Sm, Eu,
#Text=Gd, Tb, Dy, Ho, Y, Er, Yb) were synthesized according to a ceramic
#Text=procedure, adapted from ref 20, from CaCO3 (99.99%), H3BO3
#Text=(99.999%) and Ln2O3 (Ln = La, Nd, Sm, Eu, Gd, Dy, Ho, Y, Er, Yb),
#Text=Pr6O11, or Tb4O7 (all lanthanide oxides ≥99.99%).
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-33	Ca4LnO	Material-target[1]	Descriptor-of|Descriptor-of	1-10[2_1]|1-1[0_1]	
1-5	33-34	(	Material-target[1]	_	_	
1-6	34-37	BO3	Material-target[1]	_	_	
1-7	37-38	)	Material-target[1]	_	_	
1-8	38-39	3	Material-target[1]	_	_	
1-9	40-41	(	_	_	_	
1-10	41-43	Ln	Descriptor[2]	_	_	
1-11	44-45	=	Descriptor[2]	_	_	
1-12	46-48	La	Descriptor[2]	_	_	
1-13	48-49	,	Descriptor[2]	_	_	
1-14	50-52	Pr	Descriptor[2]	_	_	
1-15	52-53	,	Descriptor[2]	_	_	
1-16	54-56	Nd	Descriptor[2]	_	_	
1-17	56-57	,	Descriptor[2]	_	_	
1-18	58-60	Sm	Descriptor[2]	_	_	
1-19	60-61	,	Descriptor[2]	_	_	
1-20	62-64	Eu	Descriptor[2]	_	_	
1-21	64-65	,	Descriptor[2]	_	_	
1-22	66-68	Gd	Descriptor[2]	_	_	
1-23	68-69	,	Descriptor[2]	_	_	
1-24	70-72	Tb	Descriptor[2]	_	_	
1-25	72-73	,	Descriptor[2]	_	_	
1-26	74-76	Dy	Descriptor[2]	_	_	
1-27	76-77	,	Descriptor[2]	_	_	
1-28	78-80	Ho	Descriptor[2]	_	_	
1-29	80-81	,	Descriptor[2]	_	_	
1-30	82-83	Y	Descriptor[2]	_	_	
1-31	83-84	,	Descriptor[2]	_	_	
1-32	85-87	Er	Descriptor[2]	_	_	
1-33	87-88	,	Descriptor[2]	_	_	
1-34	89-91	Yb	Descriptor[2]	_	_	
1-35	91-92	)	_	_	_	
1-36	93-97	were	_	_	_	
1-37	98-109	synthesized	Operation	Participant-material|Coreference	1-4[1_0]|1-42	
1-38	110-119	according	_	_	_	
1-39	120-122	to	_	_	_	
1-40	123-124	a	_	_	_	
1-41	125-132	ceramic	Descriptor	_	_	
1-42	133-142	procedure	Operation	Descriptor-of|Participant-material|Participant-material|Participant-material|Participant-material|Participant-material	1-41|1-50|1-55|1-60|1-85|1-88	
1-43	142-143	,	_	_	_	
1-44	144-151	adapted	_	_	_	
1-45	152-156	from	_	_	_	
1-46	157-160	ref	_	_	_	
1-47	161-163	20	_	_	_	
1-48	163-164	,	_	_	_	
1-49	165-169	from	_	_	_	
1-50	170-175	CaCO3	Material-recipe	Value-of	1-52	
1-51	176-177	(	_	_	_	
1-52	177-183	99.99%	Value	_	_	
1-53	183-184	)	_	_	_	
1-54	184-185	,	_	_	_	
1-55	186-191	H3BO3	Material-recipe	Value-of	1-57	
1-56	192-193	(	_	_	_	
1-57	193-200	99.999%	Value	_	_	
1-58	200-201	)	_	_	_	
1-59	202-205	and	_	_	_	
1-60	206-211	Ln2O3	Material-recipe	Descriptor-of|Coreference	1-62[3_0]|1-91[4_0]	
1-61	212-213	(	_	_	_	
1-62	213-215	Ln	Descriptor[3]	_	_	
1-63	216-217	=	Descriptor[3]	_	_	
1-64	218-220	La	Descriptor[3]	_	_	
1-65	220-221	,	Descriptor[3]	_	_	
1-66	222-224	Nd	Descriptor[3]	_	_	
1-67	224-225	,	Descriptor[3]	_	_	
1-68	226-228	Sm	Descriptor[3]	_	_	
1-69	228-229	,	Descriptor[3]	_	_	
1-70	230-232	Eu	Descriptor[3]	_	_	
1-71	232-233	,	Descriptor[3]	_	_	
1-72	234-236	Gd	Descriptor[3]	_	_	
1-73	236-237	,	Descriptor[3]	_	_	
1-74	238-240	Dy	Descriptor[3]	_	_	
1-75	240-241	,	Descriptor[3]	_	_	
1-76	242-244	Ho	Descriptor[3]	_	_	
1-77	244-245	,	Descriptor[3]	_	_	
1-78	246-247	Y	Descriptor[3]	_	_	
1-79	247-248	,	Descriptor[3]	_	_	
1-80	249-251	Er	Descriptor[3]	_	_	
1-81	251-252	,	Descriptor[3]	_	_	
1-82	253-255	Yb	Descriptor[3]	_	_	
1-83	255-256	)	_	_	_	
1-84	256-257	,	_	_	_	
1-85	258-264	Pr6O11	Material-recipe	Coreference	1-91[4_0]	
1-86	264-265	,	_	_	_	
1-87	266-268	or	_	_	_	
1-88	269-274	Tb4O7	Material-recipe	Coreference	1-91[4_0]	
1-89	275-276	(	_	_	_	
1-90	276-279	all	_	_	_	
1-91	280-290	lanthanide	Material-recipe[4]	Value-of	1-93[5_4]	
1-92	291-297	oxides	Material-recipe[4]	_	_	
1-93	298-299	≥	Value[5]	_	_	
1-94	299-305	99.99%	Value[5]	_	_	
