#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples were prepared using solid-state
#Text=reactions.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	Material-target	Descriptor-of	1-1	
1-3	24-28	were	_	_	_	
1-4	29-37	prepared	Operation	Participant-material	1-2	
1-5	38-43	using	_	_	_	
1-6	44-55	solid-state	Operation[1]	Coreference	1-4[0_1]	
1-7	56-65	reactions	Operation[1]	_	_	
1-8	65-66	.	_	_	_	

#Text=Li3PO4 (Kojundo Chemical Laboratory, >99.9%
#Text=purity), Li3BO3 (Kojundo Chemical Laboratory, >99.99%
#Text=purity), and Li2SO4 (Aldrich, >99% purity) were used as the
#Text=parent materials.
2-1	67-73	Li3PO4	Material-recipe	Brand-of|Value-of|Coreference	2-3[2_0]|2-7[3_0]|2-37	
2-2	74-75	(	_	_	_	
2-3	75-82	Kojundo	Brand[2]	_	_	
2-4	83-91	Chemical	Brand[2]	_	_	
2-5	92-102	Laboratory	Brand[2]	_	_	
2-6	102-103	,	_	_	_	
2-7	104-105	>	Value[3]	_	_	
2-8	105-110	99.9%	Value[3]	_	_	
2-9	111-117	purity	_	_	_	
2-10	117-118	)	_	_	_	
2-11	118-119	,	_	_	_	
2-12	120-126	Li3BO3	Material-recipe	Brand-of|Value-of|Coreference	2-14[4_0]|2-18[5_0]|2-37	
2-13	127-128	(	_	_	_	
2-14	128-135	Kojundo	Brand[4]	_	_	
2-15	136-144	Chemical	Brand[4]	_	_	
2-16	145-155	Laboratory	Brand[4]	_	_	
2-17	155-156	,	_	_	_	
2-18	157-158	>	Value[5]	_	_	
2-19	158-164	99.99%	Value[5]	_	_	
2-20	165-171	purity	_	_	_	
2-21	171-172	)	_	_	_	
2-22	172-173	,	_	_	_	
2-23	174-177	and	_	_	_	
2-24	178-184	Li2SO4	Material-recipe	Brand-of|Value-of|Coreference	2-26|2-28[6_0]|2-37	
2-25	185-186	(	_	_	_	
2-26	186-193	Aldrich	Brand	_	_	
2-27	193-194	,	_	_	_	
2-28	195-196	>	Value[6]	_	_	
2-29	196-199	99%	Value[6]	_	_	
2-30	200-206	purity	_	_	_	
2-31	206-207	)	_	_	_	
2-32	208-212	were	_	_	_	
2-33	213-217	used	Operation	Participant-material|Participant-material|Participant-material	2-1|2-12|2-24	
2-34	218-220	as	_	_	_	
2-35	221-224	the	_	_	_	
2-36	225-231	parent	Descriptor	_	_	
2-37	232-241	materials	Material-recipe	Descriptor-of	2-36	
2-38	241-242	.	_	_	_	

#Text=Samples were created by mixing the parent
#Text=materials weighed with appropriate molar ratios and sintered at
