#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of K2Ni2TeO6 were synthesized
#Text=through the conventional high-temperature solid-state ceramics route (details provided in the Experimental Section).
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-36	K2Ni2TeO6	Material-target	Descriptor-of	1-1	
1-5	37-41	were	_	_	_	
1-6	42-53	synthesized	Operation	Participant-material	1-4	
1-7	54-61	through	_	_	_	
1-8	62-65	the	_	_	_	
1-9	66-78	conventional	Operation[1]	Coreference	1-6[0_1]	
1-10	79-95	high-temperature	Operation[1]	_	_	
1-11	96-107	solid-state	Operation[1]	_	_	
1-12	108-116	ceramics	Operation[1]	_	_	
1-13	117-122	route	Operation[1]	_	_	
1-14	123-124	(	_	_	_	
1-15	124-131	details	_	_	_	
1-16	132-140	provided	_	_	_	
1-17	141-143	in	_	_	_	
1-18	144-147	the	_	_	_	
1-19	148-160	Experimental	_	_	_	
1-20	161-168	Section	_	_	_	
1-21	168-169	)	_	_	_	
1-22	169-170	.	_	_	_	

#Text=The composition of the as-prepared material was ascertained
#Text=using inductively coupled plasma-atomic emission spectroscopy (Table S1), whereas the uniformity of the constituent
#Text=elements and morphology were validated using scanning
#Text=electron microscopy (shown in Figure S1).
2-1	171-174	The	_	_	_	
2-2	175-186	composition	_	_	_	
2-3	187-189	of	_	_	_	
2-4	190-193	the	_	_	_	
2-5	194-205	as-prepared	_	_	_	
2-6	206-214	material	_	_	_	
2-7	215-218	was	_	_	_	
2-8	219-230	ascertained	_	_	_	
2-9	231-236	using	_	_	_	
2-10	237-248	inductively	_	_	_	
2-11	249-256	coupled	_	_	_	
2-12	257-270	plasma-atomic	_	_	_	
2-13	271-279	emission	_	_	_	
2-14	280-292	spectroscopy	_	_	_	
2-15	293-294	(	_	_	_	
2-16	294-299	Table	_	_	_	
2-17	300-302	S1	_	_	_	
2-18	302-303	)	_	_	_	
2-19	303-304	,	_	_	_	
2-20	305-312	whereas	_	_	_	
2-21	313-316	the	_	_	_	
2-22	317-327	uniformity	_	_	_	
2-23	328-330	of	_	_	_	
2-24	331-334	the	_	_	_	
2-25	335-346	constituent	_	_	_	
2-26	347-355	elements	_	_	_	
2-27	356-359	and	_	_	_	
2-28	360-370	morphology	_	_	_	
2-29	371-375	were	_	_	_	
2-30	376-385	validated	_	_	_	
2-31	386-391	using	_	_	_	
2-32	392-400	scanning	_	_	_	
2-33	401-409	electron	_	_	_	
2-34	410-420	microscopy	_	_	_	
2-35	421-422	(	_	_	_	
2-36	422-427	shown	_	_	_	
2-37	428-430	in	_	_	_	
2-38	431-437	Figure	_	_	_	
2-39	438-440	S1	_	_	_	
2-40	440-441	)	_	_	_	
2-41	441-442	.	_	_	_	

#Text=The obtained
#Text=powder X-ray diffraction (XRD) pattern of as-prepared
#Text=K2Ni2TeO6 (Figure S2 and Table S2) could be indexed to
#Text=the hexagonal lattice adopting the P2-type framework.7
#Text=K2Ni2TeO6 displays a layered crystal structure comprising K
#Text=atoms coordinated with oxygen atoms interposed between
#Text=slabs of NiO6 and TeO6 as illustrated by Figure 1a.
3-1	443-446	The	_	_	_	
3-2	447-455	obtained	_	_	_	
3-3	456-462	powder	_	_	_	
3-4	463-468	X-ray	_	_	_	
3-5	469-480	diffraction	_	_	_	
3-6	481-482	(	_	_	_	
3-7	482-485	XRD	_	_	_	
3-8	485-486	)	_	_	_	
3-9	487-494	pattern	_	_	_	
3-10	495-497	of	_	_	_	
3-11	498-509	as-prepared	_	_	_	
3-12	510-519	K2Ni2TeO6	_	_	_	
3-13	520-521	(	_	_	_	
3-14	521-527	Figure	_	_	_	
3-15	528-530	S2	_	_	_	
3-16	531-534	and	_	_	_	
3-17	535-540	Table	_	_	_	
3-18	541-543	S2	_	_	_	
3-19	543-544	)	_	_	_	
3-20	545-550	could	_	_	_	
3-21	551-553	be	_	_	_	
3-22	554-561	indexed	_	_	_	
3-23	562-564	to	_	_	_	
3-24	565-568	the	_	_	_	
3-25	569-578	hexagonal	_	_	_	
3-26	579-586	lattice	_	_	_	
3-27	587-595	adopting	_	_	_	
3-28	596-599	the	_	_	_	
3-29	600-602	P2	_	_	_	
3-30	602-603	-	_	_	_	
3-31	603-607	type	_	_	_	
3-32	608-617	framework	_	_	_	
3-33	617-619	.7	_	_	_	
3-34	620-629	K2Ni2TeO6	_	_	_	
3-35	630-638	displays	_	_	_	
3-36	639-640	a	_	_	_	
3-37	641-648	layered	_	_	_	
3-38	649-656	crystal	_	_	_	
3-39	657-666	structure	_	_	_	
3-40	667-677	comprising	_	_	_	
3-41	678-679	K	_	_	_	
3-42	680-685	atoms	_	_	_	
3-43	686-697	coordinated	_	_	_	
3-44	698-702	with	_	_	_	
3-45	703-709	oxygen	_	_	_	
3-46	710-715	atoms	_	_	_	
3-47	716-726	interposed	_	_	_	
3-48	727-734	between	_	_	_	
3-49	735-740	slabs	_	_	_	
3-50	741-743	of	_	_	_	
3-51	744-748	NiO6	_	_	_	
