#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Calcination of Polycrystalline Materials.
1-1	0-11	Calcination	_	_	_	
1-2	12-14	of	_	_	_	
1-3	15-30	Polycrystalline	_	_	_	
1-4	31-40	Materials	_	_	_	
1-5	40-41	.	_	_	_	

#Text=Polycrystalline samples of the SrTb2O4 compound were synthesized with raw materials SrCO3 (Alfa Aesar, 99.99%) and
#Text=Tb4O7 (3−5% more) (Alfa Aesar, 99.99%) by a traditional
#Text=solid-state reaction method.51 The phase purity of raw
#Text=materials was checked by XRPD at room temperature.
2-1	42-57	Polycrystalline	Descriptor	_	_	
2-2	58-65	samples	_	_	_	
2-3	66-68	of	_	_	_	
2-4	69-72	the	_	_	_	
2-5	73-80	SrTb2O4	Material-target	Descriptor-of	2-1	
2-6	81-89	compound	_	_	_	
2-7	90-94	were	_	_	_	
2-8	95-106	synthesized	Operation	Coreference	2-35[4_0]	
2-9	107-111	with	_	_	_	
2-10	112-115	raw	Descriptor	_	_	
2-11	116-125	materials	Material-recipe	Descriptor-of	2-10	
2-12	126-131	SrCO3	Material-recipe	Value-of|Brand-of|Coreference	2-17|2-14[1_0]|2-11	
2-13	132-133	(	_	_	_	
2-14	133-137	Alfa	Brand[1]	_	_	
2-15	138-143	Aesar	Brand[1]	_	_	
2-16	143-144	,	_	_	_	
2-17	145-151	99.99%	Value	_	_	
2-18	151-152	)	_	_	_	
2-19	153-156	and	_	_	_	
2-20	157-162	Tb4O7	Material-recipe	Value-of|Brand-of|Value-of|Coreference	2-31|2-28[3_0]|2-22[2_0]|2-11	
2-21	163-164	(	_	_	_	
2-22	164-165	3	Value[2]	_	_	
2-23	165-166	−	Value[2]	_	_	
2-24	166-168	5%	Value[2]	_	_	
2-25	169-173	more	Value[2]	_	_	
2-26	173-174	)	_	_	_	
2-27	175-176	(	_	_	_	
2-28	176-180	Alfa	Brand[3]	_	_	
2-29	181-186	Aesar	Brand[3]	_	_	
2-30	186-187	,	_	_	_	
2-31	188-194	99.99%	Value	_	_	
2-32	194-195	)	_	_	_	
2-33	196-198	by	_	_	_	
2-34	199-200	a	_	_	_	
2-35	201-212	traditional	Operation[4]	Participant-material|Participant-material	2-20[0_4]|2-12[0_4]	
2-36	213-224	solid-state	Operation[4]	_	_	
2-37	225-233	reaction	Operation[4]	_	_	
2-38	234-240	method	Operation[4]	_	_	
2-39	240-243	.51	_	_	_	
2-40	244-247	The	_	_	_	
2-41	248-253	phase	_	_	_	
2-42	254-260	purity	_	_	_	
2-43	261-263	of	_	_	_	
2-44	264-267	raw	_	_	_	
2-45	268-277	materials	_	_	_	
2-46	278-281	was	_	_	_	
2-47	282-289	checked	_	_	_	
2-48	290-292	by	_	_	_	
2-49	293-297	XRPD	_	_	_	
2-50	298-300	at	_	_	_	
2-51	301-305	room	_	_	_	
2-52	306-317	temperature	_	_	_	
2-53	317-318	.	_	_	_	

#Text=To
#Text=avoid the humidity effect on the quality of raw materials, they
#Text=are always stored in a dry atmosphere at 493 K.
3-1	319-321	To	_	_	_	
3-2	322-327	avoid	_	_	_	
3-3	328-331	the	_	_	_	
3-4	332-340	humidity	_	_	_	
3-5	341-347	effect	_	_	_	
3-6	348-350	on	_	_	_	
3-7	351-354	the	_	_	_	
3-8	355-362	quality	_	_	_	
3-9	363-365	of	_	_	_	
3-10	366-369	raw	_	_	_	
3-11	370-379	materials	_	_	_	
3-12	379-380	,	_	_	_	
3-13	381-385	they	Material-recipe	_	_	
3-14	386-389	are	_	_	_	
3-15	390-396	always	_	_	_	
3-16	397-403	stored	Operation	Participant-material|Condition-of|Condition-of	3-13|3-19[5_0]|3-22[6_0]	
3-17	404-406	in	_	_	_	
3-18	407-408	a	_	_	_	
3-19	409-412	dry	Property-pressure[5]	_	_	
