#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Sample Fabrication.
1-1	0-6	Sample	_	_	_	
1-2	7-18	Fabrication	_	_	_	
1-3	18-19	.	_	_	_	

#Text=Intrinsic polycrystalline samples of PbS, PbSe, and PbTe were prepared by mixing stoichiometric ratios of high purity Pb (99.999%), Se (99.999%), and dried S (99.99%) in vacuum-sealed quartz ampoules.
2-1	20-29	Intrinsic	Descriptor	_	_	
2-2	30-45	polycrystalline	Descriptor	_	_	
2-3	46-53	samples	_	_	_	
2-4	54-56	of	_	_	_	
2-5	57-60	PbS	Material-target	Descriptor-of|Descriptor-of	2-1|2-2	
2-6	60-61	,	_	_	_	
2-7	62-66	PbSe	Material-target	Descriptor-of|Descriptor-of	2-2|2-1	
2-8	66-67	,	_	_	_	
2-9	68-71	and	_	_	_	
2-10	72-76	PbTe	Material-target	Descriptor-of|Descriptor-of	2-2|2-1	
2-11	77-81	were	_	_	_	
2-12	82-90	prepared	Operation	Coreference|Participant-material|Participant-material|Participant-material	2-14|2-10|2-7|2-5	
2-13	91-93	by	_	_	_	
2-14	94-100	mixing	Operation	Device-of-operation|Participant-material|Participant-material|Participant-material	2-39|2-32|2-25|2-20	
2-15	101-115	stoichiometric	Value	_	_	
2-16	116-122	ratios	_	_	_	
2-17	123-125	of	_	_	_	
2-18	126-130	high	Descriptor[1]	_	_	
2-19	131-137	purity	Descriptor[1]	_	_	
2-20	138-140	Pb	Material-recipe	Value-of|Value-of|Descriptor-of	2-15|2-22|2-18[1_0]	
2-21	141-142	(	_	_	_	
2-22	142-149	99.999%	Value	_	_	
2-23	149-150	)	_	_	_	
2-24	150-151	,	_	_	_	
2-25	152-154	Se	Material-recipe	Value-of|Value-of|Descriptor-of	2-15|2-27|2-18[1_0]	
2-26	155-156	(	_	_	_	
2-27	156-163	99.999%	Value	_	_	
2-28	163-164	)	_	_	_	
2-29	164-165	,	_	_	_	
2-30	166-169	and	_	_	_	
2-31	170-175	dried	Descriptor	Value-of	2-15	
2-32	176-177	S	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-34|2-31|2-18[1_0]	
2-33	178-179	(	_	_	_	
2-34	179-185	99.99%	Value	_	_	
2-35	185-186	)	_	_	_	
2-36	187-189	in	_	_	_	
2-37	190-203	vacuum-sealed	Descriptor	_	_	
2-38	204-210	quartz	Descriptor	_	_	
2-39	211-219	ampoules	Device	Descriptor-of|Descriptor-of	2-38|2-37	
2-40	219-220	.	_	_	_	

#Text=These were reacted at 1373 K to produce high purity PbS, PbSe, and PbTe.
3-1	221-226	These	Material-recipe	_	_	
3-2	227-231	were	_	_	_	
3-3	232-239	reacted	Operation	Condition-of|Participant-material|Participant-material|Participant-material|Participant-material	3-5[2_0]|3-1|3-11|3-13|3-16	
3-4	240-242	at	_	_	_	
3-5	243-247	1373	Property-temperature[2]	_	_	
3-6	248-249	K	Property-temperature[2]	_	_	
3-7	250-252	to	_	_	_	
3-8	253-260	produce	_	_	_	
3-9	261-265	high	Descriptor[3]	_	_	
3-10	266-272	purity	Descriptor[3]	_	_	
3-11	273-276	PbS	Material-target	Descriptor-of	3-9[3_0]	
3-12	276-277	,	_	_	_	
3-13	278-282	PbSe	Material-target	Descriptor-of	3-9[3_0]	
3-14	282-283	,	_	_	_	
3-15	284-287	and	_	_	_	
3-16	288-292	PbTe	Material-target	Descriptor-of	3-9[3_0]	
3-17	292-293	.	_	_	_	

#Text=The final polycrystalline samples of ternary and quaternary compounds of (PbTe)1−x(PbSe)x (x = 0, 0.15, 0.35, 0.50, 0.70, 0.85, and 1), (PbTe)0.9−y(PbSe)0.1(PbS)y (y = 0, 0.05, 0.08, and 1), and (PbTe)0.65−z(PbSe)0.35(PbS)z (z = 0, 0.05, 0.10, 0.15, 0.20, and 1) were synthesized by mixing stoichiometric quantities of high purity PbS, PbSe, Pb, and Te.
4-1	294-297	The	_	_	_	
4-2	298-303	final	Descriptor	_	_	
4-3	304-319	polycrystalline	Descriptor	_	_	
4-4	320-327	samples	_	_	_	
4-5	328-330	of	_	_	_	
4-6	331-338	ternary	_	_	_	
4-7	339-342	and	_	_	_	
4-8	343-353	quaternary	_	_	_	
4-9	354-363	compounds	_	_	_	
4-10	364-366	of	_	_	_	
4-11	367-368	(	Material-target[4]	Descriptor-of|Descriptor-of|Descriptor-of	4-22[5_4]|4-3[0_4]|4-2[0_4]	
4-12	368-372	PbTe	Material-target[4]	_	_	
4-13	372-373	)	Material-target[4]	_	_	
4-14	373-374	1	Material-target[4]	_	_	
4-15	374-375	−	Material-target[4]	_	_	
4-16	375-376	x	Material-target[4]	_	_	
4-17	376-377	(	Material-target[4]	_	_	
4-18	377-381	PbSe	Material-target[4]	_	_	
4-19	381-382	)	Material-target[4]	_	_	
4-20	382-383	x	Material-target[4]	_	_	
4-21	384-385	(	_	_	_	
4-22	385-386	x	Descriptor[5]	_	_	
4-23	387-388	=	Descriptor[5]	_	_	
4-24	389-390	0	Descriptor[5]	_	_	
4-25	390-391	,	Descriptor[5]	_	_	
4-26	392-396	0.15	Descriptor[5]	_	_	
4-27	396-397	,	Descriptor[5]	_	_	
4-28	398-402	0.35	Descriptor[5]	_	_	
4-29	402-403	,	Descriptor[5]	_	_	
4-30	404-408	0.50	Descriptor[5]	_	_	
4-31	408-409	,	Descriptor[5]	_	_	
4-32	410-414	0.70	Descriptor[5]	_	_	
4-33	414-415	,	Descriptor[5]	_	_	
4-34	416-420	0.85	Descriptor[5]	_	_	
4-35	420-421	,	Descriptor[5]	_	_	
4-36	422-425	and	Descriptor[5]	_	_	
4-37	426-427	1	Descriptor[5]	_	_	
4-38	427-428	)	_	_	_	
4-39	428-429	,	_	_	_	
4-40	430-431	(	Material-target[6]	Descriptor-of|Descriptor-of|Descriptor-of	4-55[7_6]|4-3[0_6]|4-2[0_6]	
4-41	431-435	PbTe	Material-target[6]	_	_	
4-42	435-436	)	Material-target[6]	_	_	
4-43	436-439	0.9	Material-target[6]	_	_	
4-44	439-440	−	Material-target[6]	_	_	
4-45	440-441	y	Material-target[6]	_	_	
4-46	441-442	(	Material-target[6]	_	_	
4-47	442-446	PbSe	Material-target[6]	_	_	
4-48	446-447	)	Material-target[6]	_	_	
4-49	447-450	0.1	Material-target[6]	_	_	
4-50	450-451	(	Material-target[6]	_	_	
4-51	451-454	PbS	Material-target[6]	_	_	
4-52	454-455	)	Material-target[6]	_	_	
4-53	455-456	y	Material-target[6]	_	_	
4-54	457-458	(	_	_	_	
4-55	458-459	y	Descriptor[7]	_	_	
4-56	460-461	=	Descriptor[7]	_	_	
4-57	462-463	0	Descriptor[7]	_	_	
4-58	463-464	,	Descriptor[7]	_	_	
4-59	465-469	0.05	Descriptor[7]	_	_	
4-60	469-470	,	Descriptor[7]	_	_	
4-61	471-475	0.08	Descriptor[7]	_	_	
4-62	475-476	,	Descriptor[7]	_	_	
4-63	477-480	and	Descriptor[7]	_	_	
4-64	481-482	1	Descriptor[7]	_	_	
4-65	482-483	)	_	_	_	
4-66	483-484	,	_	_	_	
