#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of PrMnAsO0.95F0.05 and NdMnAsO1−xFx (x = 0.02, 0.05) were synthesized via a two-step solid-state reaction method.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-43	PrMnAsO0.95F0.05	Material-target	Descriptor-of	1-1	
1-5	44-47	and	_	_	_	
1-6	48-56	NdMnAsO1	Material-target[1]	Descriptor-of|Descriptor-of	1-1[0_1]|1-10[2_1]	
1-7	56-57	−	Material-target[1]	_	_	
1-8	57-60	xFx	Material-target[1]	_	_	
1-9	61-62	(	_	_	_	
1-10	62-63	x	Descriptor[2]	_	_	
1-11	64-65	=	Descriptor[2]	_	_	
1-12	66-70	0.02	Descriptor[2]	_	_	
1-13	70-71	,	Descriptor[2]	_	_	
1-14	72-76	0.05	Descriptor[2]	_	_	
1-15	76-77	)	_	_	_	
1-16	78-82	were	_	_	_	
1-17	83-94	synthesized	Operation	Coreference|Participant-material|Participant-material	1-20[3_0]|1-4|1-6[1_0]	
1-18	95-98	via	_	_	_	
1-19	99-100	a	_	_	_	
1-20	101-109	two-step	Operation[3]	_	_	
1-21	110-121	solid-state	Operation[3]	_	_	
1-22	122-130	reaction	Operation[3]	_	_	
1-23	131-137	method	Operation[3]	_	_	
1-24	137-138	.	_	_	_	

#Text=Initially, the LnAs (Ln = Pr, Nd) precursor was obtained by the reaction of Ln pieces (Aldrich; 99.9%) and As (Alfa Aesar; 99.999%) at 900 °C for 24 h in an evacuated, sealed quartz tube.
2-1	139-148	Initially	_	_	_	
2-2	148-149	,	_	_	_	
2-3	150-153	the	_	_	_	
2-4	154-158	LnAs	Material-recipe	Descriptor-of|Descriptor-of	2-6[4_0]|2-12	
2-5	159-160	(	_	_	_	
2-6	160-162	Ln	Descriptor[4]	_	_	
2-7	163-164	=	Descriptor[4]	_	_	
2-8	165-167	Pr	Descriptor[4]	_	_	
2-9	167-168	,	Descriptor[4]	_	_	
2-10	169-171	Nd	Descriptor[4]	_	_	
2-11	171-172	)	_	_	_	
2-12	173-182	precursor	Descriptor	_	_	
2-13	183-186	was	_	_	_	
2-14	187-195	obtained	Operation	Coreference|Device-of-operation	2-17|2-47	
2-15	196-198	by	_	_	_	
2-16	199-202	the	_	_	_	
2-17	203-211	reaction	Operation	Participant-material|Participant-material|Condition-of|Condition-of	2-19|2-27|2-35[6_0]|2-39[7_0]	
2-18	212-214	of	_	_	_	
2-19	215-217	Ln	Material-recipe	Descriptor-of|Brand-of|Value-of	2-20|2-22|2-24	
2-20	218-224	pieces	Descriptor	_	_	
2-21	225-226	(	_	_	_	
2-22	226-233	Aldrich	Brand	_	_	
2-23	233-234	;	_	_	_	
2-24	235-240	99.9%	Value	_	_	
2-25	240-241	)	_	_	_	
2-26	242-245	and	_	_	_	
2-27	246-248	As	Material-recipe	Brand-of|Value-of	2-29[5_0]|2-32	
2-28	249-250	(	_	_	_	
2-29	250-254	Alfa	Brand[5]	_	_	
2-30	255-260	Aesar	Brand[5]	_	_	
2-31	260-261	;	_	_	_	
2-32	262-269	99.999%	Value	_	_	
2-33	269-270	)	_	_	_	
2-34	271-273	at	_	_	_	
2-35	274-277	900	Property-temperature[6]	_	_	
2-36	278-279	°	Property-temperature[6]	_	_	
2-37	279-280	C	Property-temperature[6]	_	_	
2-38	281-284	for	_	_	_	
2-39	285-287	24	Property-time[7]	_	_	
2-40	288-289	h	Property-time[7]	_	_	
2-41	290-292	in	_	_	_	
2-42	293-295	an	Value	_	_	
2-43	296-305	evacuated	Descriptor	_	_	
2-44	305-306	,	_	_	_	
2-45	307-313	sealed	Descriptor	_	_	
2-46	314-320	quartz	Descriptor	_	_	
2-47	321-325	tube	Device	Value-of|Descriptor-of|Descriptor-of|Descriptor-of	2-42|2-43|2-45|2-46	
2-48	325-326	.	_	_	_	

#Text=The resulting precursor was then reacted with stoichiometric amounts of MnO2, Mn and MnF2 (Aldrich; 99.99%); all powders were ground in an inert atmosphere and pressed into a pellet of 10 mm diameter.
3-1	327-330	The	_	_	_	
3-2	331-340	resulting	Material-intermedium[8]	_	_	
3-3	341-350	precursor	Material-intermedium[8]	_	_	
3-4	351-354	was	_	_	_	
3-5	355-359	then	_	_	_	
3-6	360-367	reacted	Operation	Participant-material|Participant-material|Participant-material|Participant-material	3-2[8_0]|3-11|3-13|3-15	
3-7	368-372	with	_	_	_	
3-8	373-387	stoichiometric	Value[9]	_	_	
3-9	388-395	amounts	Value[9]	_	_	
3-10	396-398	of	_	_	_	
3-11	399-403	MnO2	Material-recipe	Value-of	3-8[9_0]	
3-12	403-404	,	_	_	_	
3-13	405-407	Mn	Material-recipe	Value-of	3-8[9_0]	
3-14	408-411	and	_	_	_	
3-15	412-416	MnF2	Material-recipe	Value-of|Brand-of|Value-of	3-8[9_0]|3-17|3-19	
3-16	417-418	(	_	_	_	
3-17	418-425	Aldrich	Brand	_	_	
3-18	425-426	;	_	_	_	
3-19	427-433	99.99%	Value	_	_	
