#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline TaS2 was synthesized by a solid-state reaction from stoichiometric Ta and S powders.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-20	TaS2	Material-target	Descriptor-of	1-1	
1-3	21-24	was	_	_	_	
1-4	25-36	synthesized	Operation	Participant-material	1-2	
1-5	37-39	by	_	_	_	
1-6	40-41	a	_	_	_	
1-7	42-53	solid-state	Operation[1]	Coreference	1-4[0_1]	
1-8	54-62	reaction	Operation[1]	_	_	
1-9	63-67	from	_	_	_	
1-10	68-82	stoichiometric	Value	_	_	
1-11	83-85	Ta	Material-recipe	Value-of|Descriptor-of	1-10|1-14	
1-12	86-89	and	_	_	_	
1-13	90-91	S	Material-recipe	Value-of|Descriptor-of	1-10|1-14	
1-14	92-99	powders	Descriptor	_	_	
1-15	99-100	.	_	_	_	

#Text=These were sealed into an evacuated quartz tube and sintered at 950 °C for 4 days.
2-1	101-106	These	Material-intermedium	_	_	
2-2	107-111	were	_	_	_	
2-3	112-118	sealed	Operation	Participant-material|Next-operation|Device-of-operation	2-1|2-10|2-8	
2-4	119-123	into	_	_	_	
2-5	124-126	an	Value	_	_	
2-6	127-136	evacuated	Property-pressure	_	_	
2-7	137-143	quartz	Descriptor	_	_	
2-8	144-148	tube	Device	Descriptor-of|Descriptor-of|Value-of	2-7|2-6|2-5	
2-9	149-152	and	_	_	_	
2-10	153-161	sintered	Operation	Condition-of|Condition-of	2-12[2_0]|2-16[3_0]	
2-11	162-164	at	_	_	_	
2-12	165-168	950	Property-temperature[2]	_	_	
2-13	169-170	°	Property-temperature[2]	_	_	
2-14	170-171	C	Property-temperature[2]	_	_	
2-15	172-175	for	_	_	_	
2-16	176-177	4	Property-time[3]	_	_	
2-17	178-182	days	Property-time[3]	_	_	
2-18	182-183	.	_	_	_	

#Text=CVT was used for the synthesis of single crystals of TaS2.
3-1	184-187	CVT	Device	_	_	
3-2	188-191	was	_	_	_	
3-3	192-196	used	Operation	Device-of-operation|Coreference	3-1|3-6	
3-4	197-200	for	_	_	_	
3-5	201-204	the	_	_	_	
3-6	205-214	synthesis	Operation	Participant-material	3-11	
3-7	215-217	of	_	_	_	
3-8	218-224	single	Descriptor[4]	_	_	
3-9	225-233	crystals	Descriptor[4]	_	_	
3-10	234-236	of	_	_	_	
3-11	237-241	TaS2	Material-others	Descriptor-of	3-8[4_0]	
3-12	241-242	.	_	_	_	

#Text=The obtained polycrystalline TaS2 and iodine of 5 mg/cm3 as a transporting agent were added in a closed quartz tube and sintered using a temperature gradient from 800 to 900 °C for 7 days.
4-1	243-246	The	_	_	_	
4-2	247-255	obtained	Descriptor[5]	_	_	
4-3	256-271	polycrystalline	Descriptor[5]	_	_	
4-4	272-276	TaS2	Material-intermedium	Descriptor-of|Value-of|Coreference	4-2[5_0]|4-8[6_0]|4-14[7_0]	
4-5	277-280	and	_	_	_	
4-6	281-287	iodine	Material-intermedium	Descriptor-of|Value-of|Coreference	4-2[5_0]|4-8[6_0]|4-14[7_0]	
4-7	288-290	of	_	_	_	
4-8	291-292	5	Value[6]	_	_	
4-9	293-295	mg	Value[6]	_	_	
4-10	295-296	/	Value[6]	_	_	
4-11	296-299	cm3	Value[6]	_	_	
4-12	300-302	as	_	_	_	
4-13	303-304	a	_	_	_	
4-14	305-317	transporting	Material-intermedium[7]	_	_	
4-15	318-323	agent	Material-intermedium[7]	_	_	
4-16	324-328	were	_	_	_	
4-17	329-334	added	Operation	Participant-material|Next-operation|Device-of-operation	4-14[7_0]|4-24|4-22	
4-18	335-337	in	_	_	_	
4-19	338-339	a	Value	_	_	
4-20	340-346	closed	Descriptor	_	_	
4-21	347-353	quartz	Descriptor	_	_	
4-22	354-358	tube	Device	Descriptor-of|Value-of|Descriptor-of	4-21|4-19|4-20	
4-23	359-362	and	_	_	_	
4-24	363-371	sintered	Operation	Condition-of|Condition-of	4-30[9_0]|4-36[10_0]	
4-25	372-377	using	_	_	_	
4-26	378-379	a	_	_	_	
4-27	380-391	temperature	Descriptor[8]	_	_	
4-28	392-400	gradient	Descriptor[8]	_	_	
4-29	401-405	from	_	_	_	
4-30	406-409	800	Property-temperature[9]	Descriptor-of	4-27[8_9]	
4-31	410-412	to	Property-temperature[9]	_	_	
4-32	413-416	900	Property-temperature[9]	_	_	
4-33	417-418	°	Property-temperature[9]	_	_	
4-34	418-419	C	Property-temperature[9]	_	_	
4-35	420-423	for	_	_	_	
4-36	424-425	7	Property-time[10]	_	_	
4-37	426-430	days	Property-time[10]	_	_	
4-38	430-431	.	_	_	_	

#Text=To intercalate alkali metal ions (e.g., K+ , Na+ , and Li+ ) into TaS2, phosphate glasses containing each alkali metal ion31 were prepared using a conventional melt-quenching technique as the ion-source materials, which must exhibit ion conducting properties at the treatment temperature of PDII.
5-1	432-434	To	_	_	_	
5-2	435-446	intercalate	Operation	Participant-material|Participant-material	5-3[11_0]|5-21	
5-3	447-453	alkali	Material-intermedium[11]	Coreference|Coreference|Coreference	5-10[12_11]|5-13[13_11]|5-17[14_11]	
5-4	454-459	metal	Material-intermedium[11]	_	_	
5-5	460-464	ions	Material-intermedium[11]	_	_	
5-6	465-466	(	_	_	_	
5-7	466-469	e.g	_	_	_	
5-8	469-470	.	_	_	_	
5-9	470-471	,	_	_	_	
5-10	472-473	K	Material-others[12]	_	_	
5-11	473-474	+	Material-others[12]	_	_	
5-12	475-476	,	_	_	_	
5-13	477-479	Na	Material-others[13]	_	_	
5-14	479-480	+	Material-others[13]	_	_	
5-15	481-482	,	_	_	_	
5-16	483-486	and	_	_	_	
5-17	487-489	Li	Material-others[14]	_	_	
5-18	489-490	+	Material-others[14]	_	_	
5-19	491-492	)	_	_	_	
5-20	493-497	into	_	_	_	
5-21	498-502	TaS2	Material-intermedium	_	_	
5-22	502-503	,	_	_	_	
5-23	504-513	phosphate	Device[15]	Coreference	5-27[16_15]	
5-24	514-521	glasses	Device[15]	_	_	
5-25	522-532	containing	_	_	_	
5-26	533-537	each	_	_	_	
5-27	538-544	alkali	Material-intermedium[16]	_	_	
5-28	545-550	metal	Material-intermedium[16]	_	_	
5-29	551-556	ion31	Material-intermedium[16]	_	_	
5-30	557-561	were	_	_	_	
5-31	562-570	prepared	Operation	Device-of-operation|Coreference	5-23[15_0]|5-34[17_0]	
5-32	571-576	using	_	_	_	
5-33	577-578	a	_	_	_	
5-34	579-591	conventional	Operation[17]	_	_	
5-35	592-606	melt-quenching	Operation[17]	_	_	
5-36	607-616	technique	Operation[17]	_	_	
5-37	617-619	as	_	_	_	
5-38	620-623	the	_	_	_	
5-39	624-634	ion-source	Material-intermedium[18]	_	_	
5-40	635-644	materials	Material-intermedium[18]	_	_	
5-41	644-645	,	_	_	_	
5-42	646-651	which	_	_	_	
5-43	652-656	must	_	_	_	
5-44	657-664	exhibit	_	_	_	
5-45	665-668	ion	_	_	_	
5-46	669-679	conducting	_	_	_	
5-47	680-690	properties	_	_	_	
5-48	691-693	at	_	_	_	
5-49	694-697	the	_	_	_	
5-50	698-707	treatment	_	_	_	
5-51	708-719	temperature	_	_	_	
5-52	720-722	of	_	_	_	
5-53	723-727	PDII	_	_	_	
5-54	727-728	.	_	_	_	

#Text=The raw materials A2CO3, La2O3, and H3PO4 (A = K, Na, and Li) were weighed and mixed.
6-1	729-732	The	_	_	_	
6-2	733-736	raw	Descriptor[19]	_	_	
6-3	737-746	materials	Descriptor[19]	_	_	
6-4	747-752	A2CO3	Material-recipe	Descriptor-of	6-2[19_0]	
6-5	752-753	,	_	_	_	
6-6	754-759	La2O3	Material-recipe	Descriptor-of	6-2[19_0]	
6-7	759-760	,	_	_	_	
6-8	761-764	and	_	_	_	
6-9	765-770	H3PO4	Material-recipe	Descriptor-of|Descriptor-of	6-2[19_0]|6-11[20_0]	
6-10	771-772	(	_	_	_	
6-11	772-773	A	Descriptor[20]	_	_	
6-12	774-775	=	Descriptor[20]	_	_	
6-13	776-777	K	Descriptor[20]	_	_	
6-14	777-778	,	Descriptor[20]	_	_	
6-15	779-781	Na	Descriptor[20]	_	_	
6-16	781-782	,	Descriptor[20]	_	_	
6-17	783-786	and	Descriptor[20]	_	_	
6-18	787-789	Li	Descriptor[20]	_	_	
6-19	789-790	)	_	_	_	
6-20	791-795	were	_	_	_	
6-21	796-803	weighed	Operation	Participant-material|Participant-material|Participant-material|Next-operation	6-4|6-6|6-9|6-23	
6-22	804-807	and	_	_	_	
6-23	808-813	mixed	Operation	_	_	
6-24	813-814	.	_	_	_	

#Text=They were then melted in a platinum crucible for 30 min at 1200 °C in air.
7-1	815-819	They	Material-intermedium	_	_	
7-2	820-824	were	_	_	_	
7-3	825-829	then	_	_	_	
7-4	830-836	melted	Operation	Participant-material|Device-of-operation|Condition-of|Condition-of|Condition-of	7-1|7-7[21_0]|7-10[22_0]|7-13[23_0]|7-17	
7-5	837-839	in	_	_	_	
7-6	840-841	a	Value	_	_	
7-7	842-850	platinum	Device[21]	Value-of	7-6[0_21]	
7-8	851-859	crucible	Device[21]	_	_	
7-9	860-863	for	_	_	_	
7-10	864-866	30	Property-time[22]	_	_	
7-11	867-870	min	Property-time[22]	_	_	
7-12	871-873	at	_	_	_	
7-13	874-878	1200	Property-temperature[23]	_	_	
7-14	879-880	°	Property-temperature[23]	_	_	
7-15	880-881	C	Property-temperature[23]	_	_	
7-16	882-884	in	_	_	_	
7-17	885-888	air	Property-pressure	_	_	
7-18	888-889	.	_	_	_	

#Text=The molten materials were poured into a cylindrical carbon mold with an inner diameter of 10 mm, annealed at 380 °C for 1 h, and gradually cooled to room temperature in a furnace at a cooling rate of 30 °C/h.
8-1	890-893	The	_	_	_	
8-2	894-900	molten	Material-intermedium[24]	_	_	
8-3	901-910	materials	Material-intermedium[24]	_	_	
8-4	911-915	were	_	_	_	
8-5	916-922	poured	Operation	Participant-material|Device-of-operation|Next-operation	8-2[24_0]|8-9[25_0]|8-19	
8-6	923-927	into	_	_	_	
8-7	928-929	a	Value	_	_	
8-8	930-941	cylindrical	Descriptor	_	_	
8-9	942-948	carbon	Device[25]	Value-of|Descriptor-of|Descriptor-of	8-7[0_25]|8-8[0_25]|8-13[26_25]	
8-10	949-953	mold	Device[25]	_	_	
8-11	954-958	with	_	_	_	
8-12	959-961	an	_	_	_	
8-13	962-967	inner	Descriptor[26]	Value-of	8-16[27_26]	
8-14	968-976	diameter	Descriptor[26]	_	_	
8-15	977-979	of	_	_	_	
8-16	980-982	10	Value[27]	_	_	
8-17	983-985	mm	Value[27]	_	_	
8-18	985-986	,	_	_	_	
8-19	987-995	annealed	Operation	Condition-of|Condition-of|Next-operation	8-21[28_0]|8-25[29_0]|8-30	
8-20	996-998	at	_	_	_	
8-21	999-1002	380	Property-temperature[28]	_	_	
8-22	1003-1004	°	Property-temperature[28]	_	_	
8-23	1004-1005	C	Property-temperature[28]	_	_	
8-24	1006-1009	for	_	_	_	
8-25	1010-1011	1	Property-time[29]	_	_	
8-26	1012-1013	h	Property-time[29]	_	_	
8-27	1013-1014	,	_	_	_	
8-28	1015-1018	and	_	_	_	
8-29	1019-1028	gradually	Descriptor	_	_	
8-30	1029-1035	cooled	Operation	Descriptor-of|Condition-of|Device-of-operation	8-29|8-32[30_0]|8-36	
8-31	1036-1038	to	_	_	_	
8-32	1039-1043	room	Property-temperature[30]	_	_	
8-33	1044-1055	temperature	Property-temperature[30]	_	_	
8-34	1056-1058	in	_	_	_	
8-35	1059-1060	a	Value	_	_	
8-36	1061-1068	furnace	Device	Value-of|Condition-of	8-35|8-39[31_0]	
8-37	1069-1071	at	_	_	_	
8-38	1072-1073	a	_	_	_	
8-39	1074-1081	cooling	Property-rate[31]	_	_	
8-40	1082-1086	rate	Property-rate[31]	_	_	
8-41	1087-1089	of	_	_	_	
8-42	1090-1092	30	Property-rate[32]	Coreference	8-39[31_32]	
8-43	1093-1094	°	Property-rate[32]	_	_	
8-44	1094-1095	C	Property-rate[32]	_	_	
8-45	1095-1096	/	Property-rate[32]	_	_	
8-46	1096-1097	h	Property-rate[32]	_	_	
8-47	1097-1098	.	_	_	_	

