#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline samples of CoxZnyMnz (x+y+z=20) were synthesized by the method described in ref. 29.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-23	samples	_	_	_	
1-3	24-26	of	_	_	_	
1-4	27-36	CoxZnyMnz	Material-target	Descriptor-of|Descriptor-of	1-1|1-6[1_0]	
1-5	37-38	(	_	_	_	
1-6	38-39	x	Descriptor[1]	_	_	
1-7	39-40	+	Descriptor[1]	_	_	
1-8	40-41	y	Descriptor[1]	_	_	
1-9	41-42	+	Descriptor[1]	_	_	
1-10	42-43	z	Descriptor[1]	_	_	
1-11	43-44	=	Descriptor[1]	_	_	
1-12	44-46	20	Descriptor[1]	_	_	
1-13	46-47	)	_	_	_	
1-14	48-52	were	_	_	_	
1-15	53-64	synthesized	Operation	Participant-material|Coreference	1-4|1-18	
1-16	65-67	by	_	_	_	
1-17	68-71	the	_	_	_	
1-18	72-78	method	Operation	Descriptor-of	1-19	
1-19	79-88	described	Descriptor	_	_	
1-20	89-91	in	_	_	_	
1-21	92-95	ref	Operation[2]	Descriptor-of	1-19[0_2]	
1-22	95-96	.	Operation[2]	_	_	
1-23	97-99	29	Operation[2]	_	_	
1-24	99-100	.	_	_	_	

#Text=Stoichiometric amounts of pure Co, Zn and Mn pieces of 2 g total mass were sealed in evacuated quartz tubes (∼10−3 Pa), heated to 1,000 °C for 12 h, followed by slow cooling (1 °C h−1) down to 925 °C, then kept at this temperature for 75–100 h.
2-1	101-115	Stoichiometric	Value[3]	Coreference	2-12[4_3]	
2-2	116-123	amounts	Value[3]	_	_	
2-3	124-126	of	_	_	_	
2-4	127-131	pure	Descriptor	_	_	
2-5	132-134	Co	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-1[3_0]|2-4|2-10	
2-6	134-135	,	_	_	_	
2-7	136-138	Zn	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-1[3_0]|2-4|2-10	
2-8	139-142	and	_	_	_	
2-9	143-145	Mn	Material-recipe	Value-of|Descriptor-of|Descriptor-of	2-1[3_0]|2-4|2-10	
2-10	146-152	pieces	Descriptor	_	_	
2-11	153-155	of	_	_	_	
2-12	156-157	2	Value[4]	Descriptor-of	2-14[5_4]	
2-13	158-159	g	Value[4]	_	_	
2-14	160-165	total	Descriptor[5]	_	_	
2-15	166-170	mass	Descriptor[5]	_	_	
2-16	171-175	were	_	_	_	
2-17	176-182	sealed	Operation	Participant-material|Participant-material|Participant-material|Device-of-operation|Condition-of|Next-operation	2-5|2-7|2-9|2-21|2-23[6_0]|2-30	
2-18	183-185	in	_	_	_	
2-19	186-195	evacuated	Descriptor	_	_	
2-20	196-202	quartz	Descriptor	_	_	
2-21	203-208	tubes	Device	Descriptor-of|Descriptor-of	2-19|2-20	
2-22	209-210	(	_	_	_	
2-23	210-211	∼	Property-pressure[6]	_	_	
2-24	211-213	10	Property-pressure[6]	_	_	
2-25	213-214	−	Property-pressure[6]	_	_	
2-26	214-215	3	Property-pressure[6]	_	_	
2-27	216-218	Pa	Property-pressure[6]	_	_	
2-28	218-219	)	_	_	_	
2-29	219-220	,	_	_	_	
2-30	221-227	heated	Operation	Condition-of|Condition-of|Next-operation	2-32[7_0]|2-36[8_0]|2-41[9_0]	
2-31	228-230	to	_	_	_	
2-32	231-236	1,000	Property-temperature[7]	_	_	
2-33	237-238	°	Property-temperature[7]	_	_	
2-34	238-239	C	Property-temperature[7]	_	_	
2-35	240-243	for	_	_	_	
2-36	244-246	12	Property-time[8]	_	_	
2-37	247-248	h	Property-time[8]	_	_	
2-38	248-249	,	_	_	_	
2-39	250-258	followed	_	_	_	
2-40	259-261	by	_	_	_	
2-41	262-266	slow	Operation[9]	Condition-of|Condition-of|Next-operation	2-44[10_9]|2-53[11_9]|2-58[0_9]	
2-42	267-274	cooling	Operation[9]	_	_	
2-43	275-276	(	_	_	_	
2-44	276-277	1	Property-rate[10]	_	_	
2-45	278-279	°	Property-rate[10]	_	_	
2-46	279-280	C	Property-rate[10]	_	_	
2-47	281-282	h	Property-rate[10]	_	_	
2-48	282-283	−	Property-rate[10]	_	_	
2-49	283-284	1	Property-rate[10]	_	_	
2-50	284-285	)	_	_	_	
2-51	286-290	down	_	_	_	
2-52	291-293	to	_	_	_	
2-53	294-297	925	Property-temperature[11]	Coreference	2-60[12_11]	
2-54	298-299	°	Property-temperature[11]	_	_	
2-55	299-300	C	Property-temperature[11]	_	_	
2-56	300-301	,	_	_	_	
2-57	302-306	then	_	_	_	
2-58	307-311	kept	Operation	Condition-of|Condition-of	2-60[12_0]|2-63[13_0]	
2-59	312-314	at	_	_	_	
2-60	315-319	this	Property-temperature[12]	_	_	
2-61	320-331	temperature	Property-temperature[12]	_	_	
2-62	332-335	for	_	_	_	
2-63	336-338	75	Property-time[13]	_	_	
2-64	338-339	–	Property-time[13]	_	_	
2-65	339-342	100	Property-time[13]	_	_	
2-66	343-344	h	Property-time[13]	_	_	
2-67	344-345	.	_	_	_	

#Text=Finally, the products were water quenched.
