#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=Polycrystalline M3HCh samples (M = Li, Na; Ch = S, Se, Te) were synthesized via high-pressure solid-state reactions using MH and M2Ch as starting reagents.
1-1	0-15	Polycrystalline	Descriptor	_	_	
1-2	16-21	M3HCh	Material-target	Descriptor-of|Descriptor-of	1-1|1-5[1_0]	
1-3	22-29	samples	_	_	_	
1-4	30-31	(	_	_	_	
1-5	31-32	M	Descriptor[1]	_	_	
1-6	33-34	=	Descriptor[1]	_	_	
1-7	35-37	Li	Descriptor[1]	_	_	
1-8	37-38	,	Descriptor[1]	_	_	
1-9	39-41	Na	Descriptor[1]	_	_	
1-10	41-42	;	Descriptor[1]	_	_	
1-11	43-45	Ch	Descriptor[1]	_	_	
1-12	46-47	=	Descriptor[1]	_	_	
1-13	48-49	S	Descriptor[1]	_	_	
1-14	49-50	,	Descriptor[1]	_	_	
1-15	51-53	Se	Descriptor[1]	_	_	
1-16	53-54	,	Descriptor[1]	_	_	
1-17	55-57	Te	Descriptor[1]	_	_	
1-18	57-58	)	_	_	_	
1-19	59-63	were	_	_	_	
1-20	64-75	synthesized	Operation	Participant-material|Coreference|Participant-material|Participant-material	1-2|1-22[2_0]|1-26|1-28	
1-21	76-79	via	_	_	_	
1-22	80-93	high-pressure	Operation[2]	_	_	
1-23	94-105	solid-state	Operation[2]	_	_	
1-24	106-115	reactions	Operation[2]	_	_	
1-25	116-121	using	_	_	_	
1-26	122-124	MH	Material-recipe	Coreference	1-31	
1-27	125-128	and	_	_	_	
1-28	129-133	M2Ch	Material-recipe	Coreference	1-31	
1-29	134-136	as	_	_	_	
1-30	137-145	starting	Descriptor	_	_	
1-31	146-154	reagents	Material-recipe	Descriptor-of	1-30	
1-32	154-155	.	_	_	_	

#Text=We used as-received LiH (Sigma-Aldrich, 99%), Li2S (Sigma-Aldrich, 99%), NaH (Sigma-Aldrich, 99%), Na2S (Sigma-Aldrich, 99%), Na2Se (Kojundo, 99%), Na2Te (Kojundo, 99%), while Li2Se and Li2Te were prepared using LiEt3BH (Sigma-Aldrich), Se (Rare Metallic Co., LTD., 99.9%) and Te (Rare Metallic Co., LTD., 99.9%).
2-1	156-158	We	_	_	_	
2-2	159-163	used	Operation	Participant-material|Participant-material|Participant-material|Participant-material|Participant-material|Participant-material|Participant-material|Participant-material	2-47|2-49|2-39|2-32|2-25|2-18|2-11|2-4	
2-3	164-175	as-received	Descriptor	_	_	
2-4	176-179	LiH	Material-recipe	Brand-of|Value-of|Descriptor-of	2-6|2-8|2-3	
2-5	180-181	(	_	_	_	
2-6	181-194	Sigma-Aldrich	Brand	_	_	
2-7	194-195	,	_	_	_	
2-8	196-199	99%	Value	_	_	
2-9	199-200	)	_	_	_	
2-10	200-201	,	_	_	_	
2-11	202-206	Li2S	Material-recipe	Brand-of|Value-of|Descriptor-of	2-13|2-15|2-3	
2-12	207-208	(	_	_	_	
2-13	208-221	Sigma-Aldrich	Brand	_	_	
2-14	221-222	,	_	_	_	
2-15	223-226	99%	Value	_	_	
2-16	226-227	)	_	_	_	
2-17	227-228	,	_	_	_	
