#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The bulk polycrystalline samples of β-Mn-type Co–Zn–Mn were prepared from highly pure Co (99.995%), Zn (99.99%), and Mn (99.99%) by a conventional melting process.
1-1	0-3	The	_	_	_	
1-2	4-8	bulk	_	_	_	
1-3	9-24	polycrystalline	Descriptor	_	_	
1-4	25-32	samples	_	_	_	
1-5	33-35	of	_	_	_	
1-6	36-45	β-Mn-type	Material-target[1]	Descriptor-of	1-3[0_1]	
1-7	46-54	Co–Zn–Mn	Material-target[1]	_	_	
1-8	55-59	were	_	_	_	
1-9	60-68	prepared	Operation	Participant-material	1-6[1_0]	
1-10	69-73	from	_	_	_	
1-11	74-80	highly	Descriptor[2]	_	_	
1-12	81-85	pure	Descriptor[2]	_	_	
1-13	86-88	Co	Material-recipe	Value-of|Descriptor-of	1-15|1-11[2_0]	
1-14	89-90	(	_	_	_	
1-15	90-97	99.995%	Value	_	_	
1-16	97-98	)	_	_	_	
1-17	98-99	,	_	_	_	
1-18	100-102	Zn	Material-recipe	Value-of	1-20	
1-19	103-104	(	_	_	_	
1-20	104-110	99.99%	Value	_	_	
1-21	110-111	)	_	_	_	
1-22	111-112	,	_	_	_	
1-23	113-116	and	_	_	_	
1-24	117-119	Mn	Material-recipe	Value-of|Descriptor-of	1-26|1-11[2_0]	
1-25	120-121	(	_	_	_	
1-26	121-127	99.99%	Value	_	_	
1-27	127-128	)	_	_	_	
1-28	129-131	by	_	_	_	
1-29	132-133	a	_	_	_	
1-30	134-146	conventional	Operation[3]	Participant-material|Participant-material|Participant-material|Coreference	1-24[0_3]|1-18[0_3]|1-13[0_3]|1-9[0_3]	
1-31	147-154	melting	Operation[3]	_	_	
1-32	155-162	process	Operation[3]	_	_	
1-33	162-163	.	_	_	_	

#Text=The constituents of the alloys sealed in an evacuated quartz tube were heated at 1273 K for 12 h, then slowly cooled to 1198 K at a cooling rate of 1 K/h, and kept at the temperature for 72 h, followed by water-quenching.
