#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=VSe2 samples were first synthesized in polycrystalline form by reacting powders of the starting materials, vanadium (Alfa Aesar, 99.5%) and selenium (Alfa Aesar, 99.999%).
1-1	0-4	VSe2	Material-target	Descriptor-of	1-7	
1-2	5-12	samples	_	_	_	
1-3	13-17	were	_	_	_	
1-4	18-23	first	_	_	_	
1-5	24-35	synthesized	Operation	Participant-material	1-1	
1-6	36-38	in	_	_	_	
1-7	39-54	polycrystalline	Descriptor	_	_	
1-8	55-59	form	_	_	_	
1-9	60-62	by	_	_	_	
1-10	63-71	reacting	Operation	Coreference|Participant-material|Participant-material	1-5|1-17|1-25	
1-11	72-79	powders	Descriptor	_	_	
1-12	80-82	of	_	_	_	
1-13	83-86	the	_	_	_	
1-14	87-95	starting	Descriptor	_	_	
1-15	96-105	materials	Material-recipe	Descriptor-of	1-14	
1-16	105-106	,	_	_	_	
1-17	107-115	vanadium	Material-recipe	Descriptor-of|Brand-of|Value-of|Coreference	1-11|1-19[1_0]|1-22|1-15	
1-18	116-117	(	_	_	_	
1-19	117-121	Alfa	Brand[1]	_	_	
1-20	122-127	Aesar	Brand[1]	_	_	
1-21	127-128	,	_	_	_	
1-22	129-134	99.5%	Value	_	_	
1-23	134-135	)	_	_	_	
1-24	136-139	and	_	_	_	
1-25	140-148	selenium	Material-recipe	Brand-of|Value-of|Coreference	1-27[2_0]|1-30|1-15	
1-26	149-150	(	_	_	_	
1-27	150-154	Alfa	Brand[2]	_	_	
1-28	155-160	Aesar	Brand[2]	_	_	
1-29	160-161	,	_	_	_	
1-30	162-169	99.999%	Value	_	_	
1-31	169-170	)	_	_	_	
1-32	170-171	.	_	_	_	

#Text=Stoichiometric amounts of the powders were ground together and transferred into quartz tubes, which were evacuated and sealed.
2-1	172-186	Stoichiometric	Value[3]	_	_	
2-2	187-194	amounts	Value[3]	_	_	
2-3	195-197	of	_	_	_	
2-4	198-201	the	_	_	_	
2-5	202-209	powders	Material-intermedium	Value-of	2-1[3_0]	
2-6	210-214	were	_	_	_	
2-7	215-221	ground	Operation	Participant-material|Next-operation	2-5|2-10	
2-8	222-230	together	_	_	_	
2-9	231-234	and	_	_	_	
2-10	235-246	transferred	Operation	Device-of-operation|Next-operation	2-13|2-17	
2-11	247-251	into	_	_	_	
2-12	252-258	quartz	Descriptor	_	_	
2-13	259-264	tubes	Device	Descriptor-of	2-12	
2-14	264-265	,	_	_	_	
2-15	266-271	which	_	_	_	
2-16	272-276	were	_	_	_	
2-17	277-286	evacuated	Operation	Next-operation	2-19	
2-18	287-290	and	_	_	_	
2-19	291-297	sealed	Operation	_	_	
2-20	297-298	.	_	_	_	

