#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The feedstock polycrystalline materials were first prepared by a conventional solid-state reaction.
1-1	0-3	The	_	_	_	
1-2	4-13	feedstock	_	_	_	
1-3	14-29	polycrystalline	Descriptor	_	_	
1-4	30-39	materials	Material-target	Descriptor-of	1-3	
1-5	40-44	were	_	_	_	
1-6	45-50	first	_	_	_	
1-7	51-59	prepared	Operation	Participant-material	1-4	
1-8	60-62	by	_	_	_	
1-9	63-64	a	_	_	_	
1-10	65-77	conventional	Operation[1]	Coreference	1-7[0_1]	
1-11	78-89	solid-state	Operation[1]	_	_	
1-12	90-98	reaction	Operation[1]	_	_	
1-13	98-99	.	_	_	_	

#Text=A mixture of Li2CO3 (99.9% pure), La2O3 (99% pure), ZrO2 (98% pure), and Nb2O5 (99% pure) at a molar ratio of 3.9: 1.5: 0.75: 0.25 was heated at 1123 K for 60 h in air.
2-1	100-101	A	_	_	_	
2-2	102-109	mixture	Material-intermedium	Coreference|Coreference|Coreference|Coreference	2-4|2-10|2-16|2-23	
2-3	110-112	of	_	_	_	
2-4	113-119	Li2CO3	Material-recipe	Value-of|Descriptor-of|Value-of	2-6|2-7|2-33[3_0]	
2-5	120-121	(	_	_	_	
2-6	121-126	99.9%	Value	_	_	
2-7	127-131	pure	Descriptor	_	_	
2-8	131-132	)	_	_	_	
2-9	132-133	,	_	_	_	
2-10	134-139	La2O3	Material-recipe	Value-of|Descriptor-of|Value-of	2-12|2-13|2-33[3_0]	
2-11	140-141	(	_	_	_	
2-12	141-144	99%	Value	_	_	
2-13	145-149	pure	Descriptor	_	_	
2-14	149-150	)	_	_	_	
2-15	150-151	,	_	_	_	
2-16	152-156	ZrO2	Material-recipe	Value-of|Descriptor-of|Value-of	2-18|2-19|2-33[3_0]	
2-17	157-158	(	_	_	_	
2-18	158-161	98%	Value	_	_	
2-19	162-166	pure	Descriptor	_	_	
2-20	166-167	)	_	_	_	
2-21	167-168	,	_	_	_	
2-22	169-172	and	_	_	_	
2-23	173-178	Nb2O5	Material-recipe	Value-of|Descriptor-of|Value-of	2-25|2-26|2-33[3_0]	
2-24	179-180	(	_	_	_	
2-25	180-183	99%	Value	_	_	
2-26	184-188	pure	Descriptor	_	_	
2-27	188-189	)	_	_	_	
2-28	190-192	at	_	_	_	
2-29	193-194	a	Descriptor[2]	_	_	
2-30	195-200	molar	Descriptor[2]	_	_	
2-31	201-206	ratio	Descriptor[2]	_	_	
2-32	207-209	of	_	_	_	
2-33	210-213	3.9	Value[3]	Descriptor-of	2-29[2_3]	
2-34	213-214	:	Value[3]	_	_	
2-35	215-218	1.5	Value[3]	_	_	
2-36	218-219	:	Value[3]	_	_	
2-37	220-224	0.75	Value[3]	_	_	
2-38	224-225	:	Value[3]	_	_	
2-39	226-230	0.25	Value[3]	_	_	
2-40	231-234	was	_	_	_	
2-41	235-241	heated	Operation	Participant-material|Condition-of|Condition-of|Condition-of	2-2|2-43[4_0]|2-46[5_0]|2-49	
2-42	242-244	at	_	_	_	
2-43	245-249	1123	Property-temperature[4]	_	_	
2-44	250-251	K	Property-temperature[4]	_	_	
2-45	252-255	for	_	_	_	
2-46	256-258	60	Property-time[5]	_	_	
2-47	259-260	h	Property-time[5]	_	_	
2-48	261-263	in	_	_	_	
2-49	264-267	air	Property-pressure	_	_	
2-50	267-268	.	_	_	_	

#Text=The nominal feedstock composition is Li7.8La3Zr1.5Nb0.5O12, which is 20% lithium excess composition of the objective Li6.5La3Zr1.5Nb0.5O12 (LLZNb05), so as to prevent the compositional deviation due to volatilization of lithium during crystal growth.
3-1	269-272	The	_	_	_	
3-2	273-280	nominal	Descriptor[6]	_	_	
3-3	281-290	feedstock	Descriptor[6]	_	_	
3-4	291-302	composition	_	_	_	
3-5	303-305	is	_	_	_	
3-6	306-327	Li7.8La3Zr1.5Nb0.5O12	Material-recipe	Descriptor-of|Value-of	3-2[6_0]|3-10	
3-7	327-328	,	_	_	_	
3-8	329-334	which	_	_	_	
3-9	335-337	is	_	_	_	
3-10	338-341	20%	Value	Descriptor-of	3-11[7_0]	
3-11	342-349	lithium	Descriptor[7]	_	_	
3-12	350-356	excess	Descriptor[7]	_	_	
3-13	357-368	composition	Descriptor[7]	_	_	
3-14	369-371	of	_	_	_	
3-15	372-375	the	_	_	_	
3-16	376-385	objective	_	_	_	
3-17	386-407	Li6.5La3Zr1.5Nb0.5O12	Material-target	Coreference	3-19	
3-18	408-409	(	_	_	_	
3-19	409-416	LLZNb05	Material-target	_	_	
3-20	416-417	)	_	_	_	
3-21	417-418	,	_	_	_	
3-22	419-421	so	_	_	_	
3-23	422-424	as	_	_	_	
3-24	425-427	to	_	_	_	
3-25	428-435	prevent	Operation	_	_	
3-26	436-439	the	_	_	_	
3-27	440-453	compositional	Operation[8]	_	_	
3-28	454-463	deviation	Operation[8]	_	_	
3-29	464-467	due	_	_	_	
3-30	468-470	to	_	_	_	
3-31	471-485	volatilization	Operation	Participant-material|Next-operation	3-33|3-27[8_0]	
3-32	486-488	of	_	_	_	
3-33	489-496	lithium	Material-others	_	_	
3-34	497-503	during	_	_	_	
3-35	504-511	crystal	_	_	_	
3-36	512-518	growth	_	_	_	
3-37	518-519	.	_	_	_	

