#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DemoNERRE|NamedentityTags
#T_RL=webanno.custom.DemoRE|NamedentityRelations|BT_webanno.custom.DemoNERRE


#Text=The polycrystalline DyNiSi compound was synthesized by arc-melting appropriate proportion of constituent components with the purity better than 99.9 wt.% in a water-cooled copper hearth under purified argon atmosphere.
1-1	0-3	The	_	_	_	
1-2	4-19	polycrystalline	Descriptor	_	_	
1-3	20-26	DyNiSi	Material-target	Descriptor-of|Descriptor-of	1-2|1-4	
1-4	27-35	compound	Descriptor	_	_	
1-5	36-39	was	_	_	_	
1-6	40-51	synthesized	Operation	Participant-material|Coreference	1-3|1-8	
1-7	52-54	by	_	_	_	
1-8	55-66	arc-melting	Operation	Participant-material|Device-of-operation|Condition-of	1-12[2_0]|1-27|1-30[4_0]	
1-9	67-78	appropriate	Value[1]	_	_	
1-10	79-89	proportion	Value[1]	_	_	
1-11	90-92	of	_	_	_	
1-12	93-104	constituent	Material-recipe[2]	Value-of|Value-of|Descriptor-of	1-9[1_2]|1-17[3_2]|1-16[0_2]	
1-13	105-115	components	Material-recipe[2]	_	_	
1-14	116-120	with	_	_	_	
1-15	121-124	the	_	_	_	
1-16	125-131	purity	Descriptor	_	_	
1-17	132-138	better	Value[3]	_	_	
1-18	139-143	than	Value[3]	_	_	
1-19	144-148	99.9	Value[3]	_	_	
1-20	149-151	wt	Value[3]	_	_	
1-21	151-152	.	Value[3]	_	_	
1-22	152-153	%	Value[3]	_	_	
1-23	154-156	in	_	_	_	
1-24	157-158	a	Value	_	_	
1-25	159-171	water-cooled	Descriptor	_	_	
1-26	172-178	copper	Descriptor	_	_	
1-27	179-185	hearth	Device	Value-of|Descriptor-of|Descriptor-of	1-24|1-25|1-26	
1-28	186-191	under	_	_	_	
1-29	192-200	purified	Descriptor	_	_	
1-30	201-206	argon	Property-pressure[4]	Descriptor-of	1-29[0_4]	
1-31	207-217	atmosphere	Property-pressure[4]	_	_	
1-32	217-218	.	_	_	_	

#Text=The as-cast sample was annealed in a high-vacuum quartz tube at 1073 K for 7 days and then quenched into liquid nitrogen.
2-1	219-222	The	_	_	_	
2-2	223-230	as-cast	Descriptor	_	_	
2-3	231-237	sample	Material-intermedium	Descriptor-of	2-2	
2-4	238-241	was	_	_	_	
2-5	242-250	annealed	Operation	Participant-material|Device-of-operation|Condition-of|Condition-of|Next-operation	2-3|2-10|2-12[5_0]|2-15[6_0]|2-19	
2-6	251-253	in	_	_	_	
2-7	254-255	a	Value	_	_	
2-8	256-267	high-vacuum	Descriptor	_	_	
2-9	268-274	quartz	Descriptor	_	_	
2-10	275-279	tube	Device	Value-of|Descriptor-of|Descriptor-of	2-7|2-8|2-9	
2-11	280-282	at	_	_	_	
2-12	283-287	1073	Property-temperature[5]	_	_	
2-13	288-289	K	Property-temperature[5]	_	_	
2-14	290-293	for	_	_	_	
2-15	294-295	7	Property-time[6]	_	_	
2-16	296-300	days	Property-time[6]	_	_	
2-17	301-304	and	_	_	_	
2-18	305-309	then	_	_	_	
2-19	310-318	quenched	Operation	_	_	
2-20	319-323	into	_	_	_	
2-21	324-330	liquid	Material-intermedium[7]	_	_	
2-22	331-339	nitrogen	Material-intermedium[7]	_	_	
2-23	339-340	.	_	_	_	

#Text=The X-ray diffraction (XRD) measurements on bulk and powder samples were performed at room temperature by using Cu Kα radiation.
3-1	341-344	The	_	_	_	
3-2	345-350	X-ray	_	_	_	
3-3	351-362	diffraction	_	_	_	
3-4	363-364	(	_	_	_	
3-5	364-367	XRD	_	_	_	
3-6	367-368	)	_	_	_	
3-7	369-381	measurements	_	_	_	
3-8	382-384	on	_	_	_	
3-9	385-389	bulk	_	_	_	
3-10	390-393	and	_	_	_	
3-11	394-400	powder	_	_	_	
3-12	401-408	samples	_	_	_	
3-13	409-413	were	_	_	_	
3-14	414-423	performed	_	_	_	
3-15	424-426	at	_	_	_	
3-16	427-431	room	_	_	_	
3-17	432-443	temperature	_	_	_	
3-18	444-446	by	_	_	_	
3-19	447-452	using	_	_	_	
3-20	453-455	Cu	_	_	_	
3-21	456-458	Kα	_	_	_	
3-22	459-468	radiation	_	_	_	
3-23	468-469	.	_	_	_	

#Text=The Rietveld refinement based on the powder XRD pattern confirms that the annealed sample crystallizes in a single phase with TiNiSi-type orthorhombic structure (space group Pnma).
4-1	470-473	The	_	_	_	
4-2	474-482	Rietveld	_	_	_	
4-3	483-493	refinement	_	_	_	
4-4	494-499	based	_	_	_	
4-5	500-502	on	_	_	_	
4-6	503-506	the	_	_	_	
4-7	507-513	powder	_	_	_	
4-8	514-517	XRD	_	_	_	
4-9	518-525	pattern	_	_	_	
4-10	526-534	confirms	_	_	_	
4-11	535-539	that	_	_	_	
4-12	540-543	the	_	_	_	
4-13	544-552	annealed	_	_	_	
4-14	553-559	sample	_	_	_	
4-15	560-572	crystallizes	_	_	_	
4-16	573-575	in	_	_	_	
4-17	576-577	a	_	_	_	
4-18	578-584	single	_	_	_	
4-19	585-590	phase	_	_	_	
4-20	591-595	with	_	_	_	
4-21	596-607	TiNiSi-type	_	_	_	
4-22	608-620	orthorhombic	_	_	_	
4-23	621-630	structure	_	_	_	
4-24	631-632	(	_	_	_	
4-25	632-637	space	_	_	_	
4-26	638-643	group	_	_	_	
4-27	644-648	Pnma	_	_	_	
4-28	648-649	)	_	_	_	
4-29	649-650	.	_	_	_	

#Text=Microstructures were investigated by scanning electron microscopy (SEM) using a LEO-1450 microscope.
5-1	651-666	Microstructures	_	_	_	
5-2	667-671	were	_	_	_	
5-3	672-684	investigated	_	_	_	
5-4	685-687	by	_	_	_	
5-5	688-696	scanning	_	_	_	
5-6	697-705	electron	_	_	_	
5-7	706-716	microscopy	_	_	_	
5-8	717-718	(	_	_	_	
5-9	718-721	SEM	_	_	_	
5-10	721-722	)	_	_	_	
5-11	723-728	using	_	_	_	
5-12	729-730	a	_	_	_	
5-13	731-734	LEO	_	_	_	
5-14	734-735	-	_	_	_	
5-15	735-739	1450	_	_	_	
5-16	740-750	microscope	_	_	_	
5-17	750-751	.	_	_	_	

#Text=A rectangular-like sample of 1.2 mg with dimensions 1.0 mm × 0.5 mm × 0.5 mm was selected for the magnetic measurements.
6-1	752-753	A	_	_	_	
6-2	754-770	rectangular-like	_	_	_	
6-3	771-777	sample	_	_	_	
6-4	778-780	of	_	_	_	
6-5	781-784	1.2	_	_	_	
6-6	785-787	mg	_	_	_	
6-7	788-792	with	_	_	_	
6-8	793-803	dimensions	_	_	_	
6-9	804-807	1.0	_	_	_	
6-10	808-810	mm	_	_	_	
6-11	811-812	×	_	_	_	
6-12	813-816	0.5	_	_	_	
6-13	817-819	mm	_	_	_	
6-14	820-821	×	_	_	_	
6-15	822-825	0.5	_	_	_	
6-16	826-828	mm	_	_	_	
6-17	829-832	was	_	_	_	
6-18	833-841	selected	_	_	_	
6-19	842-845	for	_	_	_	
6-20	846-849	the	_	_	_	
6-21	850-858	magnetic	_	_	_	
6-22	859-871	measurements	_	_	_	
6-23	871-872	.	_	_	_	

#Text=Magnetization was measured using a commercial superconducting quantum interference device (SQUID) magnetometer from Quantum Design Inc (model MPMS-XL).
7-1	873-886	Magnetization	_	_	_	
7-2	887-890	was	_	_	_	
7-3	891-899	measured	_	_	_	
7-4	900-905	using	_	_	_	
7-5	906-907	a	_	_	_	
7-6	908-918	commercial	_	_	_	
7-7	919-934	superconducting	_	_	_	
7-8	935-942	quantum	_	_	_	
7-9	943-955	interference	_	_	_	
7-10	956-962	device	_	_	_	
7-11	963-964	(	_	_	_	
7-12	964-969	SQUID	_	_	_	
7-13	969-970	)	_	_	_	
7-14	971-983	magnetometer	_	_	_	
7-15	984-988	from	_	_	_	
7-16	989-996	Quantum	_	_	_	
7-17	997-1003	Design	_	_	_	
7-18	1004-1007	Inc	_	_	_	
7-19	1008-1009	(	_	_	_	
7-20	1009-1014	model	_	_	_	
7-21	1015-1022	MPMS-XL	_	_	_	
